t,source_excel_row,source_endpoint,interval,start_minute,end_minute,price_yuan_per_kwh,load_kw,pv_kw,load_kwh,pv_kwh
1,2,00:10:00,00:00-00:10,0,10,0.4248,3439.8466,0.0,573.3077666666666,0.0
2,3,00:20:00,00:10-00:20,10,20,0.4245,3437.9792,0.0,572.9965333333333,0.0
3,4,00:30:00,00:20-00:30,20,30,0.4269,3444.3031,0.0,574.0505166666667,0.0
4,5,00:40:00,00:30-00:40,30,40,0.4272,3454.4437,0.0,575.7406166666666,0.0
5,6,00:50:00,00:40-00:50,40,50,0.4271,3458.8273,0.0,576.4712166666666,0.0
6,7,01:00:00,00:50-01:00,50,60,0.4285,3459.8401,0.0,576.6400166666666,0.0
7,8,01:10:00,01:00-01:10,60,70,0.4311,3467.1582,0.0,577.8597,0.0
8,9,01:20:00,01:10-01:20,70,80,0.4302,3467.9632,0.0,577.9938666666667,0.0
9,10,01:30:00,01:20-01:30,80,90,0.4279,3466.9683,0.0,577.82805,0.0
10,11,01:40:00,01:30-01:40,90,100,0.4312,3482.4927,0.0,580.41545,0.0
11,12,01:50:00,01:40-01:50,100,110,0.4333,3495.0841,0.0,582.5140166666666,0.0
12,13,02:00:00,01:50-02:00,110,120,0.4311,3498.4443,0.0,583.0740499999999,0.0
13,14,02:10:00,02:00-02:10,120,130,0.4293,3505.2295,0.0,584.2049166666666,0.0
14,15,02:20:00,02:10-02:20,130,140,0.4324,3512.6387,0.0,585.4397833333333,0.0
15,16,02:30:00,02:20-02:30,140,150,0.4367,3516.8685,0.0,586.1447499999999,0.0
16,17,02:40:00,02:30-02:40,150,160,0.4348,3517.9246,0.0,586.3207666666666,0.0
17,18,02:50:00,02:40-02:50,160,170,0.4335,3518.5518,0.0,586.4253,0.0
18,19,03:00:00,02:50-03:00,170,180,0.4357,3521.0976,0.0,586.8496,0.0
19,20,03:10:00,03:00-03:10,180,190,0.4374,3526.9261,0.0,587.8210166666667,0.0
20,21,03:20:00,03:10-03:20,190,200,0.4371,3537.2854,0.0,589.5475666666666,0.0
21,22,03:30:00,03:20-03:30,200,210,0.4356,3544.8808,0.0,590.8134666666666,0.0
22,23,03:40:00,03:30-03:40,210,220,0.4353,3541.2787,0.0,590.2131166666666,0.0
23,24,03:50:00,03:40-03:50,220,230,0.436,3546.3976,0.0,591.0662666666666,0.0
24,25,04:00:00,03:50-04:00,230,240,0.4378,3560.207,0.0,593.3678333333332,0.0
25,26,04:10:00,04:00-04:10,240,250,0.4401,3561.9581,0.0,593.6596833333333,0.0
26,27,04:20:00,04:10-04:20,250,260,0.4389,3556.7183,0.0,592.7863833333333,0.0
27,28,04:30:00,04:20-04:30,260,270,0.4364,3560.0272,0.0,593.3378666666666,0.0
28,29,04:40:00,04:30-04:40,270,280,0.4393,3580.654,0.5994,596.7756666666667,0.0999
29,30,04:50:00,04:40-04:50,280,290,0.4422,3586.916,0.2345,597.8193333333334,0.03908333333333333
30,31,05:00:00,04:50-05:00,290,300,0.4395,3571.2635,0.2885,595.2105833333333,0.048083333333333325
31,32,05:10:00,05:00-05:10,300,310,0.4333,3562.3171,18.6781,593.7195166666667,3.1130166666666668
32,33,05:20:00,05:10-05:20,310,320,0.4439,3591.3809,54.4698,598.5634833333334,9.078299999999999
33,34,05:30:00,05:20-05:30,320,330,0.4301,3579.7045,108.9718,596.6174166666666,18.161966666666665
34,35,05:40:00,05:30-05:40,330,340,0.3713,3486.119,184.1603,581.0198333333333,30.693383333333333
35,36,05:50:00,05:40-05:50,340,350,0.5708,3823.8994,277.0582,637.3165666666666,46.17636666666667
36,37,06:00:00,05:50-06:00,350,360,0.9099,4398.0727,388.5494,733.0121166666665,64.75823333333332
37,38,06:10:00,06:00-06:10,360,370,0.9368,4454.0123,521.2803,742.3353833333333,86.88005
38,39,06:20:00,06:10-06:20,370,380,0.8758,4371.7919,672.7677,728.6319833333333,112.12795
39,40,06:30:00,06:20-06:30,380,390,0.8759,4392.953,844.2261,732.1588333333334,140.70434999999998
40,41,06:40:00,06:30-06:40,390,400,0.8601,4384.5956,1039.6744,730.7659333333332,173.27906666666667
41,42,06:50:00,06:40-06:50,400,410,0.8442,4434.7757,1259.3375,739.1292833333333,209.88958333333335
42,43,07:00:00,06:50-07:00,410,420,0.8334,4523.4561,1508.6318,753.90935,251.43863333333334
43,44,07:10:00,07:00-07:10,420,430,0.8092,4524.0721,1791.4107,754.0120166666667,298.56845
44,45,07:20:00,07:10-07:20,430,440,0.7972,4545.8867,2085.4865,757.6477833333333,347.5810833333333
45,46,07:30:00,07:20-07:30,440,450,0.7644,4523.2418,2381.2611,753.8736333333333,396.87685
46,47,07:40:00,07:30-07:40,450,460,0.6899,4383.3566,2683.1752,730.5594333333333,447.1958666666667
47,48,07:50:00,07:40-07:50,460,470,0.86,4910.4599,2986.3552,818.4099833333332,497.72586666666666
48,49,08:00:00,07:50-08:00,470,480,1.1617,5799.7327,3289.204,966.6221166666666,548.2006666666666
49,50,08:10:00,08:00-08:10,480,490,1.1683,5884.826,3593.3613,980.8043333333333,598.89355
50,51,08:20:00,08:10-08:20,490,500,1.0956,5748.0713,3890.7332,958.0118833333332,648.4555333333333
51,52,08:30:00,08:20-08:30,500,510,1.0849,5769.0581,4181.3417,961.5096833333333,696.8902833333333
52,53,08:40:00,08:30-08:40,510,520,1.061,5754.2105,4471.7657,959.0350833333333,745.2942833333333
53,54,08:50:00,08:40-08:50,520,530,1.043,5824.1807,4752.8272,970.6967833333333,792.1378666666666
54,55,09:00:00,08:50-09:00,530,540,1.036,5954.2601,5021.9074,992.3766833333334,836.9845666666666
55,56,09:10:00,09:00-09:10,540,550,1.0147,5958.9696,5285.4126,993.1616,880.9020999999999
56,57,09:20:00,09:10-09:20,550,560,0.9922,5929.5554,5543.1742,988.2592333333333,923.8623666666667
57,58,09:30:00,09:20-09:30,560,570,0.97,5923.7828,5788.4093,987.2971333333332,964.7348833333333
58,59,09:40:00,09:30-09:40,570,580,0.9422,5907.586,6012.1304,984.5976666666667,1002.0217333333333
59,60,09:50:00,09:40-09:50,580,590,0.9569,5899.1262,6216.1528,983.1877,1036.0254666666665
60,61,10:00:00,09:50-10:00,590,600,0.9977,5902.2196,6409.5941,983.7032666666667,1068.2656833333333
61,62,10:10,10:00-10:10,600,610,0.9919,5897.4793,6599.3808,982.9132166666666,1099.8968
62,63,10:20,10:10-10:20,610,620,0.9588,5886.7568,6766.7204,981.1261333333333,1127.7867333333334
63,64,10:30,10:20-10:30,620,630,0.9549,5873.4708,6914.5923,978.9118,1152.43205
64,65,10:40,10:30-10:40,630,640,0.9839,5858.0308,7064.2053,976.3384666666667,1177.36755
