horizon,nominal,month,covered_intervals,n,picp
0,0.80000000000000004,2,3178,4032,0.78819444444444442
0,0.80000000000000004,3,3331,4464,0.74619175627240142
0,0.80000000000000004,4,3319,4320,0.76828703703703705
0,0.80000000000000004,5,3395,4464,0.76052867383512546
0,0.80000000000000004,6,3106,4320,0.71898148148148144
0,0.80000000000000004,7,3457,4464,0.7744175627240143
0,0.80000000000000004,8,3639,4464,0.81518817204301075
0,0.80000000000000004,9,3491,4320,0.8081018518518519
0,0.80000000000000004,10,3790,4464,0.84901433691756267
0,0.80000000000000004,11,3654,4320,0.84583333333333333
0,0.80000000000000004,12,3569,4464,0.79950716845878134
0,0.90000000000000002,2,3471,4032,0.86086309523809523
0,0.90000000000000002,3,3699,4464,0.8286290322580645
0,0.90000000000000002,4,3638,4320,0.84212962962962967
0,0.90000000000000002,5,3742,4464,0.83826164874551967
0,0.90000000000000002,6,3442,4320,0.79675925925925928
0,0.90000000000000002,7,3773,4464,0.8452060931899642
0,0.90000000000000002,8,3936,4464,0.88172043010752688
0,0.90000000000000002,9,3739,4320,0.86550925925925926
0,0.90000000000000002,10,4073,4464,0.91241039426523296
0,0.90000000000000002,11,3916,4320,0.90648148148148144
0,0.90000000000000002,12,3850,4464,0.86245519713261654
1,0.80000000000000004,2,3141,4032,0.7790178571428571
1,0.80000000000000004,3,3343,4464,0.74887992831541217
1,0.80000000000000004,4,3301,4320,0.76412037037037039
1,0.80000000000000004,5,3342,4464,0.74865591397849462
1,0.80000000000000004,6,3134,4320,0.72546296296296298
1,0.80000000000000004,7,3432,4464,0.76881720430107525
1,0.80000000000000004,8,3574,4464,0.80062724014336917
1,0.80000000000000004,9,3576,4320,0.82777777777777772
1,0.80000000000000004,10,3894,4464,0.87231182795698925
1,0.80000000000000004,11,3674,4320,0.85046296296296298
1,0.80000000000000004,12,3451,4320,0.7988425925925926
1,0.90000000000000002,2,3460,4032,0.85813492063492058
1,0.90000000000000002,3,3722,4464,0.83378136200716846
1,0.90000000000000002,4,3602,4320,0.83379629629629626
1,0.90000000000000002,5,3685,4464,0.82549283154121866
1,0.90000000000000002,6,3464,4320,0.80185185185185182
1,0.90000000000000002,7,3761,4464,0.84251792114695345
1,0.90000000000000002,8,3880,4464,0.86917562724014341
1,0.90000000000000002,9,3809,4320,0.88171296296296298
1,0.90000000000000002,10,4148,4464,0.92921146953405021
1,0.90000000000000002,11,3915,4320,0.90625
1,0.90000000000000002,12,3741,4320,0.86597222222222225
2,0.80000000000000004,2,1081,1440,0.75069444444444444
2,0.80000000000000004,3,2707,3600,0.75194444444444442
2,0.80000000000000004,4,3199,4176,0.76604406130268199
2,0.80000000000000004,5,3258,4464,0.72983870967741937
2,0.80000000000000004,6,3151,4320,0.72939814814814818
2,0.80000000000000004,7,3369,4320,0.77986111111111112
2,0.80000000000000004,8,3574,4464,0.80062724014336917
2,0.80000000000000004,9,3655,4320,0.84606481481481477
2,0.80000000000000004,10,3974,4464,0.89023297491039421
2,0.80000000000000004,11,3382,4032,0.83878968253968256
2,0.80000000000000004,12,3334,4176,0.79837164750957856
2,0.90000000000000002,2,1178,1440,0.81805555555555554
2,0.90000000000000002,3,3005,3600,0.83472222222222225
2,0.90000000000000002,4,3489,4176,0.83548850574712641
2,0.90000000000000002,5,3577,4464,0.80129928315412191
2,0.90000000000000002,6,3468,4320,0.80277777777777781
2,0.90000000000000002,7,3648,4320,0.84444444444444444
2,0.90000000000000002,8,3858,4464,0.864247311827957
2,0.90000000000000002,9,3875,4320,0.8969907407407407
2,0.90000000000000002,10,4201,4464,0.94108422939068104
2,0.90000000000000002,11,3611,4032,0.89558531746031744
2,0.90000000000000002,12,3638,4176,0.87116858237547889
