lag,acf,pacf
0,1,1
1,0.9421752764016984,0.9421875451825984
2,0.83339442440692035,-0.48360907938935693
3,0.74266191870364917,0.38780123073496853
4,0.6609760881051493,-0.36935901609450167
5,0.58193055331391996,0.30491177826064669
6,0.51397360865639619,-0.24635586030070913
7,0.45649900851842684,0.23086723396846118
8,0.40847607399030827,-0.15603970774275772
9,0.36845557563502096,0.1314574188187094
10,0.33469057849711559,-0.063695335674306366
11,0.31006455796938032,0.11829026725058968
12,0.29425333626793082,-0.059459361749747398
13,0.28263450692360764,0.089132300197199282
14,0.27323472351146122,-0.054968685942508942
15,0.26246024556410508,0.0050575601444856171
16,0.2459333681267564,-0.039236401466447995
17,0.22444139685031841,-0.013611981482709597
18,0.19774437129844075,-0.071442401677005149
19,0.1659472211945493,0.026485425556424972
20,0.13637882857269451,-0.003263103210868811
21,0.11385322507488263,0.016705223160803879
22,0.095022406058060407,-0.019088707479883622
23,0.077130149230499656,-0.0023692302699002978
24,0.062491861932198148,0.025296468626667866
25,0.053309994736163858,-0.0083220865206584393
26,0.047402558406949007,0.0018749614192839457
27,0.042243292208512695,-0.003144485768877622
28,0.038540722745457952,0.006871448034441419
29,0.037701236279196436,0.012338562864566201
30,0.039057491731101006,0.0038760133774558498
31,0.04075934324357107,0.0083602182777829138
32,0.041381361488126697,-0.0091652638268390658
33,0.041039307051469479,0.023792542257169962
34,0.040823595647073239,-0.0074617426442708341
35,0.041024848249018704,0.022181461886082648
36,0.041052835902697357,-0.014700745176224972
37,0.040749628311479942,0.018331131637184226
38,0.040369178861958899,-0.017296128481945887
39,0.039172030728122302,0.00043917595190664561
40,0.036227276217030771,-0.013575817217483849
41,0.031553000741960879,-0.0076998802823024471
42,0.025485786275134512,-0.01464857489262229
43,0.018523438987426664,-0.0051867506386054562
44,0.011338314516578284,-0.0068085604012894166
45,0.0041913573442950644,-0.0084700506141759131
46,-0.0026172819419967384,-0.00095800713696422987
47,-0.0080827549758746148,0.001673826560564495
48,-0.011933049177716971,-0.0038524533720788521
49,-0.014551991058344413,0.0096456381409584374
50,-0.015607731081209105,-0.0017913809816397957
51,-0.014464042187982902,0.018688811554714423
52,-0.011152718567086113,-0.0022299314445054369
53,-0.0065127419241493741,0.015380494640112648
54,-0.0016409035940056192,-0.0057747460097201135
55,0.0026845264304552478,0.0093171739272223109
56,0.0062707451335188664,-0.004372226049825052
57,0.0090285432404348786,0.0084604928274999124
58,0.010455484162239426,-0.0099891411466680076
59,0.010209654312668154,0.0043463627627655247
60,0.0088697748188717868,-0.0042754003240083691
61,0.0071652958323080379,0.001566701678931753
62,0.0051103605533722105,-0.004638429573919218
63,0.002747467658993879,-4.3680841506276379e-05
64,0.00057769416569935128,-0.0021865007367265561
65,-0.00093112187633030534,0.00062329114479535387
66,-0.0016928674015529888,-0.0033132109388812939
67,-0.0019023818040315307,-0.00099670766043036979
68,-0.0019186805679658955,-0.0072382296682188818
69,-0.0022396514873635979,-0.0060875260253706754
70,-0.0029643473400469428,-0.00034111439985311031
71,-0.0036602914280738693,-0.0018341197888191046
72,-0.0041228782997578296,0.00036950037036854219
73,-0.0045485596681708344,-0.00091814630905442268
74,-0.0047297294633484362,0.0071064989080342252
75,-0.0046822083702622004,-0.0087203475248232402
76,-0.004716076628995201,0.013270683900220627
77,-0.0047603841112593172,-0.012384868725855223
78,-0.0043324220633585491,0.021542217091684392
79,-0.0031460012854161563,-0.013012932570471227
80,-0.0011094654718623292,0.027028017610112656
81,0.001549430645609838,-0.018238655604226627
82,0.0042370999809100409,0.023224819145131047
83,0.0065480971151482947,-0.020951926673708095
84,0.008476397883666208,0.024733031106604391
85,0.0099404808247467499,-0.023756165321228054
86,0.010222740907323623,0.010495933039847931
87,0.0087754453727014719,-0.022659974426177589
88,0.006208338924958607,0.011967738925829379
89,0.0033382086414129809,-0.01844270106075914
90,-0.00011848394756148243,0.00021764192084463698
91,-0.0046376405323392657,-0.016720252911152214
92,-0.0096029774113802306,0.0024547720822282498
