hour,n_days,actual_median,actual_p10,actual_p90,forecast_median
0,334,0.42996666666666666,0.33464666666666665,0.52578499999999995,0.43097586035870195
1,334,0.43460000000000004,0.34380666666666665,0.50956499999999993,0.43408813637823052
2,334,0.43972500000000003,0.34720666666666672,0.50275000000000003,0.43986574875654333
3,334,0.44406666666666667,0.34898666666666667,0.49805333333333329,0.44549954930364011
4,334,0.44612499999999999,0.35269666666666666,0.4979183333333333,0.45076098301073964
5,334,0.54118333333333335,0.42417333333333335,0.58879499999999996,0.54342167955047793
6,334,0.86438333333333328,0.66949000000000003,1.0099983333333333,0.85779259353054882
7,334,0.8330249999999999,0.64371833333333339,1.0045733333333333,0.82100831478307801
8,334,1.1021000000000001,0.78452666666666671,1.2743133333333332,1.0770616455592457
9,334,0.98179166666666662,0.71751333333333334,1.1372883333333335,0.96696822813412542
10,334,0.83570000000000011,0.57300166666666663,1.0522799999999999,0.82133918531673622
11,334,0.47715833333333335,0.21529833333333331,0.64433333333333331,0.46647957133029783
12,334,0.5314416666666667,0.28356999999999999,0.69067166666666668,0.51352591053942465
13,334,0.89166666666666661,0.63948833333333333,1.0404316666666666,0.8722346124048298
14,334,0.93104999999999993,0.6633,1.1785583333333332,0.91089773681134845
15,334,0.76796666666666669,0.51022999999999996,0.88244499999999992,0.75801241684522047
16,334,0.92048333333333332,0.65128333333333333,1.0405333333333333,0.9136290947604282
17,334,1.1004416666666665,0.8056350000000001,1.1554483333333332,1.0843549179358747
18,334,1.276125,1.1212783333333334,1.4264633333333334,1.2688537497140078
19,334,1.2939500000000002,1.1295649999999999,1.6438649999999999,1.2899809598888421
20,334,1.2225583333333332,1.0626816666666667,1.5261449999999999,1.2206635591260648
21,334,0.83393333333333342,0.69271499999999997,0.96053999999999995,0.830422022573443
22,334,0.41770833333333335,0.32245333333333331,0.53093666666666672,0.42137911266416483
23,334,0.424925,0.34173833333333331,0.51877833333333334,0.42538563883680103
