source_endpoint,price_yuan_per_kwh,load_kw,pv_kw
00:10:00,0.4248,3439.8466,0.0
00:20:00,0.4245,3437.9792,0.0
00:30:00,0.4269,3444.3031,0.0
00:40:00,0.4272,3454.4437,0.0
00:50:00,0.4271,3458.8273,0.0
01:00:00,0.4285,3459.8401,0.0
01:10:00,0.4311,3467.1582,0.0
01:20:00,0.4302,3467.9632,0.0
01:30:00,0.4279,3466.9683,0.0
01:40:00,0.4312,3482.4927,0.0
01:50:00,0.4333,3495.0841,0.0
02:00:00,0.4311,3498.4443,0.0
02:10:00,0.4293,3505.2295,0.0
02:20:00,0.4324,3512.6387,0.0
02:30:00,0.4367,3516.8685,0.0
02:40:00,0.4348,3517.9246,0.0
02:50:00,0.4335,3518.5518,0.0
03:00:00,0.4357,3521.0976,0.0
03:10:00,0.4374,3526.9261,0.0
03:20:00,0.4371,3537.2854,0.0
03:30:00,0.4356,3544.8808,0.0
03:40:00,0.4353,3541.2787,0.0
03:50:00,0.436,3546.3976,0.0
04:00:00,0.4378,3560.207,0.0
04:10:00,0.4401,3561.9581,0.0
04:20:00,0.4389,3556.7183,0.0
04:30:00,0.4364,3560.0272,0.0
04:40:00,0.4393,3580.654,0.5994
04:50:00,0.4422,3586.916,0.2345
05:00:00,0.4395,3571.2635,0.2885
05:10:00,0.4333,3562.3171,18.6781
05:20:00,0.4439,3591.3809,54.4698
05:30:00,0.4301,3579.7045,108.9718
05:40:00,0.3713,3486.119,184.1603
05:50:00,0.5708,3823.8994,277.0582
06:00:00,0.9099,4398.0727,388.5494
06:10:00,0.9368,4454.0123,521.2803
06:20:00,0.8758,4371.7919,672.7677
06:30:00,0.8759,4392.953,844.2261
06:40:00,0.8601,4384.5956,1039.6744
06:50:00,0.8442,4434.7757,1259.3375
07:00:00,0.8334,4523.4561,1508.6318
07:10:00,0.8092,4524.0721,1791.4107
07:20:00,0.7972,4545.8867,2085.4865
07:30:00,0.7644,4523.2418,2381.2611
07:40:00,0.6899,4383.3566,2683.1752
07:50:00,0.86,4910.4599,2986.3552
08:00:00,1.1617,5799.7327,3289.204
08:10:00,1.1683,5884.826,3593.3613
08:20:00,1.0956,5748.0713,3890.7332
08:30:00,1.0849,5769.0581,4181.3417
08:40:00,1.061,5754.2105,4471.7657
08:50:00,1.043,5824.1807,4752.8272
09:00:00,1.036,5954.2601,5021.9074
09:10:00,1.0147,5958.9696,5285.4126
09:20:00,0.9922,5929.5554,5543.1742
09:30:00,0.97,5923.7828,5788.4093
09:40:00,0.9422,5907.586,6012.1304
09:50:00,0.9569,5899.1262,6216.1528
10:00:00,0.9977,5902.2196,6409.5941
10:10,0.9919,5897.4793,6599.3808
10:20,0.9588,5886.7568,6766.7204
10:30,0.9549,5873.4708,6914.5923
10:40,0.9839,5858.0308,7064.2053
10:50,0.799,5844.9948,7197.4315
11:00,0.5025,5839.0587,7303.1142
11:10,0.4662,5838.7103,7387.6848
11:20,0.5007,5823.4378,7459.227
11:30,0.4827,5814.7932,7520.7191
11:40,0.4785,5832.3951,7568.2039
11:50,0.4662,5712.901,7592.1539
12:00,0.4432,5519.4607,7601.0433
12:10,0.4411,5494.7907,7612.316
12:20,0.4551,5514.4524,7602.6524
12:30,0.4463,5485.829,7554.1872
12:40,0.4113,5462.3628,7472.7384
12:50,0.5682,5566.1066,7393.4172
13:00,0.8279,5725.7548,7312.7979
13:10,0.8636,5739.4957,7194.541
13:20,0.8416,5714.6836,7053.1371
13:30,0.8618,5717.8505,6910.4064
13:40,0.8623,5708.2486,6772.4075
13:50,0.9026,5696.9182,6607.36
14:00,0.9754,5692.2983,6412.5085
14:10,1.0002,5687.1291,6214.0158
14:20,0.9978,5678.962,6000.7112
14:30,1.0271,5669.4508,5766.9816
14:40,1.0906,5664.1948,5521.5066
14:50,0.9376,5672.7011,5268.781
15:00,0.6694,5682.2544,5009.7152
15:10,0.66,5669.0195,4743.4484
15:20,0.7217,5656.3651,4471.224
15:30,0.7308,5657.0867,4188.2025
15:40,0.7534,5662.6008,3889.3931
15:50,0.7823,5669.2596,3594.5946
16:00,0.8055,5673.4767,3303.8878
16:10,0.8271,5671.0146,2998.4247
16:20,0.8519,5661.5926,2687.4131
16:30,0.8791,5665.8922,2383.1779
16:40,0.9024,5689.0372,2089.1246
16:50,0.9163,5603.6614,1791.0829
17:00,0.9264,5466.7124,1501.7283
17:10,0.9462,5467.3939,1255.1723
17:20,0.9742,5464.727,1036.3323
17:30,0.9862,5492.4458,836.7775
17:40,0.976,5621.7308,665.2313
17:50,1.0742,5091.2126,516.6758
18:00,1.2313,4208.5688,386.6731
18:10,1.2561,4122.7611,275.7933
18:20,1.2447,4255.9358,182.9526
18:30,1.2545,4225.9524,108.3414
18:40,1.2522,4233.3384,54.3121
18:50,1.2881,4246.4625,18.6569
19:00,1.3466,4239.1795,0.2753
19:10,1.3523,4244.6684,0.2296
19:20,1.3445,4251.9187,0.6007
19:30,1.3483,4256.6813,0.0
19:40,1.349,4267.3947,0.0
19:50,1.3473,4269.975,0.0
20:00,1.3482,4268.6702,0.0
