date,slot,timestamp,node_hour,net_kwh,load_kw,pv_kw,grid,charge_cap,discharge_cap,price,charge,discharge,emergency,spill,soc,g0,initial_soc,adjustment_cost,lag_observation,planned_cost,emergency_cost,total_cost
2025-01-07,0,2025-01-07 00:10:00,0,623.50183333333325,3741.011,0,0,0,0,0.42480000000000001,0,0,623.50183333333325,0,6000,0,6000,0,567.96833333333325,0,1324.3178939999998,1324.3178939999998
2025-01-07,1,2025-01-07 00:20:00,0,618.4973,3710.9838,0,0,0,0,0.42449999999999999,0,0,618.4973,0,6000,0,6000,0,623.50183333333325,0,1312.76051925,1312.76051925
2025-01-07,2,2025-01-07 00:30:00,0,571.00666666666666,3426.04,0,0,0,0,0.4269,0,0,571.00666666666666,0,6000,0,6000,0,618.4973,0,1218.8137300000001,1218.8137300000001
2025-01-07,3,2025-01-07 00:40:00,0,613.18646666666666,3679.1188000000002,0,0,0,0,0.42720000000000002,0,0,613.18646666666666,0,6000,0,6000,0,571.00666666666666,0,1309.7662928,1309.7662928
2025-01-07,4,2025-01-07 00:50:00,0,654.09698333333336,3924.5819000000001,0,0,0,0,0.42709999999999998,0,0,654.09698333333336,0,6000,0,6000,0,613.18646666666666,0,1396.8241079083334,1396.8241079083334
2025-01-07,5,2025-01-07 01:00:00,0,654.02499999999998,3924.1500000000001,0,0,0,0,0.42849999999999999,0,0,654.02499999999998,0,6000,0,6000,0,654.09698333333336,0,1401.2485624999999,1401.2485624999999
2025-01-07,6,2025-01-07 01:10:00,0,661.07168333333334,3966.4301,0,0,0,0,0.43109999999999998,0,0,661.07168333333334,0,6000,0,6000,0,654.02499999999998,0,1424.940013425,1424.940013425
2025-01-07,7,2025-01-07 01:20:00,0,641.8623,3851.1738,0,0,0,0,0.43020000000000003,0,0,641.8623,0,6000,0,6000,0,661.07168333333334,0,1380.6458073000001,1380.6458073000001
2025-01-07,8,2025-01-07 01:30:00,0,604.88999999999999,3629.3400000000001,0,0,0,0,0.4279,0,0,604.88999999999999,0,6000,0,6000,0,641.8623,0,1294.162155,1294.162155
2025-01-07,9,2025-01-07 01:40:00,0,605.50486666666666,3633.0291999999999,0,0,0,0,0.43120000000000003,0,0,605.50486666666666,0,6000,0,6000,0,604.88999999999999,0,1305.4684925333333,1305.4684925333333
2025-01-07,10,2025-01-07 01:50:00,0,632.82514999999989,3796.9508999999998,0,0,0,0,0.43330000000000002,0,0,632.82514999999989,0,6000,0,6000,0,605.50486666666666,0,1371.0156874749998,1371.0156874749998
2025-01-07,11,2025-01-07 02:00:00,0,660.40333333333331,3962.4200000000001,0,0,0,0,0.43109999999999998,0,0,660.40333333333331,0,6000,0,6000,0,632.82514999999989,0,1423.4993849999998,1423.4993849999998
