date,interval,charge,discharge,soc_start,soc_end
2025-02-01,00:00-04:00,631.17144259704219,39.801703972231792,10009.017713518522,10721.601107016337
2025-02-01,04:00-08:00,296.83567074315829,6426.7861835235872,10009.017713518522,10721.601107016337
2025-02-01,08:00-12:00,4936.2638666666662,677.72728333333328,10009.017713518522,10721.601107016337
2025-02-01,12:00-16:00,3855.5208232563386,16.832131980713484,10009.017713518522,10721.601107016337
2025-02-01,16:00-20:00,6.0921138947661451,5772.7851622547605,10009.017713518522,10721.601107016337
2025-02-01,20:00-24:00,9879.47247363317,2305.0811573281667,10009.017713518522,10721.601107016337
2025-02-02,00:00-04:00,194.25820914439137,172.14539606083076,10721.601107016337,10669.635519003581
2025-02-02,04:00-08:00,992.0732470058955,1452.8427373031043,10721.601107016337,10669.635519003581
2025-02-02,08:00-12:00,5796.6681926803067,6640.1851639677416,10721.601107016337,10669.635519003581
2025-02-02,12:00-16:00,4963.6449409022998,1341.0498166666669,10721.601107016337,10669.635519003581
2025-02-02,16:00-20:00,48.693271425614171,5460.5151681038069,10721.601107016337,10669.635519003581
2025-02-02,20:00-24:00,10040.585589320566,2829.1287419973769,10721.601107016337,10669.635519003581
2025-02-03,00:00-04:00,256.69261812136341,159.9694072140685,10669.635519003581,10498.355804268944
2025-02-03,04:00-08:00,973.85392647520689,1811.1558406679519,10669.635519003581,10498.355804268944
2025-02-03,08:00-12:00,5833.3333333333339,6734.8409882391798,10669.635519003581,10498.355804268944
2025-02-03,12:00-16:00,5703.1764829976428,1518.0213833333332,10669.635519003581,10498.355804268944
2025-02-03,16:00-20:00,38.204475559360503,5411.4610534956137,10669.635519003581,10498.355804268944
2025-02-03,20:00-24:00,9872.9887909614936,2888.0852685442292,10669.635519003581,10498.355804268944
2025-02-04,00:00-04:00,381.53541247531143,46.112552785635444,10498.355804268944,10574.403751752194
2025-02-04,04:00-08:00,893.58193613844639,1508.3299975967843,10498.355804268944,10574.403751752194
2025-02-04,08:00-12:00,5931.7865352212357,6202.636048438424,10498.355804268944,10574.403751752194
2025-02-04,12:00-16:00,5379.9965979923545,2166.8310153013599,10498.355804268944,10574.403751752194
2025-02-04,16:00-20:00,53.457181789953538,5321.4845683226613,10498.355804268944,10574.403751752194
2025-02-04,20:00-24:00,9711.8451045280963,2791.4469070179848,10498.355804268944,10574.403751752194
