date,g0,grid,planned_cost,adjustment_cost,emergency_cost,total_cost,emergency,charge,discharge,spill,emergency_events,emergency_slots,throughput,soc_start,soc_end
2025-02-01,45510.57936577592,41660.25195603801,24389.060908792679,-1264.2662880458126,21.960023623325352,23146.754644370194,4.6868047429997546,19605.356390791141,15239.013622392793,2920.4200590493265,1,1,34844.370013183936,10009.017713518522,10721.601107016337
2025-02-02,89838.498054273965,85667.194908961639,57381.549799448338,-1521.5266584143722,0,55860.023141033955,0,22035.923450479073,17895.867024099527,3170.8605325820863,0,0,39931.7904745786,10721.601107016337,10669.635519003581
2025-02-03,92067.712967541302,86251.392828065655,58863.275241586452,-2176.9884743212733,0,56686.286767265177,0,22678.249627448404,18523.533941494377,1879.7606421116354,0,0,41201.783568942781,10669.635519003581,10498.355804268944
2025-02-04,94038.296049526747,87477.661128741573,60617.89362960546,-2359.9676384992872,53.546776460747026,58311.472767566913,24.517754789719334,22352.202768145398,18036.841089462851,1991.9532548487575,1,1,40389.043857608252,10498.355804268944,10574.403751752194
2025-02-05,87906.946002727636,86009.565590187063,56126.103629627469,-743.73690020319361,0,55382.366729424262,0,22966.672502730533,18808.799033373281,1103.2651374964644,0,0,41775.471536103811,10574.403751752194,10345.74341157269
2025-02-06,93266.203419773839,85269.142199714421,59792.09448059593,-2908.5275328316366,13.961170142122491,56897.528117906419,2.3899974564961894,22967.628521553324,18701.498834583363,734.3452935343048,1,1,41669.127356136683,10345.74341157269,10237.165931433612
2025-02-07,45284.147275432013,40863.359044115859,24041.607902813681,-1343.3923434048752,2.4425499370051504,22700.658109345812,0.39956648732294298,19044.579136150285,15356.757169204655,5370.2569769908905,1,1,34401.33630535494,10237.165931433612,10314.223632630368
2025-02-08,36222.749286725171,36561.270783254833,18859.157100562705,456.95836356135169,108.70426489889445,19424.819729022951,22.177480969572017,20296.621303447479,16638.374347779998,1348.0385918902598,5,5,36934.99565122748,10314.223632630368,10094.100197088657
2025-02-09,87997.061003202369,85306.229476156979,55837.897554428739,-1055.1536761141615,15.878304335619488,54798.622182650201,6.5488600681065705,23030.395589021442,18840.128765739399,1567.095546276375,2,2,41870.524354760841,10094.100197088657,9887.9798208308512
2025-02-10,84753.511629679604,79580.229968374711,53496.920143458672,-1815.2384253726921,0,51681.68171808598,0,22337.137828920524,18010.650854228596,927.10541034946516,0,0,40347.78868314912,9887.9798208308512,9979.5695843831072
2025-02-11,84598.592838210636,79243.354679822369,53886.0428037128,-2110.3554725649419,440.35349625421713,52216.040827402074,91.746584012017152,23054.171926115119,18945.283706563838,5.6159109497622239,5,6,41999.455632678961,9979.5695843831072,9678.0090883713328
2025-02-12,85386.907080732199,79995.030753940693,53896.383886283518,-1967.2433765650817,526.98335337009905,52456.123863088535,113.84777679032457,23877.168725799551,19202.474779888715,167.44845148686284,8,11,43079.643505688262,9678.0090883713328,9831.3778528256862
2025-02-13,79359.035470710922,76971.579523530789,49357.851431829687,-799.17634650958814,0,48558.675085320094,0,22895.005037649793,18359.45837194912,1106.5538411634598,0,0,41254.463409598917,9831.3778528256862,10037.484195655923
2025-02-14,37099.24675728257,37133.638902339473,19444.515037890254,57.955583211305985,169.83335439120893,19672.30397549277,43.447108368592353,19141.350088929845,15388.622263498586,3622.5563686101445,2,2,34529.972352428435,10037.484195655923,10166.230094027689
2025-02-15,37583.06698870704,36496.999123852089,20005.127233082996,-470.74769115578675,90.264979541901525,19624.644521469112,19.584096532465821,18806.851271182408,15666.431476040121,4096.0723252422704,1,2,34473.282747222533,10166.230094027689,9685.2501536028321
2025-02-16,84903.379725734063,79606.885949035612,53445.469013271118,-827.07329069264688,611.6001612154613,53229.995883793927,139.78262973976021,22546.609193458338,18327.963660478665,150.64394579571649,6,9,40874.572853937003,9685.2501536028321,9612.7943605168184
