date,interval,g0,grid,planned_cost,adjustment_cost,emergency_cost,total_cost,grid_daily,total_cost_daily
2025-03-20,10:00-10:10,0,0,0,0,0,0,65903.584082348651,42648.517702999277
2025-03-20,12:00-12:10,650.26303608712203,566.6226887123612,286.83102521802954,-18.4468786135035,0,268.38414660452605,65903.584082348651,42648.517702999277
2025-03-20,14:00-14:10,0,0,0,0,0,0,65903.584082348651,42648.517702999277
2025-03-20,16:00-16:10,684.26247968526332,522.26054439916493,565.95349694768129,-66.995900337565985,0,498.95759661011527,65903.584082348651,42648.517702999277
2025-03-20,18:00-18:10,677.39772188272843,698.97871190893545,850.87927845689524,40.661822357877952,0,891.54110081477324,65903.584082348651,42648.517702999277
2025-03-20,20:00-20:10,0,0,0,0,85.208793587086774,85.208793587086774,65903.584082348651,42648.517702999277
2025-06-21,10:00-10:10,0,0,0,0,0,0,35641.560971438921,21866.927560129272
2025-06-21,12:00-12:10,0,0,0,0,0,0,35641.560971438921,21866.927560129272
2025-06-21,14:00-14:10,0,0,0,0,0,0,35641.560971438921,21866.927560129272
2025-06-21,16:00-16:10,205.89763564969127,186.37019719027526,170.29793444585962,-8.0755721748914873,0,162.22236227096815,35641.560971438921,21866.927560129272
2025-06-21,18:00-18:10,443.42720532199547,425.49573304233309,556.9889126049585,-11.261861165241962,0,545.72705143971655,35641.560971438921,21866.927560129272
2025-06-21,20:00-20:10,0,0,0,0,0,0,35641.560971438921,21866.927560129272
2025-09-23,10:00-10:10,0.040948467973421568,3.730349362740526e-14,0.040616785382836855,-0.020308392691399925,0,0.02030839269143693,66878.062112398489,44795.013878198341
2025-09-23,12:00-12:10,516.67781232087339,0,227.90658301473724,-113.95329150736862,0,113.95329150736862,66878.062112398489,44795.013878198341
2025-09-23,14:00-14:10,0,0,0,0,0,0,66878.062112398489,44795.013878198341
2025-09-23,16:00-16:10,693.83842779266649,553.88053400271156,573.87376362731447,-57.87958697683586,0,515.99417665047861,66878.062112398489,44795.013878198341
2025-09-23,18:00-18:10,650.12792772028786,650.12792772028797,816.62569000945359,2.1420305529318284e-13,0,816.62569000945382,66878.062112398489,44795.013878198341
2025-09-23,20:00-20:10,79.737019507374626,64.194827608043056,107.74863446031533,-10.501081956783375,0,97.247552503531949,66878.062112398489,44795.013878198341
2025-12-21,10:00-10:10,273.81337369825286,0,271.595485371297,-135.7977426856485,0,135.7977426856485,94774.98725217121,62048.550167890426
2025-12-21,12:00-12:10,1005.001261484221,1003.2741831916711,443.30605644068987,-0.38090711742187838,0,442.92514932326799,94774.98725217121,62048.550167890426
2025-12-21,14:00-14:10,0,0,0,0,0,0,94774.98725217121,62048.550167890426
2025-12-21,16:00-16:10,881.06771518602636,883.43393267891906,728.73110723036234,2.9356477325573298,0,731.66675496291964,94774.98725217121,62048.550167890426
2025-12-21,18:00-18:10,689.87885761656969,687.10465549295191,866.55683305217315,-1.7423376437381488,0,864.81449540843505,94774.98725217121,62048.550167890426
2025-12-21,20:00-20:10,0,0,0,0,0,0,94774.98725217121,62048.550167890426
