编号,优先级,审查问题,当前代码现状,与论文/题目是否对齐,风险,建议修改,处理状态,本次实现与验收,代码文件,精确代码行,代码语句,测试文件,测试行,测试名称,运行证据,证据运行代号
CR-01,P0,最终交付文件不是 result1.xlsx,当前主要输出 result1.csv、table1_purchase.csv、table2_storage.csv 等 CSV,不对齐。论文明确写 result1.xlsx 写入并回读，题目也要求按模板提交 XLSX,极高：可能直接影响最终提交文件正确性,按官方 result1.xlsx 模板写入两个工作表；关闭文件后重新读取；核验 144 个购电时段、6 个充放电汇总区间、首尾 SOC 和总费用,按用户指令覆盖,不采用XLSX/Office建议；result1、table1、table2、daily_summary四个CSV保留144段、六区间、首尾SOC、全日电量/费用关闭回读。,src/q1/export.py,17,"def check_csv_output(directory, data, solution):",src/q1/test_review.py,30,test_official_attachment_fresh_solve_golden_and_csv,outputs/q1_current/raw/validation.json#csv,run-ie6fkatf
CR-02,P1,固定 u_t* 后计算 μ_t、λ_t 存在 idle 状态退化,当 C_t=D_t=0 时，u_t=0/1 都合法，但求解器返回的 u_t 被直接固定,形式对齐，但经济解释不完全严格,高：影响论文最核心的“边际价值→充停放阈值”解释,最优方案：直接对原 MILP 做 ±δ 扰动重新求解，验证 μ_t、λ_t；至少对 idle 时段分别检查两种模式,已修复并限定解释,固定LP诊断之外，新增原MILP 288个RHS的±0.01kWh重求共576次。25项不能同时匹配固定影子价，报告两侧差分；未将非凸MILP值函数套用凸LP的次梯度检验。,src/q1/analysis.py,158,"changed[""lb""][row] += sign * step",src/q1/test_review.py,94,test_original_milp_rhs_all_576_results,outputs/q1_current/processed/milp_rhs_validation.csv,run-ie6fkatf
CR-03,P1,run.py 不是完整可复现流水线,数值 MILP 能求解，但绘图阶段因缺少中文字体直接异常退出,完整流程未对齐,高：无法声称“一键完整复现”,将数值计算与绘图解耦；图表失败不能影响正式计算和提交文件,已修复,数值和绘图解耦；图全部在独立目录生成，失败清除半图并报告；故障注入证明缺字体仍发布正确CSV。默认四组科研图实际生成成功。,src/q1/pipeline.py,31,"def render_figures(data, solutions, summaries, analysis, staging, enabled=True):",src/q1/test_review.py,190,test_font_failure_still_publishes_valid_csv_and_visible_status,outputs/q1_current/raw/figure_status.json,run-ie6fkatf
CR-04,P1,流水线不是 atomic,在全部分析结束前就写入部分输出；后续失败可能留下新旧结果混合,论文未显式描述，但影响可复现性,高：可能产生 stale artifacts,使用临时 staging 目录，全部 solve→analysis→xlsx→check→test 成功后再一次性替换正式输出目录,已修复,输入、解、分析、CSV和生成文档同一generation暂存；测试通过后单次os.replace切换current。分析、测试与提交失败均验证保持旧代。,src/q1/pipeline.py,92,"os.replace(pending, current)  # 同一文件系统的唯一发布提交点。",src/q1/test_review.py,123,test_atomic_pointer_and_failed_commit_preserve_old_generation,outputs/q1_current/raw/tests.json,run-ie6fkatf
CR-05,P1,测试套件没有全部通过,15 个测试中 14 pass、1 fail,不能宣称全部验收通过,中高,将浮点数 assertEqual 改为 assertAlmostEqual 或 np.testing.assert_allclose,本机未复现；已加固,修订前15项在本机全部通过，未把review的14/15当作当前实测事实。数值summary和schedule断言改为容差比较；本轮完整25项通过。,src/q1/test_analysis.py,38,"self.assertAlmostEqual(row[key], value, delta=COST_TOL_YUAN if key == ""cost_yuan"" else PHYS_TOL_KWH)",src/q1/test_analysis.py,26,test_all_36_scenarios_and_432_relaxations,outputs/q1_current/raw/test_log.txt,run-ie6fkatf
CR-06,P1/P2,测试大量验证已有 artifact，而非当前代码重新求解结果,部分测试读取 solution_main.json 后检查,部分对齐,中高：代码若被改坏，旧输出可能仍让部分测试通过,增加 end-to-end integration test：当前代码重新读取附件→solve→与 golden objective / schedule 对比,已修复,直接重新读取官方附件、当前代码求解，与修订前golden目标及原始数据SHA对照；新解导出CSV再回读。最优调度可能不唯一，不把idle u固定为golden。,src/q1/test_review.py,28,"cls.solution = solve(cls.data, .9)",src/q1/test_review.py,30,test_official_attachment_fresh_solve_golden_and_csv,outputs/q1_current/raw/tests.json,run-ie6fkatf
CR-07,P2,单一 EPS=1e-6 被用于多种不同物理量,同一个 EPS 同时用于 kWh、成本、binary、边际价值判断,粒度不够严谨,中,分成 PHYS_TOL_KWH、COST_TOL_YUAN、BINARY_TOL、MIP_GAP_TOL、ECONOMIC_VALUE_TOL,已修复,分物理kWh、费用元、二元、相对Gap、边际价值和无量纲比例；主检查按各项容差判定。二元误差小于物理容差但超过二元容差也会被拒绝。,src/q1/model.py,27,"TOLERANCES = {""physical_kwh"": PHYS_TOL_KWH, ""cost_yuan"": COST_TOL_YUAN,",src/q1/test_review.py,87,test_binary_tolerance_is_independent_of_physical,outputs/q1_current/inputs/processed/parameters.json#tolerances,run-ie6fkatf
CR-08,P2,“边际价值显著大于 0”在代码里只是 saving > 1e-6,经济瓶颈判定使用数值容差,论文措辞强于代码判据,中,"使用多个扰动步长 Δ=1,10,100，判断边际价值是否稳定且经济意义明显，再认定瓶颈",已修复；经济显著性不擅自判定,全部36情景的四类边界均按1/10/100三步长评估稳定性。只有稳定正值与活跃性可定义数值瓶颈；无投资成本或经济阈值依据，economic_bottleneck保留空值，论文取消显著非零等同经济瓶颈的说法。,src/q1/analysis.py,231,stable = len(values) >= 3 and max(values) - min(values) <= ECONOMIC_VALUE_TOL,src/q1/test_review.py,57,test_active_sets_use_current_limits_and_lower_space,outputs/q1_current/processed/bottleneck_values.csv,run-ie6fkatf
CR-09,P2,只分析 E_max 边际价值，未分析 E_min,当前对容量只做上限放宽,部分对齐,中：若论文写“完整储能容量瓶颈”，解释不充分,增加降低 E_min 的扰动，计算“更深放电空间”的边际价值；或者论文明确只讨论“储能安全上限边际价值”,已修复,新增降低E_min的三个步长，对其他参数保持不变，计算更深放电空间日价值；正式主解仍保持1200–10800kWh。,src/q1/analysis.py,209,"(""storage_lower"", ""e_min"", -1, ""yuan/(kWh day)"", ""E_min""),",src/q1/test_review.py,57,test_active_sets_use_current_limits_and_lower_space,outputs/q1_current/processed/bottleneck_values.csv#storage_lower,run-ie6fkatf
CR-10,P2,active_sets() 使用硬编码基准参数,直接使用 E_MAX、Q_MAX，而非当前 solution settings,当前主场景能用，但泛化差,中,从 solution['settings'] 获取 e_max、charge/discharge power limits,已修复,从solution.settings读取e_min/e_max/charge_kw/discharge_kw，局部边际表也按当前设置记录活跃界。,src/q1/analysis.py,63,"settings = solution[""settings""]",src/q1/test_review.py,57,test_active_sets_use_current_limits_and_lower_space,outputs/q1_current/processed/active_constraints.csv,run-ie6fkatf
