requirement_id,section,source_line,source_text,implementation_symbols,code_locations,acceptance,status
Q3-L0001,3.1,1,# 第三问：基于联合历史误差场景与非对称调整结算的四时点随机经济滚动优化模型,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0003,3.1,3,## 3.1 问题分析与模型定位,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0005,3.1,5,问题三在问题二的基础上新增了两类关键信息与决策机制：,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0007,3.1,7,"1. 每天 \(0{:}00,6{:}00,12{:}00,18{:}00\) 均可获得未来 24 h 整点光伏发电功率预报；",rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0008,3.1,8,"2. \(0{:}00\) 根据当时预报制定全天计划购电策略，\(6{:}00,12{:}00,18{:}00\) 可依据新预报调整尚未执行时段的购电策略；",rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0009,3.1,9,3. 若调整购电量高于 \(0{:}00\) 原计划购电量，超出部分按交易时刻电价的 \(1.5\) 倍结算；若调整购电量低于原计划购电量，则取消部分按交易时刻电价的 \(0.5\) 倍支付违约费用；,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0010,3.1,10,4. 若实际运行中供电仍不足，则延续问题二的紧急购电机制，以交易时刻电价的 \(5\) 倍补足缺口。,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0012,3.1,12,因此，本问的核心不再只是“如何在不确定负荷和光伏下制定全天计划”，而变为,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0014,3.1,14,\[,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0015,3.1,15,\boxed{,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0016,3.1,16,\text{在四个固定信息更新节点上，如何利用新光伏预报修正未来购电与储能策略},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0017,3.1,17,},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0018,3.1,18,\],rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0020,3.1,20,并同时权衡,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0022,3.1,22,\[,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0023,3.1,23,\boxed{,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0024,3.1,24,\text{正常购电成本},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0025,3.1,25,+,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0026,3.1,26,\text{调整成本},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0027,3.1,27,+,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0028,3.1,28,\text{紧急购电成本}.,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0029,3.1,29,},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0030,3.1,30,\],rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0032,3.1,32,从数学结构上看，本问同时具有：,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0034,3.1,34,- 随机性：未来负荷与光伏均存在预测误差；,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0035,3.1,35,- 动态信息更新：光伏预报在 \(0/6/12/18\) 点更新；,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0036,3.1,36,- 跨时段状态耦合：储能 SOC 将各时段联系起来；,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0037,3.1,37,- 非对称经济损失：\(0.5/1.5/5\) 倍价格形成不同方向的边际调整代价；,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0038,3.1,38,- 滚动决策：每次只执行当前信息节点至下一信息节点之间的策略，之后基于新信息重新规划。,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0040,3.1,40,结合题目给定的四时点信息更新机制、历史预测误差轨迹以及全年滚动求解规模，本文采用,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0042,3.1,42,\[,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0043,3.1,43,\boxed{,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0044,3.1,44,\textbf{基于联合历史误差场景与非对称调整结算的四时点随机经济滚动优化模型},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0045,3.1,45,},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0046,3.1,46,\],rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0048,3.1,48,其本质可归为,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0050,3.1,50,\[,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0051,3.1,51,\boxed{,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0052,3.1,52,\textbf{Scenario-Based Stochastic Economic MPC},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0053,3.1,53,},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0054,3.1,54,\],rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0056,3.1,56,即基于场景的随机经济模型预测控制（随机滚动时域优化）。需要强调的是，本文并不把该滚动模型等同于完整四阶段场景树随机规划：在每个信息节点，仅基于当前可获得的信息优化未来 24 h，并实际执行至下一信息节点；新预报到达后再重新优化尚未执行区间。因此，该方法属于**多阶段随机控制的滚动时域近似**，而非完整场景树意义下的全局最优多阶段策略。,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0058,3.1,58,本文也不把“使用 SMPC”本身作为创新点，而将重点放在以下题目驱动结构的统一建模：,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0060,3.1,60,\[,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0061,3.1,61,\boxed{,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0062,3.1,62,\text{四时点预测更新},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0063,3.1,63,+,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0064,3.1,64,\text{非对称调整结算},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0065,3.1,65,+,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0066,3.1,66,\text{联合历史误差场景},rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
Q3-L0067,3.1,67,+,rolling.run_day;optimization.solve;analysis.run_experiments,src/q3/rolling.py:92;src/q3/optimization.py:135;src/q3/analysis.py:136,四节点真实回放和分层实验入口,implemented; bounded-tests-only; full-numerical-evaluation-not-run
