scenario,slot,net_kwh,load_kw,weight,price
0,0,-666.10128133945159,3922.0764286299564,0.035714285714285712,0.44109999999999999
0,1,-694.48112333030861,3726.2442933514826,0.035714285714285712,0.4551
0,2,-647.88813728136665,3744.3505263118004,0.035714285714285712,0.44629999999999997
0,3,-559.33518922384269,4233.74213132361,0.035714285714285712,0.4113
0,4,-542.06094101366034,4446.1960372513713,0.035714285714285712,0.56820000000000004
0,5,-629.72591369254337,4027.4157178447399,0.035714285714285712,0.82789999999999997
0,6,-635.08844990371472,3773.1363339110453,0.035714285714285712,0.86360000000000003
0,7,-570.41951793400949,3990.1818590626094,0.035714285714285712,0.84160000000000001
0,8,-451.9134203488685,4439.6604779067893,0.035714285714285712,0.86180000000000001
0,9,-346.6982922437229,4452.8594798709964,0.035714285714285712,0.86229999999999996
0,10,-298.98751145387143,4145.470397943438,0.035714285714285712,0.90259999999999996
0,11,-282.92647404631936,3891.7894557220843,0.035714285714285712,0.97540000000000004
0,12,-216.43222906127477,4231.4218589656848,0.035714285714285712,1.0002
0,13,-173.4359847036441,4441.7409584448014,0.035714285714285712,0.99780000000000002
0,14,-171.95960217842259,4328.7357869294647,0.035714285714285712,1.0270999999999999
0,15,-181.28869916225858,4084.8529383597825,0.035714285714285712,1.0906
0,16,-152.82568853071007,4229.5602354824059,0.035714285714285712,0.93759999999999999
0,17,-109.45443678176237,4491.9368793094263,0.035714285714285712,0.6694
0,18,-84.074611312280012,4369.2252654596532,0.035714285714285712,0.66000000000000003
0,19,-29.570877061148771,4401.1461042997744,0.035714285714285712,0.72170000000000001
0,20,39.385916584061306,4558.3752995043687,0.035714285714285712,0.73080000000000001
0,21,160.91002979926543,4849.8468121289261,0.035714285714285712,0.75339999999999996
0,22,201.55732265304519,4884.734902584938,0.035714285714285712,0.7823
0,23,188.85779259022024,4809.0153555413217,0.035714285714285712,0.80549999999999999
0,24,228.7230438884034,4706.5717466637543,0.035714285714285712,0.82709999999999995
0,25,260.76063598759538,4626.9536825922396,0.035714285714285712,0.85189999999999999
0,26,264.98019333748982,4527.2259100249394,0.035714285714285712,0.87909999999999999
0,27,376.68909992780937,4988.7755329001893,0.035714285714285712,0.90239999999999998
0,28,410.52820941245466,5015.1207731413951,0.035714285714285712,0.9163
0,29,329.42998800760017,4411.4258280456015,0.035714285714285712,0.9264
0,30,340.33444619662532,4323.3264438464184,0.035714285714285712,0.94620000000000004
0,31,385.94646680075118,4343.5706341378409,0.035714285714285712,0.97419999999999995
0,32,420.43572294523676,4252.7058376714212,0.035714285714285712,0.98619999999999997
0,33,472.68015739311352,4307.1008110253479,0.035714285714285712,0.97599999999999998
0,34,529.54327305938295,4380.7894716896317,0.035714285714285712,1.0742
0,35,580.57904932135636,4405.8363959281387,0.035714285714285712,1.2313000000000001
0,36,621.42220355552183,4463.0494046664644,0.035714285714285712,1.2561
0,37,653.84250367635786,4471.1131887248139,0.035714285714285712,1.2446999999999999
0,38,672.61144234756614,4400.3295040853973,0.035714285714285712,1.2544999999999999
0,39,698.1804655597191,4413.7107266916482,0.035714285714285712,1.2522
