path,bytes,sha256
README.md,3940,b948a16dda6dc0a3e9d94fd99958ff31b17ff40fa2daae3973473fa18d2c5cb3
acceptance.md,4531,ff518c565d8a4278cbc2341f2f54e542e9c7642a2e3225aadd660bea55796d6e
captions.md,3399,b4d4fe3af970ea81639888cf026abbe0e2dba354e2959ccf0ca9d2416dc9c40e
data/execution_config.json,526,437c75e69fcab93630615421bb2aab088067e3d806a35edee6dc22120a0212c1
data/forecast_metrics.csv,4632,c7b5fdee114b9f4f5a284d2694dae8001aa52879ab6171d0a7b02b77a7c9ab37
data/forecast_pairs.csv,2740660,d0e4006ae3da2caa4dd0b4ce5f9dd6c900de6b465ce94646d3b985ea94bf96f3
data/formal_daily.csv,85121,7a4dab42589a6ebc382f70514bd64cfaecba403571328184807077328fd4ffbc
data/formal_dispatch.csv,14551989,fe55e338de9f901ba2375bead2c172c6e2d7c696d42fe67404c5ebe661a98b64
data/formal_solver_quality.csv,114273,e2bb59930b5c044df85d7529ac73ae72bea839c4d8d9cd37cf2af8f326c7f8e3
data/local_sensitivity.csv,19664,ab7ab24c569db47f3d209300caa8e8d4f13003ed5afdddf958fba12059cda31f
data/monthly_costs.csv,926,5d797c4b584a029c922d7b5f67330833bea29693a2776c204c4813f722eb5f7c
data/pressure_candidates.csv,118,85da3cbbbb63e264817f6f9e5f56ff989287cf8903ba216ba8db2a8cf921b9ce
data/pressure_dispatch.csv,44537,eda3dd3c605a1e0fe0626bd6f1cb8f3b8e630ea88e8d342297370ca174465fff
data/pressure_storage.csv,4671,0ce9a8e61b241be5b0f22df5c5d4964eb75258904dff532b98cbd37b7af094a8
data/provenance.json,57543,59b55ebf7996524f92ae8e759d00a25e5d949cf2b4ac4ef1c679ec159916ba2a
data/revision_pairs.csv,772956,798ba0d94a2e76656afe2f571d43693910526fd45bce72530ed5096bacbd0b06
data/revision_summary.csv,173,02b17e7018e3bf6679fb2aa33c2d84deaf3be67914f5f82f834338e2550a0e0e
data/typical_candidates.csv,1274,90d0b26b5945e22c438a0e8fb3eff7e0a4c3ac99bc2f6bdae93592aed31b4a4f
data/typical_dispatch.csv,44537,eda3dd3c605a1e0fe0626bd6f1cb8f3b8e630ea88e8d342297370ca174465fff
data/typical_forecasts_active.csv,1892,581e5dd4b5e5c7f8c651da56f3000a23668f8707a01976c1010a721a1f4020a7
data/typical_selection_scale.csv,220,0fe3eff6ce4ff3961fef5147cbd5b6ecd7e593b94f80a827979fb9afc36d9dfc
data/typical_storage.csv,4671,0ce9a8e61b241be5b0f22df5c5d4964eb75258904dff532b98cbd37b7af094a8
data/update_dispatch.csv,46096,55633d4b2d349ab0d30449a5e1a3f2567ff416746b0bfd069a2a41f624611daf
data/update_forecasts.csv,4772,0b97cb5772783a2ae101a8371d3e69a84a28526cb1ce0fe3493d0aee747180f6
data/update_grid_policies.csv,17272,46bbff0981599c3eb95388845ffb946b053d66c24522d644c76477e7e3e97cf6
data/update_storage.csv,4546,ca83f0e38d4a317c3bab01689e089d04045b71f3ea49761459b592cef4a008e1
index.html,6825,ea3dce6ed6830ebdb4e322bd9551dbd5ec4ec60162a5f1a4c226d206ba2a4690
manifest.json,7127,5220a0f83b14f025146ac6051f4a49ea5865dd2d61c449d725c03a7ccb5b4544
requirements.txt,77,b373cfeb49918c7b0dd8641c766ff78828528cba8876368d218326d54a8558aa
src/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
src/plots/__init__.py,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
src/plots/common.py,2036,b950d92d7d78d0f1a21880f64c6449a51945525a919d863bb9f5219a7057e29c
src/plots/q3_paper_core.py,12084,d64d91b700324aeff09323921d62d2ad4dbfeb5c1aa7d5c019e4fa2176db0f77
src/plots/q3_paper_data.py,9778,19d043410ea86e9d7aa956f0e108e771e4f4bb72688466c89bd11d075ed054c2
src/plots/q3_paper_final.py,21405,e65c4e52dae4bd7de79f7170fce2170158a835da824f647992d18d8bee9811f2
src/plots/q3_paper_package.py,9794,6d842365bf7d0cf5cd552637f343368566b299d948504e769a81d4892515ab98
src/plots/q3_paper_verify.py,5358,de9787646d4f155f5a8b4ee85fc65021ca11b09f73ffa4dd698688660b73e669
ui_smoke.json,456,fe9847c9d3755aac8fdbfd39ed6887041e062874ca8fb7cbba1460386a38e40d
verification.json,2139,e00fde946378f9167c1882074a1097db8f43fd059ee1d6eeaad874dbcf939684
图后分析与论文插入建议.md,3880,2cce07714d9d8914e715627e2800dead4d77b61a12560a820bdc02d134d09bf9
扩展备选图/A1_高更新日计划修订.png,407754,b08d18a149be890d11a464608d27d81771bca8634841976bbcb52f1291d814ac
扩展备选图/A1_高更新日计划修订.svg,147490,3b40a5ab7029ce05e965a040f1741625a0c6652bf8f5fe8d494dc7c023eda7f6
扩展备选图/A2_压力日储能分轴.png,473198,61b4386c4c2186fe4cfad564d348d7292eb714d5c604f785fa6e6dc62e9ab559
扩展备选图/A2_压力日储能分轴.svg,244697,344bb3b4cf383ebc8c21e87e07f20a919e6da3fa43b05c650c5273bf78ca0d81
扩展备选图/A3_月度费用结构.png,252168,d5a0edbe6dd581f1785acbbb4a4747ad2d9ee49cc4f977d6eaa939ad9bb20b9c
扩展备选图/A3_月度费用结构.svg,117656,798a1294c5d3777db3db756959bb99281e129baad24dad9d3dc92b0902c489b6
扩展备选图/A4_全年储能与购电修订.png,381095,db5186b47e10c4300d5045738a09feeb9bf4aecb40bb62c6a5e6c8bcdbee0e4d
扩展备选图/A4_全年储能与购电修订.svg,321900,987d56252235f13047a5809c26bfbbdc3c30afabc97c74e41707b994abb643cc
