model,slot0,hour,charge_fraction,discharge_fraction,idle_fraction
Q2,0,0.16666666666666666,0.94311377245508987,0.017964071856287425,0.038922155688622756
Q2,1,0.33333333333333331,0.96107784431137722,0.0089820359281437123,0.029940119760479042
Q2,2,0.5,0.89820359281437123,0.059880239520958084,0.041916167664670656
Q2,3,0.66666666666666663,0.89221556886227549,0.056886227544910177,0.05089820359281437
Q2,4,0.83333333333333337,0.86227544910179643,0.068862275449101798,0.068862275449101798
Q2,5,1,0.85628742514970058,0.062874251497005984,0.080838323353293412
Q2,6,1.1666666666666667,0.8293413173652695,0.10179640718562874,0.068862275449101798
Q2,7,1.3333333333333333,0.81137724550898205,0.09880239520958084,0.089820359281437126
Q2,8,1.5,0.8293413173652695,0.059880239520958084,0.11077844311377245
Q2,9,1.6666666666666667,0.83233532934131738,0.071856287425149698,0.09580838323353294
Q2,10,1.8333333333333333,0.79341317365269459,0.10179640718562874,0.10479041916167664
Q2,11,2,0.76047904191616766,0.086826347305389226,0.15269461077844312
Q2,12,2.1666666666666665,0.80538922155688619,0.053892215568862277,0.1407185628742515
Q2,13,2.3333333333333335,0.80239520958083832,0.077844311377245512,0.11976047904191617
Q2,14,2.5,0.78443113772455086,0.11976047904191617,0.09580838323353294
Q2,15,2.6666666666666665,0.76047904191616766,0.1437125748502994,0.09580838323353294
Q2,16,2.8333333333333335,0.76646706586826352,0.11976047904191617,0.11377245508982035
Q2,17,3,0.73952095808383234,0.12874251497005987,0.1317365269461078
Q2,18,3.1666666666666665,0.70359281437125754,0.1437125748502994,0.15269461077844312
Q2,19,3.3333333333333335,0.66766467065868262,0.18263473053892215,0.1497005988023952
Q2,20,3.5,0.72455089820359286,0.15568862275449102,0.11976047904191617
Q2,21,3.6666666666666665,0.71556886227544914,0.16766467065868262,0.11676646706586827
Q2,22,3.8333333333333335,0.67964071856287422,0.20359281437125748,0.11676646706586827
Q2,23,4,0.66766467065868262,0.22155688622754491,0.11077844311377245
Q2,24,4.166666666666667,0.67664670658682635,0.18562874251497005,0.1377245508982036
Q2,25,4.333333333333333,0.69461077844311381,0.17365269461077845,0.1317365269461078
Q2,26,4.5,0.69161676646706582,0.19461077844311378,0.11377245508982035
Q2,27,4.666666666666667,0.65568862275449102,0.23952095808383234,0.10479041916167664
Q2,28,4.833333333333333,0.67964071856287422,0.18562874251497005,0.1347305389221557
Q2,29,5,0.60479041916167664,0.26646706586826346,0.12874251497005987
Q2,30,5.166666666666667,0.66167664670658688,0.21257485029940121,0.12574850299401197
Q2,31,5.333333333333333,0.6347305389221557,0.21257485029940121,0.15269461077844312
Q2,32,5.5,0.77544910179640714,0.068862275449101798,0.15568862275449102
Q2,33,5.666666666666667,0.82335329341317365,0,0.17664670658682635
Q2,34,5.833333333333333,0.068862275449101798,0.54191616766467066,0.38922155688622756
Q2,35,6,0.0029940119760479044,0.94011976047904189,0.056886227544910177
Q2,36,6.166666666666667,0,0.99401197604790414,0.0059880239520958087
Q2,37,6.333333333333333,0.080838323353293412,0.91317365269461082,0.0059880239520958087
Q2,38,6.5,0.056886227544910177,0.93712574850299402,0.0059880239520958087
Q2,39,6.666666666666667,0.10479041916167664,0.8892215568862275,0.0059880239520958087
Q2,40,6.833333333333333,0.17664670658682635,0.81736526946107779,0.0059880239520958087
Q2,41,7,0.25449101796407186,0.73652694610778446,0.0089820359281437123
Q2,42,7.166666666666667,0.41017964071856289,0.57784431137724546,0.011976047904191617
Q2,43,7.333333333333333,0.52994011976047906,0.45808383233532934,0.011976047904191617
