model,date,hour,empirical,worst,premium_yuan,premium_pct,rho,ESS,history_n,S
Q4-2,2025-02-01,0,93996.789613620072,94857.762582611249,860.97296899117646,0.91595997323978828,0.60056922111398992,16,16,16
Q4-2,2025-02-02,0,135100.89538624915,136327.9599768123,1227.0645905631536,0.90825792608923983,0.58389339617084013,17,17,17
Q4-2,2025-02-03,0,133887.93096110178,135481.88824959379,1593.9572884920053,1.1905160360982103,0.57642123301889903,18,18,18
Q4-2,2025-02-04,0,128649.25754526778,130499.38966333537,1850.1321180675877,1.4381211002454375,0.5500784077564439,19,19,19
Q4-2,2025-02-05,0,126853.12042662335,128876.49700866308,2023.3765820397239,1.5950546389673637,0.53690226656170459,20,20,20
Q4-2,2025-02-06,0,88673.576107613859,90097.106381768084,1423.5302741542255,1.6053601722644251,0.54193296263604085,21,21,20
Q4-2,2025-02-07,0,39802.572135483366,40410.677566843748,608.10543136038177,1.5278043571919531,0.50323206054613412,22,22,20
Q4-2,2025-02-08,0,73608.722506900114,74788.800781354046,1180.078274453932,1.6031772244699871,0.50421817933808721,23,23,20
Q4-2,2025-02-09,0,125928.65363786275,128068.53497029425,2139.8813324314979,1.6992807201649418,0.48181906642246575,24,24,20
Q4-2,2025-02-10,0,128628.23043871815,130966.18678838688,2337.9563496687333,1.817607489191575,0.47592465186000477,25,25,20
Q4-2,2025-02-11,0,124076.19782313817,126421.07886260093,2344.8810394627653,1.8898717728320635,0.44312810957243082,26,26,20
Q4-2,2025-02-12,0,123433.45740535208,126048.65742454195,2615.2000191898696,2.1187124416369718,0.47498637217146028,27,27,20
Q4-2,2025-02-13,0,73044.733106257336,74672.068319984042,1627.3352137267066,2.2278611263586212,0.43406477949520739,28,28,20
Q4-2,2025-02-14,0,33705.405974990426,34445.23729566906,739.83132067863335,2.1949930560919206,0.44907199436828876,29,29,20
Q4-2,2025-02-15,0,73783.186202795798,75489.232681535024,1706.0464787392266,2.3122428923713079,0.42244015526711631,30,30,20
Q4-2,2025-02-16,0,110578.12316515934,113162.99394376093,2584.8707786015875,2.3375968994706398,0.39499105074779522,31,31,20
Q4-2,2025-02-17,0,117285.48709144007,120509.83006081887,3224.3429693788057,2.7491406220319314,0.40823234530406921,32,32,20
Q4-2,2025-02-18,0,109102.18037483942,112138.31907765023,3036.1387028108147,2.7828396209678363,0.36823706467613493,33,33,20
Q4-2,2025-02-19,0,106391.03425446255,109444.93177304405,3053.897518581507,2.8704463115541312,0.36211885919270304,34,34,20
Q4-2,2025-02-20,0,71778.26641143809,74112.188900969195,2333.9224895311054,3.251572664283775,0.386629017272899,35,35,20
Q4-2,2025-02-21,0,31942.55594788591,32929.477832774326,986.92188488841566,3.0896772521853633,0.37686721792799527,36,36,20
Q4-2,2025-02-22,0,69975.497299879105,72041.67379562094,2066.1764957418345,2.9527142720933597,0.362885223518495,37,37,20
Q4-2,2025-02-23,0,104932.98553740865,107907.00577586469,2974.0202384560398,2.8342091128206848,0.37655082605859236,38,38,20
Q4-2,2025-02-24,0,106002.75477112584,108939.75540110684,2937.0006299810047,2.7706833056578395,0.37210745131736772,39,39,20
Q4-2,2025-02-25,0,108142.94813415514,111279.49974098553,3136.5516068303841,2.9003755315967439,0.34247963763695288,40,40,20
Q4-2,2025-02-26,0,100607.84947519582,103249.10369423652,2641.2542190406966,2.6252963688403685,0.34824992009733119,41,41,20
Q4-2,2025-02-27,0,64578.842613134118,66339.448968224024,1760.6063550899053,2.7262897318197421,0.34714880895095784,42,42,20
Q4-2,2025-02-28,0,30954.904970374319,31760.131273636631,805.22630326231229,2.6012882418245509,0.3238301981085156,43,43,20
Q4-2,2025-03-01,0,69057.046789505897,71146.514625141426,2089.4678356355289,3.0257127009854168,0.36141590077964159,44,44,20
Q4-2,2025-03-02,0,103330.44612152329,105897.63278229028,2567.1866607669945,2.4844436050801777,0.32267646518167808,45,45,20
Q4-2,2025-03-03,0,106019.6256522733,108762.53727576559,2742.911623492284,2.5871734658718504,0.33602761106843138,46,46,20
Q4-2,2025-03-04,0,100500.75361169231,103462.83104308831,2962.0774313959992,2.9473186269235896,0.32051023056594496,47,47,20
Q4-2,2025-03-05,0,98660.081354937298,101528.20324591408,2868.1218909767776,2.9070743218409634,0.31209620637372265,48,48,20
Q4-2,2025-03-06,0,61258.278498947606,63018.731273867015,1760.4527749194094,2.8738201889719317,0.33081352549144016,49,49,20
Q4-2,2025-03-07,0,30003.603786908923,30990.044832998239,986.44104608931593,3.2877418762599309,0.33490113977965147,50,50,20
Q4-2,2025-03-08,0,66294.430773438478,68566.99404154584,2272.5632681073621,3.4279851890935742,0.31030703625767075,51,51,20
Q4-2,2025-03-09,0,98984.955815832422,102063.35112497998,3078.395309147556,3.1099628057369655,0.30141319879296163,52,52,20
Q4-2,2025-03-10,0,99628.187226025068,102432.86524953897,2804.6780235139013,2.8151450925740118,0.30874920255294974,53,53,20
Q4-2,2025-03-11,0,87859.460410934262,90555.148262520786,2695.6878515865246,3.0681816607776913,0.29636004952706346,54,54,20
Q4-2,2025-03-12,0,96375.454419743473,99297.08236186087,2921.6279421173967,3.0315062685908112,0.28432111594494236,55,55,20
Q4-2,2025-03-13,0,60087.488814582975,61669.849000663664,1582.3601860806884,2.6334270532814452,0.28409080674247056,55,55,20
Q4-2,2025-03-14,0,25641.648759292009,26181.927575400805,540.27881610879558,2.1070361784478076,0.28777842001496728,55,55,20
Q4-2,2025-03-15,0,56830.019527039149,58886.293492454919,2056.2739654157704,3.6182883316403069,0.29545906123643145,55,55,20
Q4-2,2025-03-16,0,92968.038769908919,96090.933821145896,3122.8950512369775,3.3591060891001279,0.30314358504089889,55,55,20
Q4-2,2025-03-17,0,90460.958137389753,93450.307618611987,2989.3494812222343,3.3045741972819842,0.29961679723631884,55,55,20
Q4-2,2025-03-18,0,96226.075588187698,98752.070125589395,2525.994537401697,2.6250624084598773,0.33426679279627541,55,55,20
Q4-2,2025-03-19,0,90481.974317285756,92811.778486171708,2329.8041688859521,2.5748821093538599,0.30182517407580961,55,55,20
Q4-2,2025-03-20,0,57592.938035359301,58755.175041492854,1162.2370061335532,2.0180199965141421,0.29682957364207302,55,55,20
Q4-2,2025-03-21,0,25754.16955467053,26387.80554209089,633.63598742035902,2.4603238946427242,0.30189822157196061,55,55,20
Q4-2,2025-03-22,0,55880.969277699289,58157.294950549185,2276.3256728498964,4.0735257499520783,0.30457400039910021,55,55,20
Q4-2,2025-03-23,0,85505.836371067242,88249.14544943432,2743.3090783670777,3.2083296237955139,0.31107160556040214,55,55,20
Q4-2,2025-03-24,0,86645.519975013987,89578.36971741225,2932.8497423982626,3.384883307577824,0.32063640494529294,55,55,20
Q4-2,2025-03-25,0,90281.140348827845,92702.239590795594,2421.0992419677495,2.6817331201324235,0.29443205863932248,55,55,20
Q4-2,2025-03-26,0,85421.938099573585,87769.395073435095,2347.4569738615101,2.7480727153780471,0.29690878286683009,55,55,20
Q4-2,2025-03-27,0,55677.875472730128,56810.017460011979,1132.1419872818515,2.0333785685417327,0.29393377025547579,55,55,20
Q4-2,2025-03-28,0,24853.803780208349,25454.288580396013,600.4848001876635,2.4160680010914204,0.32493437868558339,55,55,20
Q4-2,2025-03-29,0,52419.475920896031,54274.566288235103,1855.0903673390712,3.5389334493509672,0.29804070081526385,55,55,20
Q4-2,2025-03-30,0,81587.934080564621,84053.549977145361,2465.6158965807408,3.0220349667710034,0.29918975528304576,55,55,20
Q4-2,2025-03-31,0,82026.162884369507,83725.789618722454,1699.6267343529471,2.0720544209155145,0.30698900262523138,55,55,20
Q4-2,2025-04-01,0,83064.703412840085,84780.72565582543,1716.0222429853457,2.0658861977229215,0.29269162564178269,55,55,20
Q4-2,2025-04-02,0,83122.611208855698,84973.289563880477,1850.6783550247783,2.2264439580401474,0.27880690645965744,55,55,20
Q4-2,2025-04-03,0,53851.502477801521,54507.48108336539,655.97860556386877,1.218124983298785,0.29786536177042588,55,55,20
Q4-2,2025-04-04,0,23922.439266015845,24363.665436725489,441.22617070964407,1.8444029298318565,0.285278480170086,55,55,20
Q4-2,2025-04-05,0,50146.778728991507,51503.632284967374,1356.8535559758675,2.7057641395247245,0.29057772790649938,55,55,20
