date,K,M,S,initial_soc,final_soc,cost,emergency_kwh,computational_limited
2025-02-01,3,15,15,8482.7663850000008,8842.475794799464,23010.311035166997,17.040032068561594,False
2025-02-02,2,17,17,8842.475794799464,8603.1508781546127,56418.640743401622,0,False
2025-02-03,2,18,18,8603.1508781546127,8498.5090218130445,55800.575734160055,24.320542722519605,False
2025-02-04,2,19,19,8498.5090218130445,8621.8660891032523,55807.911601696578,81.4987681544265,False
2025-02-05,2,20,20,8621.8660891032523,8406.5029047910048,54644.35973353796,16.097349381677304,False
2025-02-06,2,21,21,8406.5029047910048,8521.3909407976007,55230.105579339492,0,False
2025-02-07,3,21,21,8521.3909407976007,8677.6003089691258,22329.51855439951,0,True
2025-02-08,2,23,23,8677.6003089691258,8586.2213947401251,20033.396788610957,13.686540462503899,True
2025-02-09,2,24,24,8586.2213947401251,8310.9191938564218,53440.93383587346,104.97379107645973,False
2025-02-10,2,25,25,8310.9191938564218,8208.3563538480212,53709.704445949967,13.073916993815487,False
2025-02-11,2,26,26,8208.3563538480212,8229.5717177909955,53194.310502860921,23.214728114827594,False
2025-02-12,2,27,27,8229.5717177909955,8142.3456762143087,52264.459052351653,0,False
2025-02-13,2,28,28,8142.3456762143087,7407.7056388878345,51366.826061960688,23.743677770034424,False
2025-02-14,2,29,29,7407.7056388878345,7193.8306843959581,18741.562478196316,6.7795955497866771,False
2025-02-15,2,30,30,7193.8306843959581,8029.1984844967365,19478.704697939738,87.203780117633968,False
2025-02-16,2,31,31,8029.1984844967365,7804.1587903492273,50257.331269587245,182.9210571181884,False
2025-02-17,2,32,32,7804.1587903492273,8365.0535031414001,49827.689017046985,0,False
2025-02-18,2,33,33,8365.0535031414001,8451.7368793332698,48961.029536538219,0,False
2025-02-19,2,34,34,8451.7368793332698,8051.5465383362771,49035.496371754947,25.072417690084887,False
2025-02-20,2,35,35,8051.5465383362771,6988.1500720284002,47972.732799128302,3.9913411842650959,False
2025-02-21,2,36,36,6988.1500720284002,6665.2984357991436,17876.517687377564,0,False
2025-02-22,2,37,37,6665.2984357991436,8054.7452920095575,18735.98746784118,20.045362684995155,False
2025-02-23,2,38,38,8054.7452920095575,7977.7921984741033,47843.769685334788,62.620005594962699,False
2025-02-24,2,39,39,7977.7921984741033,8246.6707905168369,47844.828739379227,33.412807120028674,False
2025-02-25,2,40,40,8246.6707905168369,8106.0155804834421,47273.787250250491,33.664618777641437,False
2025-02-26,2,41,40,8106.0155804834421,8357.9896172844055,46856.474268567807,17.79920166880299,False
2025-02-27,2,42,40,8357.9896172844055,6120.1464956014233,45258.338687724128,56.642847584789529,False
2025-02-28,2,43,40,6120.1464956014233,6040.4567909769439,17355.396242378054,9.4049533013720747,False
2025-03-01,2,44,40,6040.4567909769439,7914.9054090978316,18399.719886105053,16.443333333333307,False
2025-03-02,2,45,40,7914.9054090978316,7869.7248272921879,66382.978173225958,3577.0676825776577,False
2025-03-03,2,46,40,7869.7248272921879,7789.3148826689676,63354.440034019528,2947.020139223172,False
2025-03-04,3,46,40,7789.3148826689676,7858.341944000581,45747.9369559677,14.415634460736893,True
