date,slot,timestamp,node_hour,net_kwh,load_kw,pv_kw,grid,charge_cap,discharge_cap,lag_observation,price,charge,discharge,emergency,spill,soc,g0,initial_soc,tree_node,planned_cost,adjustment_cost,emergency_cost,total_cost
2025-02-01,0,2025-02-01 00:10:00,0,422.03036666666668,2532.1822000000002,0,423.04988125295523,48.377392075381351,41.69562604449311,423.96000000000004,0.42480000000000001,1.0195145862885511,0,0,-0,6000.9175631276594,423.04988125295523,6000,0,179.71158955625538,0,0,179.71158955625538
2025-02-01,1,2025-02-01 00:20:00,0,415.4073166666667,2492.4439000000002,0,424.50090822841571,25.497883057485751,42.183729610506646,422.03036666666668,0.42449999999999999,9.0935915617490082,0,0,-0,6009.1017955332336,424.50090822841571,6000,0,180.20063554296246,0,0,180.20063554296246
2025-02-01,2,2025-02-01 00:30:00,0,410.7166666666667,2464.3000000000002,0,461.04188399518011,26.356223238518794,12.969253766932752,415.4073166666667,0.4269,26.356223238518794,0,0,23.968994089994624,6032.8223964479002,461.04188399518011,6000,0,196.8187802775424,0,0,196.8187802775424
2025-02-01,3,2025-02-01 00:40:00,0,430.29479999999995,2581.7687999999998,0,458.59173631986499,13.61683840918414,58.924621954134352,410.7166666666667,0.42720000000000002,13.61683840918414,0,0,14.6800979106809,6045.0775510161657,458.59173631986499,6000,0,195.91038975584632,0,0,195.91038975584632
2025-02-01,4,2025-02-01 00:50:00,0,424.41058333333331,2546.4634999999998,0,512.81561723666732,73.077240050700254,0.33148367946671442,430.29479999999995,0.42709999999999998,73.077240050700254,0,0,15.327793852633761,6110.8470670617962,512.81561723666732,6000,0,219.0235501217806,0,0,219.0235501217806
2025-02-01,5,2025-02-01 01:00:00,0,406.05166666666662,2436.3099999999999,0,543.15532129553321,122.4506921846334,3.268069636005805,424.41058333333331,0.42849999999999999,122.4506921846334,0,0,14.652962444233196,6221.0526900279665,543.15532129553321,6000,0,232.74205517513599,0,0,232.74205517513599
2025-02-01,6,2025-02-01 01:10:00,0,436.75018333333333,2620.5011,0,463.03693432797792,0,50.518783981173272,406.05166666666662,0.43109999999999998,0,0,0,26.286750994644592,6221.0526900279665,463.03693432797792,6000,0,199.61522238879127,0,0,199.61522238879127
2025-02-01,7,2025-02-01 01:20:00,0,451.79768333333328,2710.7860999999998,0,455.07697310531177,0,52.556917367939207,436.75018333333333,0.43020000000000003,0,0,0,3.2792897719784833,6221.0526900279665,455.07697310531177,6000,0,195.77411382990513,0,0,195.77411382990513
2025-02-01,8,2025-02-01 01:30:00,0,446.07999999999998,2676.48,0,518.2383397293803,0,0,451.79768333333328,0.4279,0,0,0,72.158339729380316,6221.0526900279665,518.2383397293803,6000,0,221.75418557020183,0,0,221.75418557020183
2025-02-01,9,2025-02-01 01:40:00,0,471.76633333333331,2830.598,0,454.78685157164296,0,0,446.07999999999998,0.43120000000000003,0,0,16.979481761690352,0,6221.0526900279665,454.78685157164296,6000,0,196.10409039769246,0,36.607762678204402,232.71185307589687
2025-02-01,10,2025-02-01 01:50:00,0,448.02596666666665,2688.1558,0,495.26195407295023,0,0,471.76633333333331,0.43330000000000002,0,0,0,47.235987406283584,6221.0526900279665,495.26195407295023,6000,0,214.59700469980933,0,0,214.59700469980933
