g,cp,rp
1392.522870978019,833.33333333333326,0
1398.3327064122652,833.33333333333326,0
1398.8551942700326,833.33333333333326,0
1389.3340107710437,833.33333333333326,0
1385.3491424725992,833.33333333333326,0
1382.4329133303806,833.33333333333326,0
576.00624290354006,833.33333333333326,29.30272461836887
1399.5956349521359,833.33333333333326,0
1415.9718507829475,833.33333333333326,0
584.18523917175708,833.33333333333326,833.33333333333326
581.73072052294856,833.33333333333326,833.33333333333326
1402.6667111469892,833.33333333333326,0
1374.6146919640764,833.33333333333326,0
594.78936791453043,833.33333333333326,25.033159394731797
623.16125075373338,833.33333333333326,833.33333333333326
616.32013273188159,833.33333333333326,0
619.67308820357152,833.33333333333326,0
628.95451871213595,833.33333333333326,833.33333333333326
611.55591022630301,833.33333333333326,833.33333333333326
622.99999702124296,833.33333333333326,833.33333333333326
638.9005708821212,833.33333333333326,833.33333333333326
614.88490239318469,833.33333333333326,833.33333333333326
615.91356427885216,833.33333333333326,833.33333333333326
629.13870857899394,833.33333333333326,833.33333333333326
627.23531808609596,833.33333333333326,833.33333333333326
631.76275163514822,833.33333333333326,833.33333333333326
629.23670162102576,833.33333333333326,833.33333333333326
637.45497632182833,833.33333333333326,833.33333333333326
643.62687220513544,833.33333333333326,833.33333333333326
633.49449192490954,833.33333333333326,833.33333333333326
610.82762213940464,833.33333333333326,833.33333333333326
630.23434561997055,833.33333333333326,0
1430.5783609131593,833.33333333333326,0
1409.7271416315821,833.33333333333326,0
591.23016533137525,833.33333333333326,833.33333333333326
0,833.33333333333326,762.00802489091052
0,833.33333333333326,716.52447119079375
0,833.33333333333326,666.81160223032293
0,833.33333333333326,833.33333333333326
0,833.33333333333326,607.47505627152407
0,833.33333333333326,541.47705267948345
0,833.33333333333326,508.01643924280239
0,833.33333333333326,411.77800562692937
0,833.33333333333326,344.96989940438249
0,833.33333333333326,321.96969256177226
0,833.33333333333326,253.94027061258521
0,833.33333333333326,349.11340253406894
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,209.68346681762387
0,833.33333333333326,229.72667561869821
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,0
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,0
0,833.33333333333326,0
462.08055447437641,833.33333333333326,0
385.01173220079602,833.33333333333326,0
365.11840446718418,833.33333333333326,0
413.63900695360428,833.33333333333326,0
444.5631485218376,833.33333333333326,0
554.88647708790927,833.33333333333326,0
491.65826099011741,833.33333333333326,0
490.9637022088616,833.33333333333326,0
527.46197735767691,833.33333333333326,0
530.01987962184262,833.33333333333326,0
0,833.33333333333326,0
0,833.33333333333326,0
0,833.33333333333326,0
0,833.33333333333326,0
0,833.33333333333326,0
0,833.33333333333326,0
0,833.33333333333326,0
0,833.33333333333326,0
0,833.33333333333326,833.33333333333326
0,833.33333333333326,57.857394441236764
0,833.33333333333326,49.914628569839806
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
112.02616546054969,833.33333333333326,833.33333333333326
156.49859636882212,833.33333333333326,833.33333333333326
152.54383516033477,833.33333333333326,26.940302408404932
183.8432146288601,833.33333333333326,46.627114683802716
244.54844325198442,833.33333333333326,37.452347203669575
263.83625854292779,833.33333333333326,86.999091029807346
392.768656627474,833.33333333333326,833.33333333333326
423.86315992292566,833.33333333333326,833.33333333333326
475.03330931376132,833.33333333333326,833.33333333333326
497.43493136731541,833.33333333333326,833.33333333333326
555.83179322906085,833.33333333333326,833.33333333333326
567.68687654313669,833.33333333333326,833.33333333333326
677.3752638222104,833.33333333333326,833.33333333333326
716.84562667902833,833.33333333333326,833.33333333333326
750.37315943332271,833.33333333333326,833.33333333333326
816.99429282221706,833.33333333333326,833.33333333333326
894.99721482091411,833.33333333333326,833.33333333333326
812.01064489588646,833.33333333333326,833.33333333333326
619.12624537180227,833.33333333333326,833.33333333333326
642.77827208026713,833.33333333333326,833.33333333333326
700.83585361316148,833.33333333333326,833.33333333333326
693.99906876691534,833.33333333333326,833.33333333333326
693.4880625178796,833.33333333333326,833.33333333333326
391.69228946957202,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
0,833.33333333333326,757.30735212986315
0,833.33333333333326,769.94496176419852
0,833.33333333333326,833.33333333333326
0,833.33333333333326,752.34025352489061
0,833.33333333333326,833.33333333333326
0,833.33333333333326,833.33333333333326
710.8630447548403,833.33333333333326,833.33333333333326
733.6523268711951,833.33333333333326,833.33333333333326
730.53560980163297,833.33333333333326,833.33333333333326
712.22462196285073,833.33333333333326,833.33333333333326
722.74874599082443,833.33333333333326,833.33333333333326
722.44339352254713,833.33333333333326,833.33333333333326
682.79850320707976,833.33333333333326,833.33333333333326
598.71418770619266,833.33333333333326,833.33333333333326
570.30873543948871,833.33333333333326,0
546.04607921669981,833.33333333333326,833.33333333333326
567.43127859334709,833.33333333333326,833.33333333333326
571.38067529135481,833.33333333333326,833.33333333333326
546.97151147701948,833.33333333333326,833.33333333333326
524.64232825240765,833.33333333333326,833.33333333333326
540.23840703070164,833.33333333333326,833.33333333333326
566.16036968617721,833.33333333333326,833.33333333333326
542.58855729044262,833.33333333333326,833.33333333333326
550.70152285431027,833.33333333333326,833.33333333333326
535.90205485645924,833.33333333333326,833.33333333333326
530.06454048535545,833.33333333333326,833.33333333333326
