文件,标题,建议用途,数据行数,备注
table_144_dispatch.csv,完整最优方案：144个10分钟时段,附录或完整结果附件,144,CSV保留原数值精度；表1/表2空白单元表示题目合并表头位置
table1_purchase_paper.csv,表1 微网指定时段及全天购电结果,题目要求：论文正文,3,CSV保留原数值精度；表1/表2空白单元表示题目合并表头位置
table2_storage_paper.csv,表2 储能分区间充放电量及首尾储电量,题目要求：论文正文,4,CSV保留原数值精度；表1/表2空白单元表示题目合并表头位置
daily_indicators.csv,主方案全日指标,摘要、结果分析,17,CSV保留原数值精度；表1/表2空白单元表示题目合并表头位置
model_parameters.csv,模型参数与计算口径,符号说明、参数设置,15,CSV保留原数值精度；表1/表2空白单元表示题目合并表头位置
efficiency_comparison_paper.csv,效率口径比较,结果分析或稳健性分析,4,CSV保留原数值精度；表1/表2空白单元表示题目合并表头位置
baseline_comparison_paper.csv,嵌套基准与节约比较,结果分析或稳健性分析,3,CSV保留原数值精度；表1/表2空白单元表示题目合并表头位置
boundary_values_paper.csv,主方案四类边界的三步长日价值,边际价值分析（可选）,12,CSV保留原数值精度；表1/表2空白单元表示题目合并表头位置
sensitivity_36_paper.csv,36组效率、负荷及光伏情景,稳健性分析或附录（可选）,36,CSV保留原数值精度；表1/表2空白单元表示题目合并表头位置
dispatch.png,主方案调度与储电轨迹,论文插图,,输入、电价、购电与充放电量、SOC的时序关系；正文优先使用
dispatch.svg,主方案调度与储电轨迹,论文插图,,输入、电价、购电与充放电量、SOC的时序关系；正文优先使用
efficiency.png,效率口径对费用和储电轨迹的影响,论文插图,,较低效率导致更高费用；主方案与往返效率口径须区分
efficiency.svg,效率口径对费用和储电轨迹的影响,论文插图,,较低效率导致更高费用；主方案与往返效率口径须区分
marginal_analysis.png,基准比较、局部阈值及输入敏感性,论文插图,,固定模式阈值只作局部诊断；25项原MILP双侧差分不匹配
marginal_analysis.svg,基准比较、局部阈值及输入敏感性,论文插图,,固定模式阈值只作局部诊断；25项原MILP双侧差分不匹配
bottleneck_analysis.png,四类边界放宽的单位日价值,论文插图,,储能上限、下限、充电和放电功率单位不同；不据数值直接作投资排序
bottleneck_analysis.svg,四类边界放宽的单位日价值,论文插图,,储能上限、下限、充电和放电功率单位不同；不据数值直接作投资排序
