lag,acf,pacf
0,1,1
1,0.95105921703765606,0.95107163800698713
2,0.85984884540297468,-0.46788255505841803
3,0.78691430258143868,0.4224650018154732
4,0.72256383608983399,-0.39033538028084919
5,0.65420023446070186,0.26426010844451614
6,0.58944431328259528,-0.21543270410205509
7,0.53543830733519293,0.23174672578422598
8,0.49371151343217889,-0.10902679112501992
9,0.4620410569153835,0.15557515315496162
10,0.43759234691512322,-0.065864033777557049
11,0.4198716375242269,0.12172209577287188
12,0.408639777109712,-0.042838609764547703
13,0.39984580843380019,0.038485829381445069
14,0.38741679484167785,-0.071450595116478721
15,0.36988453267608268,0.031480775589074132
16,0.349450201885462,-0.062651945018455057
17,0.32619623552808302,0.010944846925635791
18,0.29990629425834231,-0.031374856121206683
19,0.27246021285791261,0.0065291795444643889
20,0.24585976304905194,-0.010460020138391684
21,0.22159357891632317,0.012092330039067557
22,0.19998550171352714,-0.018951572933488633
23,0.17968789842759977,-0.0096433289461719928
24,0.16077323838887581,0.0018872083965405686
25,0.14417025938421468,-0.02708886859909776
26,0.12907995251213283,0.0057449285683219119
27,0.11603685633289591,0.011952001102962607
28,0.10618344615763554,-0.0040382080253005105
29,0.09791832992591297,0.0034515379964959922
30,0.090379151556888082,0.01529756414969116
31,0.084976303720003157,0.0097037358605148311
32,0.082102691338752948,0.017722564678684969
33,0.080700851439753071,0.0043669976518429434
34,0.079190625795434039,-0.0066195110095771626
35,0.076491678826753715,0.0014758548719173085
36,0.073855430848843523,0.0182909957637605
37,0.072315963801662456,-0.010449548577965288
38,0.070030470637468006,0.0011343047244972331
39,0.066457064120871531,0.013110927167154424
40,0.063056933095606157,-0.012459790441367958
41,0.05955326219502028,0.0033075992024233715
42,0.055096489062489727,-0.0097172602875887932
43,0.049435979467224028,-0.016154874005237047
44,0.042006775363597225,-0.019760439766275575
45,0.032904473921788045,-0.013278942070165735
46,0.023091715069485291,-0.01576053863453715
47,0.013131429896446232,-0.0088204365816081046
48,0.0030080745526860964,-0.01397596539653977
49,-0.0068673020355449121,-0.0020870247768658779
50,-0.015625343380261236,-0.009622672202349733
51,-0.022888306415819126,0.0044122685150173825
52,-0.028290750523489405,0.0025819342423299991
53,-0.031071994064280725,0.011028328324404008
54,-0.03070077876033539,0.018217932942184385
55,-0.027073344893970553,0.017270140750914945
56,-0.020407275311942093,0.025394567800798448
57,-0.011172183167042847,0.021255447453558701
58,-7.9861460191461543e-05,0.023222140897816382
