step,grid,charge_cap,discharge_cap,role
0,430.08301835240593,833.33333333333326,833.33333333333326,first_day_frozen
1,430.43254907182046,833.33333333333326,833.33333333333326,first_day_frozen
2,414.63050946192317,833.33333333333326,833.33333333333326,first_day_frozen
3,440.04996341292082,833.33333333333326,0,first_day_frozen
4,443.10477975981081,833.33333333333326,0,first_day_frozen
5,436.20343043045011,833.33333333333326,6.3905595886916444,first_day_frozen
6,404.02393926549939,833.33333333333326,833.33333333333326,first_day_frozen
7,451.79568890500752,833.33333333333326,833.33333333333326,first_day_frozen
8,443.80576703804297,833.33333333333326,833.33333333333326,first_day_frozen
9,439.3118390248701,833.33333333333326,833.33333333333326,first_day_frozen
10,436.92958026111364,833.33333333333326,833.33333333333326,first_day_frozen
11,434.96481211690741,833.33333333333326,833.33333333333326,first_day_frozen
12,443.22105531379162,833.33333333333326,0,first_day_frozen
13,436.21221563320847,833.33333333333326,833.33333333333326,first_day_frozen
14,422.60724340686158,833.33333333333326,833.33333333333326,first_day_frozen
15,452.09947728812563,833.33333333333326,833.33333333333326,first_day_frozen
16,453.80863086333386,833.33333333333326,833.33333333333326,first_day_frozen
17,440.18070395998575,833.33333333333326,833.33333333333326,first_day_frozen
18,451.64942145744777,833.33333333333326,11.738707102351782,first_day_frozen
19,452.46147479280222,833.33333333333326,833.33333333333326,first_day_frozen
20,435.41043745798498,833.33333333333326,833.33333333333326,first_day_frozen
21,439.75956163908586,833.33333333333326,833.33333333333326,first_day_frozen
22,462.95988733554333,833.33333333333326,833.33333333333326,first_day_frozen
23,488.83559070177614,833.33333333333326,833.33333333333326,first_day_frozen
24,472.60916054220183,833.33333333333326,4.1160992252165443,first_day_frozen
25,444.92753153153637,833.33333333333326,833.33333333333326,first_day_frozen
26,439.89161874976821,833.33333333333326,833.33333333333326,first_day_frozen
27,444.51724434870823,833.33333333333326,833.33333333333326,first_day_frozen
28,473.58556554773338,833.33333333333326,833.33333333333326,first_day_frozen
29,475.64676094370571,833.33333333333326,833.33333333333326,first_day_frozen
30,477.50561822155112,833.33333333333326,833.33333333333326,first_day_frozen
31,458.12213099422229,833.33333333333326,32.004487240120227,first_day_frozen
32,477.57136333659992,833.33333333333326,833.33333333333326,first_day_frozen
33,1254.4001298259855,833.33333333333326,0,first_day_frozen
34,0,833.33333333333326,469.96361987983033,first_day_frozen
35,0,833.33333333333326,833.33333333333326,first_day_frozen
36,0,833.33333333333326,386.85109269891615,first_day_frozen
37,0,833.33333333333326,833.33333333333326,first_day_frozen
38,0,833.33333333333326,833.33333333333326,first_day_frozen
39,0,833.33333333333326,252.94220326467124,first_day_frozen
40,0,833.33333333333326,201.58072481633246,first_day_frozen
41,0,833.33333333333326,218.27543157964078,first_day_frozen
42,0,833.33333333333326,833.33333333333326,first_day_frozen
43,0,833.33333333333326,833.33333333333326,first_day_frozen
44,0,833.33333333333326,17.917049085832407,first_day_frozen
45,0,833.33333333333326,0,first_day_frozen
46,0,833.33333333333326,0,first_day_frozen
47,0,833.33333333333326,0,first_day_frozen
48,0,833.33333333333326,0,first_day_frozen
49,0,833.33333333333326,0,first_day_frozen
50,0,833.33333333333326,0,first_day_frozen
51,0,833.33333333333326,0,first_day_frozen
52,0,833.33333333333326,0,first_day_frozen
53,0,833.33333333333326,0,first_day_frozen
54,0,833.33333333333326,0,first_day_frozen
55,0,833.33333333333326,0,first_day_frozen
56,0,833.33333333333326,0,first_day_frozen
57,0,833.33333333333326,0,first_day_frozen
58,0,833.33333333333326,0,first_day_frozen
59,0,833.33333333333326,0,first_day_frozen
60,0,833.33333333333326,0,first_day_frozen
61,0,833.33333333333326,0,first_day_frozen
62,0,833.33333333333326,0,first_day_frozen
63,0,833.33333333333326,0,first_day_frozen
64,0,833.33333333333326,0,first_day_frozen
65,0,833.33333333333326,0,first_day_frozen
66,0,833.33333333333326,0,first_day_frozen
67,0,833.33333333333326,0,first_day_frozen
68,0,833.33333333333326,0,first_day_frozen
69,0,833.33333333333326,0,first_day_frozen
70,0,833.33333333333326,0,first_day_frozen
71,0,833.33333333333326,0,first_day_frozen
72,0,833.33333333333326,0,first_day_frozen
73,0,833.33333333333326,0,first_day_frozen
74,0,833.33333333333326,0,first_day_frozen
75,0,833.33333333333326,0,first_day_frozen
76,0,833.33333333333326,0,first_day_frozen
77,0,833.33333333333326,0,first_day_frozen
78,0,833.33333333333326,0,first_day_frozen
79,0,833.33333333333326,0,first_day_frozen
80,0,833.33333333333326,0,first_day_frozen
81,0,833.33333333333326,0,first_day_frozen
82,0,833.33333333333326,0,first_day_frozen
83,0,833.33333333333326,0,first_day_frozen
84,0,833.33333333333326,0,first_day_frozen
85,0,833.33333333333326,0,first_day_frozen
86,0,833.33333333333326,0,first_day_frozen
87,0,833.33333333333326,0,first_day_frozen
88,0,833.33333333333326,0,first_day_frozen
89,0,833.33333333333326,0,first_day_frozen
90,0,833.33333333333326,0,first_day_frozen
91,0,833.33333333333326,0,first_day_frozen
92,0,833.33333333333326,0,first_day_frozen
93,0,833.33333333333326,0,first_day_frozen
94,0,833.33333333333326,0,first_day_frozen
95,0,833.33333333333326,0,first_day_frozen
96,0,833.33333333333326,0,first_day_frozen
97,0,833.33333333333326,43.693016003986713,first_day_frozen
98,29.840512315205235,833.33333333333326,58.33700917993481,first_day_frozen
99,96.375102773616916,833.33333333333326,71.923990071633611,first_day_frozen
100,82.400827121793142,833.33333333333326,85.402860128348053,first_day_frozen
101,39.031699113251229,833.33333333333326,56.457543412912322,first_day_frozen
102,93.114465098722363,833.33333333333326,38.403838538735599,first_day_frozen
103,178.32880948253103,833.33333333333326,17.003358136838017,first_day_frozen
104,240.89571655912295,833.33333333333326,12.040551984122033,first_day_frozen
105,294.68743865601567,833.33333333333326,5.8762187941887873,first_day_frozen
106,127.25090356130141,833.33333333333326,833.33333333333326,first_day_frozen
107,0,833.33333333333326,833.33333333333326,first_day_frozen
108,0,833.33333333333326,833.33333333333326,first_day_frozen
109,0,833.33333333333326,497.04428456965275,first_day_frozen
110,0,833.33333333333326,833.33333333333326,first_day_frozen
111,0,833.33333333333326,486.77980159564254,first_day_frozen
112,0,833.33333333333326,493.50046376800407,first_day_frozen
113,0,833.33333333333326,531.79086354287688,first_day_frozen
114,0,833.33333333333326,494.38687834860468,first_day_frozen
115,0,833.33333333333326,833.33333333333326,first_day_frozen
116,0,833.33333333333326,833.33333333333326,first_day_frozen
117,0,833.33333333333326,833.33333333333326,first_day_frozen
118,0,833.33333333333326,490.05881294431902,first_day_frozen
119,0,833.33333333333326,500.04696157512728,first_day_frozen
120,0,833.33333333333326,833.33333333333326,first_day_frozen
121,0,833.33333333333326,833.33333333333326,first_day_frozen
122,0,833.33333333333326,833.33333333333326,first_day_frozen
123,0,833.33333333333326,497.18294165996855,first_day_frozen
124,0,833.33333333333326,833.33333333333326,first_day_frozen
125,459.43543645031201,833.33333333333326,833.33333333333326,first_day_frozen
126,468.31202492793943,833.33333333333326,833.33333333333326,first_day_frozen
127,456.73185111418286,833.33333333333326,833.33333333333326,first_day_frozen
128,467.5503501459753,833.33333333333326,833.33333333333326,first_day_frozen
129,422.57689833887508,833.33333333333326,833.33333333333326,first_day_frozen
130,436.16265755451474,833.33333333333326,833.33333333333326,first_day_frozen
131,424.27143190893236,833.33333333333326,9.1167000480658658,first_day_frozen
132,1202.0617454133433,833.33333333333326,0,first_day_frozen
133,391.65290040222953,833.33333333333326,833.33333333333326,first_day_frozen
134,409.58902788256137,833.33333333333326,833.33333333333326,first_day_frozen
135,480.86832891180899,833.33333333333326,0,first_day_frozen
136,433.02940599995225,833.33333333333326,833.33333333333326,first_day_frozen
137,451.10435542167551,833.33333333333326,0,first_day_frozen
138,440.78284886189476,833.33333333333326,833.33333333333326,first_day_frozen
139,435.91120949730367,833.33333333333326,833.33333333333326,first_day_frozen
140,437.10333859497865,833.33333333333326,833.33333333333326,first_day_frozen
141,449.71147329916732,833.33333333333326,833.33333333333326,first_day_frozen
142,448.79761933694306,833.33333333333326,6.8558260828641551,first_day_frozen
143,427.35785412162659,833.33333333333326,833.33333333333326,first_day_frozen
144,437.13734444777697,833.33333333333326,0,open_loop_proxy_only
145,433.63862157461722,833.33333333333326,833.33333333333326,open_loop_proxy_only
146,431.92065367212365,833.33333333333326,833.33333333333326,open_loop_proxy_only
147,443.70135001369937,833.33333333333326,0,open_loop_proxy_only
148,449.0388034449407,833.33333333333326,0,open_loop_proxy_only
149,455.53968459985896,833.33333333333326,833.33333333333326,open_loop_proxy_only
150,429.37097140469518,833.33333333333326,833.33333333333326,open_loop_proxy_only
151,442.81783711580357,833.33333333333326,833.33333333333326,open_loop_proxy_only
152,432.00029990429249,833.33333333333326,833.33333333333326,open_loop_proxy_only
153,451.79422640021244,833.33333333333326,833.33333333333326,open_loop_proxy_only
154,444.77298523970103,833.33333333333326,833.33333333333326,open_loop_proxy_only
155,443.20260863687355,833.33333333333326,833.33333333333326,open_loop_proxy_only
156,449.3293467908382,833.33333333333326,833.33333333333326,open_loop_proxy_only
157,456.51433168860609,833.33333333333326,833.33333333333326,open_loop_proxy_only
158,454.91499181929345,833.33333333333326,833.33333333333326,open_loop_proxy_only
159,457.56303629235981,833.33333333333326,833.33333333333326,open_loop_proxy_only
160,468.24181908874198,833.33333333333326,833.33333333333326,open_loop_proxy_only
161,472.45299475401623,833.33333333333326,0,open_loop_proxy_only
162,449.30531026064205,833.33333333333326,12.651872381389296,open_loop_proxy_only
163,460.55971165835706,833.33333333333326,833.33333333333326,open_loop_proxy_only
164,442.02471375711309,833.33333333333326,833.33333333333326,open_loop_proxy_only
165,452.26648332617128,833.33333333333326,833.33333333333326,open_loop_proxy_only
166,471.86496611608345,833.33333333333326,833.33333333333326,open_loop_proxy_only
167,472.90863670090931,833.33333333333326,833.33333333333326,open_loop_proxy_only
168,459.23174631185509,833.33333333333326,833.33333333333326,open_loop_proxy_only
169,444.43222077376782,833.33333333333326,833.33333333333326,open_loop_proxy_only
170,463.38321340960647,833.33333333333326,833.33333333333326,open_loop_proxy_only
171,479.08536778436314,833.33333333333326,833.33333333333326,open_loop_proxy_only
172,481.54012303098261,833.33333333333326,833.33333333333326,open_loop_proxy_only
173,482.18849505287363,833.33333333333326,2.2541315820757859,open_loop_proxy_only
174,473.17700243059204,833.33333333333326,833.33333333333326,open_loop_proxy_only
175,459.80320073890999,833.33333333333326,27.714266737358685,open_loop_proxy_only
176,486.41601939813984,833.33333333333326,0,open_loop_proxy_only
177,1242.9598374050424,833.33333333333326,0,open_loop_proxy_only
178,0,833.33333333333326,833.33333333333326,open_loop_proxy_only
179,0,833.33333333333326,833.33333333333326,open_loop_proxy_only
