group,hour,mean_kw,p25_kw,p75_kw,n_days
周一至周五,0.16666666666666666,3511.3154551724133,3341.0225999999998,3724.6145999999999,261
周一至周五,0.33333333333333331,3528.5233448275853,3355.8200000000002,3720.1615999999999,261
周一至周五,0.5,3528.7735632183903,3341.2399999999998,3729.2800000000002,261
周一至周五,0.66666666666666663,3528.8557842911891,3360.8083000000001,3697.5425,261
周一至周五,0.83333333333333337,3531.3504295019152,3366.366,3727.2316999999998,261
周一至周五,1,3538.8695785440614,3357.3699999999999,3787.0100000000002,261
周一至周五,1.1666666666666667,3552.4561352490418,3378.1453999999999,3795.7728000000002,261
周一至周五,1.3333333333333333,3550.9312390804612,3386.5423000000001,3819.1541000000002,261
周一至周五,1.5,3545.4127586206914,3408.5,3815.6399999999999,261
周一至周五,1.6666666666666667,3567.82748888889,3433.1736999999998,3840.8959,261
周一至周五,1.8333333333333333,3583.6335750957865,3429.7786000000001,3850.0953,261
周一至周五,2,3584.4250191570864,3432.4000000000001,3850.4200000000001,261
周一至周五,2.1666666666666665,3594.3856226053654,3439.3105999999998,3851.3249000000001,261
周一至周五,2.3333333333333335,3596.5542720306512,3436.0535,3853.2428,261
周一至周五,2.5,3589.9184291187721,3440.8699999999999,3841.4299999999998,261
周一至周五,2.6666666666666665,3594.4681869731803,3461.8941,3878.5194999999999,261
周一至周五,2.8333333333333335,3607.2056950191586,3465.7822000000001,3902.7111,261
周一至周五,3,3615.4178160919555,3463.0500000000002,3895.6700000000001,261
周一至周五,3.1666666666666665,3611.7192091954016,3474.0671000000002,3913.9769000000001,261
周一至周五,3.3333333333333335,3622.7496521072808,3489.9511000000002,3927.8411000000001,261
周一至周五,3.5,3638.5276245210748,3481.1700000000001,3939.5999999999999,261
周一至周五,3.6666666666666665,3624.2207417624504,3501.1682999999998,3912.4252999999999,261
周一至周五,3.8333333333333335,3623.7649302681994,3490.2521999999999,3928.9677999999999,261
周一至周五,4,3644.4069348658986,3488.71,3971.46,261
周一至周五,4.166666666666667,3648.0017521072755,3513.2352000000001,3997.7701999999999,261
周一至周五,4.333333333333333,3642.3151881226036,3488.9171000000001,3985.7651000000001,261
周一至周五,4.5,3646.4730651340997,3513.5100000000002,3983.77,261
周一至周五,4.666666666666667,3668.1495283524882,3529.2316000000001,4016.3868000000002,261
周一至周五,4.833333333333333,3673.780376245214,3536.9373999999998,4004.0082000000002,261
周一至周五,5,3655.8454406130254,3536.3800000000001,3981.71,261
周一至周五,5.166666666666667,3645.9505413793117,3514.9088999999999,3981.8380999999999,261
周一至周五,5.333333333333333,3681.1786007662831,3559.1224999999999,4015.4845999999998,261
周一至周五,5.5,3671.1556704980831,3557.27,3994.1700000000001,261
周一至周五,5.666666666666667,3565.0190636015327,3410.9441999999999,3859.0605999999998,261
周一至周五,5.833333333333333,3941.7431827586215,3855.9989999999998,4314.3049000000001,261
周一至周五,6,4585.6050574712626,4666,5099.6400000000003,261
周一至周五,6.166666666666667,4649.2403578544017,4800.1211000000003,5234.5843999999997,261
周一至周五,6.333333333333333,4552.4003892720284,4665.4804000000004,5071.6279999999997,261
周一至周五,6.5,4573.6604980842894,4652.8400000000001,5070.6400000000003,261
周一至周五,6.666666666666667,4573.6111091954035,4653.9501,5146.7313999999997,261
周一至周五,6.833333333333333,4609.145216091958,4678.0452999999998,5125.3109999999997,261
周一至周五,7,4666.4272413793105,4671.4700000000003,5101.46,261
周一至周五,7.166666666666667,4658.014507662836,4654.1226999999999,5041.3647000000001,261
周一至周五,7.333333333333333,4690.7968823754763,4710.4366,5119.2606999999998,261
周一至周五,7.5,4670.317011494255,4656.8699999999999,5104.8699999999999,261
周一至周五,7.666666666666667,4510.5662547892725,4468.0294000000004,4929.5986999999996,261
周一至周五,7.833333333333333,5099.7338659003799,5187.8404,5660.9292999999998,261
周一至周五,8,6097.8750574712631,6429.1400000000003,6879.2700000000004,261
周一至周五,8.1666666666666661,6191.5281252873601,6594.8365999999996,6948.0762999999997,261
周一至周五,8.3333333333333339,6038.5255432950216,6394.4096,6753.6147000000001,261
周一至周五,8.5,6068.2075862068959,6421.1199999999999,6859.7799999999997,261
周一至周五,8.6666666666666661,6055.1438371647537,6421.7947999999997,6816.2977000000001,261
周一至周五,8.8333333333333339,6096.6036885057438,6402.5487999999996,6825.9866000000002,261
周一至周五,9,6190.0098850574777,6420.79,6819.21,261
周一至周五,9.1666666666666661,6194.6612153256701,6421.5529999999999,6841.8217999999997,261
周一至周五,9.3333333333333339,6168.9869574712638,6368.1512000000002,6841.0969999999998,261
周一至周五,9.5,6157.7854022988477,6347.6400000000003,6791.0699999999997,261
周一至周五,9.6666666666666661,6145.5711003831439,6369.8037000000004,6796.4229999999998,261
周一至周五,9.8333333333333339,6137.2677590038302,6360.9324999999999,6785.7309999999998,261
周一至周五,10,6134.4861685823753,6332.1700000000001,6803.71,261
周一至周五,10.166666666666666,6130.8200406130272,6381.1518999999998,6780.3822,261
周一至周五,10.333333333333334,6124.2751762452099,6348.4754000000003,6815.7692999999999,261
周一至周五,10.5,6112.7174329501904,6331.9899999999998,6805.3900000000003,261
周一至周五,10.666666666666666,6094.7183045977026,6325.6094999999996,6791.7637000000004,261
周一至周五,10.833333333333334,6077.085362452106,6318.3885,6759.5505999999996,261
周一至周五,11,6069.6145210727946,6266.6999999999998,6732.54,261
周一至周五,11.166666666666666,6074.4816191570917,6312.7299999999996,6764.4925999999996,261
周一至周五,11.333333333333334,6062.2367187739537,6288.8581000000004,6768.2443999999996,261
周一至周五,11.5,6052.6765517241356,6233.04,6751.3199999999997,261
周一至周五,11.666666666666666,6069.4982980842924,6280.1638000000003,6763.3858,261
