month,hour,mean_pv_kw,n_days
1,0.16666666666666666,0,31
1,0.33333333333333331,0,31
1,0.5,0,31
1,0.66666666666666663,0,31
1,0.83333333333333337,0,31
1,1,0,31
1,1.1666666666666667,0,31
1,1.3333333333333333,0,31
1,1.5,0,31
1,1.6666666666666667,0,31
1,1.8333333333333333,0,31
1,2,0,31
1,2.1666666666666665,0,31
1,2.3333333333333335,0,31
1,2.5,0,31
1,2.6666666666666665,0,31
1,2.8333333333333335,0,31
1,3,0,31
1,3.1666666666666665,0,31
1,3.3333333333333335,0,31
1,3.5,0,31
1,3.6666666666666665,0,31
1,3.8333333333333335,0,31
1,4,0,31
1,4.166666666666667,0,31
1,4.333333333333333,0,31
1,4.5,0,31
1,4.666666666666667,0,31
1,4.833333333333333,0.00031290322580645162,31
1,5,0,31
1,5.166666666666667,0.0004258064516129032,31
1,5.333333333333333,0.0067129032258064518,31
1,5.5,0,31
1,5.666666666666667,0.0075000000000000015,31
1,5.833333333333333,0.093487096774193548,31
1,6,0,31
1,6.166666666666667,0.1051709677419355,31
1,6.333333333333333,1.3021870967741933,31
1,6.5,0,31
1,6.666666666666667,1.4647935483870971,31
1,6.833333333333333,22.542367741935482,31
1,7,126.55040322580646,31
1,7.166666666666667,348.39235483870965,31
1,7.333333333333333,612.03986774193561,31
1,7.5,877.96209677419347,31
1,7.666666666666667,1159.6670741935484,31
1,7.833333333333333,1445.8991193548386,31
1,8,1737.6290322580649,31
1,8.1666666666666661,2044.679219354839,31
1,8.3333333333333339,2337.6147161290319,31
1,8.5,2613.8141129032256,31
1,8.6666666666666661,2898.9503096774188,31
1,8.8333333333333339,3184.4449516129034,31
1,9,3450.9483870967738,31
1,9.1666666666666661,3688.0367677419363,31
1,9.3333333333333339,3926.6844741935492,31
1,9.5,4173.6483870967741,31
1,9.6666666666666661,4405.2430354838707,31
1,9.8333333333333339,4615.2212935483867,31
1,10,4821.650806451612,31
1,10.166666666666666,5048.2278129032275,31
1,10.333333333333334,5263.0903516129029,31
1,10.5,5425.4576612903238,31
1,10.666666666666666,5521.2347032258067,31
1,10.833333333333334,5619.143348387096,31
1,11,5736.1475806451608,31
1,11.166666666666666,5828.1997290322588,31
1,11.333333333333334,5896.8152483870972,31
1,11.5,5955.4524193548386,31
1,11.666666666666666,6014.1739064516132,31
1,11.833333333333334,6069.1363129032261,31
1,12,6083.4870967741927,31
1,12.166666666666666,6025.2205225806429,31
1,12.333333333333334,5994.5701322580653,31
1,12.5,6004.81814516129,31
1,12.666666666666666,5969.5944645161289,31
1,12.833333333333334,5886.1879677419365,31
1,13,5795.178629032258,31
1,13.166666666666666,5729.4166838709662,31
1,13.333333333333334,5610.9200161290328,31
1,13.5,5431.660887096773,31
1,13.666666666666666,5260.1386096774186,31
1,13.833333333333334,5080.3005483870975,31
1,14,4874.6987903225818,31
1,14.166666666666666,4649.0827387096779,31
1,14.333333333333334,4418.3881870967734,31
1,14.5,4192.1322580645156,31
1,14.666666666666666,3966.8143225806452,31
1,14.833333333333334,3718.5350225806455,31
1,15,3457.6608870967743,31
1,15.166666666666666,3214.7135161290321,31
1,15.333333333333334,2946.3556806451611,31
1,15.5,2650.7407258064513,31
1,15.666666666666666,2370.628864516128,31
1,15.833333333333334,2086.8089612903227,31
1,16,1790.0661290322582,31
1,16.166666666666668,1494.1372741935481,31
1,16.333333333333332,1200.2299903225805,31
1,16.5,912.36169354838728,31
1,16.666666666666668,636.19649677419363,31
1,16.833333333333332,361.58534838709676,31
1,17,131.65161290322578,31
1,17.166666666666668,23.448487096774198,31
1,17.333333333333332,1.4949580645161291,31
1,17.5,0,31
1,17.666666666666668,1.3565322580645163,31
1,17.833333333333332,0.10732580645161292,31
1,18,0,31
1,18.166666666666668,0.097387096774193521,31
1,18.333333333333332,0.0077032258064516123,31
1,18.5,0,31
1,18.666666666666668,0.0069451612903225803,31
1,18.833333333333332,0.00047419354838709683,31
1,19,0,31
1,19.166666666666668,0.00032903225806451614,31
1,19.333333333333332,0,31
1,19.5,0,31
1,19.666666666666668,0,31
1,19.833333333333332,0,31
1,20,0,31
1,20.166666666666668,0,31
1,20.333333333333332,0,31
1,20.5,0,31
1,20.666666666666668,0,31
1,20.833333333333332,0,31
1,21,0,31
1,21.166666666666668,0,31
1,21.333333333333332,0,31
1,21.5,0,31
1,21.666666666666668,0,31
1,21.833333333333332,0,31
1,22,0,31
1,22.166666666666668,0,31
1,22.333333333333332,0,31
1,22.5,0,31
1,22.666666666666668,0,31
1,22.833333333333332,0,31
1,23,0,31
1,23.166666666666668,0,31
1,23.333333333333332,0,31
1,23.5,0,31
1,23.666666666666668,0,31
1,23.833333333333332,0,31
1,24,0,31
4,0.16666666666666666,0,30
4,0.33333333333333331,0,30
4,0.5,0,30
4,0.66666666666666663,0,30
4,0.83333333333333337,0,30
4,1,0,30
4,1.1666666666666667,0,30
4,1.3333333333333333,0,30
4,1.5,0,30
4,1.6666666666666667,0,30
4,1.8333333333333333,0,30
4,2,0,30
4,2.1666666666666665,0,30
4,2.3333333333333335,0,30
4,2.5,0,30
4,2.6666666666666665,0,30
4,2.8333333333333335,0,30
4,3,0,30
4,3.1666666666666665,0,30
4,3.3333333333333335,0,30
4,3.5,0,30
4,3.6666666666666665,0.00050333333333333328,30
4,3.8333333333333335,0.00047333333333333336,30
4,4,0,30
4,4.166666666666667,0.0087166666666666677,30
4,4.333333333333333,0.0080999999999999996,30
4,4.5,0,30
4,4.666666666666667,0.12137333333333332,30
4,4.833333333333333,0.11278333333333333,30
4,5,0,30
4,5.166666666666667,1.6904733333333333,30
4,5.333333333333333,1.9077166666666665,30
4,5.5,13.897499999999999,30
4,5.666666666666667,102.17547,30
4,5.833333333333333,271.92682666666661,30
4,6,514.63375000000008,30
4,6.166666666666667,777.57935666666663,30
4,6.333333333333333,1067.1854200000002,30
4,6.5,1378.77125,30
4,6.666666666666667,1689.3420966666667,30
4,6.833333333333333,2002.5998733333331,30
4,7,2314.5862500000003,30
4,7.166666666666667,2612.9911333333334,30
4,7.333333333333333,2910.1635866666666,30
4,7.5,3216.19625,30
4,7.666666666666667,3528.2848666666669,30
4,7.833333333333333,3827.6774200000004,30
4,8,4121.5912499999995,30
4,8.1666666666666661,4435.0254133333328,30
4,8.3333333333333339,4745.4525466666664,30
4,8.5,5036.2149999999992,30
4,8.6666666666666661,5312.8920266666673,30
4,8.8333333333333339,5596.5194399999991,30
4,9,5885.1187499999996,30
4,9.1666666666666661,6156.3159133333338,30
4,9.3333333333333339,6412.6681600000002,30
4,9.5,6658.5612499999997,30
4,9.6666666666666661,6887.8064433333338,30
4,9.8333333333333339,7073.0166900000004,30
4,10,7234.0975000000008,30
4,10.166666666666666,7417.7644566666677,30
4,10.333333333333334,7570.6932133333321,30
4,10.5,7679.5375000000004,30
4,10.666666666666666,7791.5757566666634,30
4,10.833333333333334,7931.9421433333318,30
4,11,8065.3424999999997,30
4,11.166666666666666,8130.1467800000019,30
4,11.333333333333334,8174.0583466666667,30
4,11.5,8226.9912499999991,30
4,11.666666666666666,8272.2803066666656,30
4,11.833333333333334,8291.974723333331,30
4,12,8317.4412500000017,30
4,12.166666666666666,8391.6347500000011,30
4,12.333333333333334,8413.1025499999996,30
4,12.5,8375.3850000000002,30
4,12.666666666666666,8367.6258266666664,30
4,12.833333333333334,8337.5604233333324,30
4,13,8257.9375000000018,30
4,13.166666666666666,8152.142780000001,30
4,13.333333333333334,8000.9839000000002,30
4,13.5,7822.2125000000005,30
4,13.666666666666666,7661.5069299999996,30
4,13.833333333333334,7485.2920233333325,30
4,14,7287.6837499999992,30
4,14.166666666666666,7094.5798033333322,30
4,14.333333333333334,6869.6221899999991,30
4,14.5,6623.0700000000015,30
4,14.666666666666666,6406.9479000000001,30
4,14.833333333333334,6190.3818233333322,30
4,15,5940.9774999999991,30
4,15.166666666666666,5658.2875133333328,30
4,15.333333333333334,5387.0887700000003,30
4,15.5,5115.2512500000003,30
4,15.666666666666666,4791.1224700000002,30
4,15.833333333333334,4473.3670499999998,30
4,16,4167.7387500000004,30
4,16.166666666666668,3825.0659066666663,30
4,16.333333333333332,3498.8703133333333,30
4,16.5,3211.1312499999995,30
4,16.666666666666668,2927.1658433333332,30
4,16.833333333333332,2619.4489200000003,30
4,17,2294.1024999999995,30
4,17.166666666666668,1978.3410299999996,30
4,17.333333333333332,1660.1404133333335,30
4,17.5,1346.1875,30
4,17.666666666666668,1061.0208100000002,30
4,17.833333333333332,786.15598333333332,30
4,18,515.35000000000002,30
4,18.166666666666668,271.31236333333328,30
4,18.333333333333332,102.59942000000001,30
4,18.5,13.430000000000001,30
4,18.666666666666668,1.9614500000000001,30
4,18.833333333333332,1.8006900000000001,30
4,19,0,30
4,19.166666666666668,0.11427333333333332,30
4,19.333333333333332,0.12928666666666666,30
4,19.5,0,30
4,19.666666666666668,0.0082066666666666677,30
4,19.833333333333332,0.0092566666666666665,30
4,20,0,30
4,20.166666666666668,0.00051333333333333341,30
4,20.333333333333332,0.00058,30
4,20.5,0,30
4,20.666666666666668,0,30
4,20.833333333333332,0,30
4,21,0,30
4,21.166666666666668,0,30
4,21.333333333333332,0,30
4,21.5,0,30
4,21.666666666666668,0,30
4,21.833333333333332,0,30
4,22,0,30
4,22.166666666666668,0,30
4,22.333333333333332,0,30
4,22.5,0,30
4,22.666666666666668,0,30
4,22.833333333333332,0,30
4,23,0,30
4,23.166666666666668,0,30
4,23.333333333333332,0,30
4,23.5,0,30
4,23.666666666666668,0,30
4,23.833333333333332,0,30
4,24,0,30
7,0.16666666666666666,0,31
7,0.33333333333333331,0,31
7,0.5,0,31
7,0.66666666666666663,0,31
7,0.83333333333333337,0,31
7,1,0,31
7,1.1666666666666667,0,31
