date,interval,timestamp,slot,weekday,weekday_name,month,day_of_year,grid,charge_cap,discharge_cap,soc_reserve_kwh,net_kwh,initial_soc,price,charge,discharge,emergency,unused,soc,planned_cost,emergency_cost,predicted_load_kw,predicted_pv_kw,hour_right,hour_center,Z_real_kwh,Z_forecast_kwh
2025-03-20,00:00-00:10,2025-03-20 00:10:00,1,4,星期四,3,79,736.33438179438372,360.96837049722427,833.33333333333326,1009.6159970957074,549.8448166666667,8609.1152276939611,0.42480000000000001,186.48956512771701,0,0,0,8776.9558363089072,312.79484538625422,0,3526.5761234986758,0,0.16666666666666666,0.083333333333333329,549.8448166666667,587.76268724977933
2025-03-20,00:10-00:20,2025-03-20 00:20:00,2,4,星期四,3,79,1382.9124449269282,833.33333333333326,833.33333333333326,1033.5986653634448,570.31349999999998,8609.1152276939611,0.42449999999999999,812.5989449269282,0,0,0,9508.2948867431423,587.04633287148101,0,3506.3415409477166,0,0.33333333333333331,0.25,570.31349999999998,584.39025682461943
2025-03-20,00:20-00:30,2025-03-20 00:30:00,3,4,星期四,3,79,607.55599115247219,65.724136767451569,833.33333333333326,1055.3914536707896,613.85166666666669,8609.1152276939611,0.4269,0,6.2956755141944996,0,0,9501.2996917273704,259.36565262299035,0,3452.2217873356658,0,0.5,0.41666666666666669,613.85166666666669,575.37029788927759
2025-03-20,00:30-00:40,2025-03-20 00:40:00,4,4,星期四,3,79,622.72303182113171,64.641697077846061,12.012242681400153,1041.1602820127528,579.4561666666666,8609.1152276939611,0.42720000000000002,43.266865154465108,0,0,0,9540.2398703663894,266.02727919398751,0,3488.0179489532834,0,0.66666666666666663,0.58333333333333337,579.4561666666666,581.33632482554719
2025-03-20,00:40-00:50,2025-03-20 00:50:00,5,4,星期四,3,79,609.53498400625085,48.416900629445166,15.785512871671358,1024.6913309004829,550.44491666666659,8609.1152276939611,0.42709999999999998,48.416900629445166,0,0,10.6731667101391,9583.8150809328909,260.33239166906975,0,3495.9700883935302,0,0.83333333333333337,0.75,550.44491666666659,582.6616813989217
2025-03-20,00:50-01:00,2025-03-20 01:00:00,6,4,星期四,3,79,596.78699765529882,73.765047250685797,28.430046705717832,1004.3306157721348,571.15666666666664,8609.1152276939611,0.42849999999999999,25.630330988632181,0,0,0,9606.88237882266,255.72322849529553,0,3424.4830271261799,0,1,0.91666666666666663,571.15666666666664,570.74717118769661
2025-03-20,01:00-01:10,2025-03-20 01:10:00,7,4,星期四,3,79,590.27304170693708,35.761657793375406,36.580670087458884,997.10931816010486,601.58904999999993,8609.1152276939611,0.43109999999999998,0,11.31600829306285,0,0,9594.3090362748117,254.46670827986057,0,3405.1641305258149,0,1.1666666666666667,1.0833333333333333,601.58904999999993,567.52735508763578
2025-03-20,01:10-01:20,2025-03-20 01:20:00,8,4,星期四,3,79,589.11752490047638,29.824738887610433,37.015941257976799,1021.0164430139952,611.48374999999999,8609.1152276939611,0.43020000000000003,0,22.366225099523604,0,0,9569.4576750531196,253.43835921218496,0,3401.7590019977988,0,1.3333333333333333,1.25,611.48374999999999,566.9598336662998
2025-03-20,01:20-01:30,2025-03-20 01:30:00,9,4,星期四,3,79,579.007722802133,38.173018268949647,31.272912915190023,1050.7333003069575,598.2166666666667,8609.1152276939611,0.4279,0,19.208943864533694,0,0,9548.1144040925265,247.75740458703271,0,3373.7830253446373,0,1.5,1.4166666666666667,598.2166666666667,562.29717089077292
2025-03-20,01:30-01:40,2025-03-20 01:40:00,10,4,星期四,3,79,617.04856963490147,56.391413159580452,13.946787838696165,1072.3034174872741,583.93594999999993,8609.1152276939611,0.43120000000000003,33.112619634901534,0,0,0,9577.9157617639376,266.07134322656952,0,3411.6867604493877,0,1.6666666666666667,1.5833333333333333,583.93594999999993,568.61446007489792
2025-03-20,01:40-01:50,2025-03-20 01:50:00,11,4,星期四,3,79,659.35055823784433,98.46620140944114,5.422799106104085,1109.7332726456648,590.99504999999999,8609.1152276939611,0.43330000000000002,68.355508237844333,0,0,0,9639.4357191779982,285.69659688445796,0,3553.2739174381672,0,1.8333333333333333,1.75,590.99504999999999,592.21231957302791
2025-03-20,01:50-02:00,2025-03-20 02:00:00,12,4,星期四,3,79,657.41402102196218,93.913279885559078,29.540382060032734,1141.8963704968155,598.44333333333327,8609.1152276939611,0.43109999999999998,58.970687688628914,0,0,0,9692.5093380977651,283.41118446256786,0,3609.9584936439842,0,2,1.9166666666666667,598.44333333333327,601.65974894066403
2025-03-20,02:00-02:10,2025-03-20 02:10:00,13,4,星期四,3,79,636.16727035343217,79.726044347255026,15.984193295784754,1135.2619058205307,565.98361666666665,8609.1152276939611,0.42930000000000001,70.183653686765524,0,0,0,9755.6746264158537,273.10660916272843,0,3538.8665136366326,0,2.1666666666666665,2.0833333333333335,565.98361666666665,589.81108560610539
2025-03-20,02:10-02:20,2025-03-20 02:20:00,14,4,星期四,3,79,641.60453364908903,100.43642856515166,9.8966684144334067,1107.7346364707969,546.12076666666667,8609.1152276939611,0.43240000000000001,95.483766982422367,0,0,0,9841.6100167000332,277.42980034986613,0,3501.4388831945221,0,2.3333333333333335,2.25,546.12076666666667,583.57314719908697
2025-03-20,02:20-02:30,2025-03-20 02:30:00,15,4,星期四,3,79,635.49163146400258,77.415354660403636,0,1107.0676831710962,565.71333333333337,8609.1152276939611,0.43669999999999998,69.778298130669214,0,0,0,9904.4104850176354,277.51919546032991,0,3536.8525457420642,0,2.5,2.4166666666666665,565.71333333333337,589.47542429034399
2025-03-20,02:30-02:40,2025-03-20 02:40:00,16,4,星期四,3,79,624.85496104985418,55.351801191195818,18.676919405629803,1097.6449448333544,597.92656666666664,8609.1152276939611,0.43480000000000002,26.928394383187538,0,0,0,9928.6460399625048,271.68693706447664,0,3559.2753576390242,0,2.6666666666666665,2.5833333333333335,597.92656666666664,593.21255960650399
2025-03-20,02:40-02:50,2025-03-20 02:50:00,17,4,星期四,3,79,639.99501281503649,53.863749141349217,11.312496397616451,1063.8467041498848,600.95446666666658,8609.1152276939611,0.4335,39.040546148369913,0,0,0,9963.7825314960373,277.43783805531831,0,3621.3552415599361,0,2.8333333333333335,2.75,600.95446666666658,603.55920692665597
2025-03-20,02:50-03:00,2025-03-20 03:00:00,18,4,星期四,3,79,612.33434520098785,53.122065270387786,69.23478615710701,1032.6724478867193,587.13166666666666,8609.1152276939611,0.43569999999999998,25.202678534321194,0,0,0,9986.4649421769263,266.7940742040704,0,3640.8114147001065,0,3,2.9166666666666665,587.13166666666666,606.80190245001779
2025-03-20,03:00-03:10,2025-03-20 03:10:00,19,4,星期四,3,79,590.49629147910787,35.934536001603078,68.404553195000545,1060.7277460756934,605.21029999999996,8609.1152276939611,0.43740000000000001,0,14.714008520892094,0,0,9970.1160438203788,258.28307789296178,0,3578.9375210235607,0,3.1666666666666665,3.0833333333333335,605.21029999999996,596.48958683726016
2025-03-20,03:10-03:20,2025-03-20 03:20:00,20,4,星期四,3,79,617.13249544890402,62.088619798817462,38.929168686152067,1079.1765846115829,621.89238333333333,8609.1152276939611,0.43709999999999999,0,4.759887884429304,0,0,9964.8272795043467,269.74861376071595,0,3524.3097153208114,0,3.3333333333333335,3.25,621.89238333333333,587.38495255346857
2025-03-20,03:20-03:30,2025-03-20 03:30:00,21,4,星期四,3,79,655.13093077645635,118.17578119424445,9.183350119993209,1071.8919518987748,620.16833333333329,8609.1152276939611,0.43559999999999999,34.962597443123059,0,0,0,9996.2936172031568,285.37503344622439,0,3565.5245767524279,0,3.5,3.4166666666666665,620.16833333333329,594.25409612540466
2025-03-20,03:30-03:40,2025-03-20 03:40:00,22,4,星期四,3,79,652.5665242539651,81.135834455413942,0,1050.9922038431939,616.62308333333328,8609.1152276939611,0.43530000000000002,35.943440920631815,0,0,0,10028.642714031725,284.062208007751,0,3571.6158103969824,0,3.6666666666666665,3.5833333333333335,616.62308333333328,595.2693017328304
2025-03-20,03:40-03:50,2025-03-20 03:50:00,23,4,星期四,3,79,632.60089908921645,51.655049409369326,34.327997141189826,1068.8492362199283,612.46374999999989,8609.1152276939611,0.436,20.137149089216564,0,0,0,10046.76614821202,275.81399200289837,0,3569.9232836889055,0,3.8333333333333335,3.75,612.46374999999989,594.98721394815095
2025-03-20,03:50-04:00,2025-03-20 04:00:00,24,4,星期四,3,79,614.31101933519608,58.482063094877127,23.762719899776787,1085.1103575124482,603.92999999999995,8609.1152276939611,0.43780000000000002,10.381019335196129,0,0,0,10056.109065613697,268.94536426494886,0,3501.095639801355,0,4,3.9166666666666665,603.92999999999995,583.51593996689246
2025-03-20,04:00-04:10,2025-03-20 04:10:00,25,4,星期四,3,79,618.92848424688555,37.920906435360848,33.286064964344334,1083.5896227135049,589.79463333333319,8609.1152276939611,0.44009999999999999,29.133850913552351,0,0,0,10082.329531435893,272.3904259170543,0,3571.9491329355101,0.00069999999999999999,4.166666666666667,4.083333333333333,589.79463333333319,595.324738822585
2025-03-20,04:10-04:20,2025-03-20 04:20:00,26,4,星期四,3,79,629.51149892297963,48.292204036768112,24.954048488962606,1086.8020182175726,581.46404999999993,8609.1152276939611,0.43890000000000001,48.047448922979697,0,0,0,10125.572235466574,276.29259687729575,0,3599.3161968562877,0,4.333333333333333,4.25,581.46404999999993,599.88603280938128
