origin,horizon,slot,forecast_net_kwh,actual_net_kwh,error_kwh
2025-02-01,0,1,451.64114949320538,422.03036666666668,-29.610782826538696
2025-02-01,0,2,448.68595028942997,415.4073166666667,-33.278633622763266
2025-02-01,0,3,448.23382950294695,410.7166666666667,-37.517162836280249
2025-02-01,0,4,465.14256941524263,430.29479999999995,-34.847769415242681
2025-02-01,0,5,467.06382688979846,424.41058333333331,-42.653243556465156
2025-02-01,0,6,470.48150740835655,406.05166666666668,-64.429840741689873
2025-02-01,0,7,475.00986490859913,436.75018333333333,-38.259681575265802
2025-02-01,0,8,475.11966373889368,451.79768333333328,-23.321980405560396
2025-02-01,0,9,468.48252168222007,446.07999999999998,-22.402521682220083
2025-02-01,0,10,492.93327475710993,471.76633333333331,-21.16694142377662
2025-02-01,0,11,494.76295853160769,448.02596666666665,-46.736991864941047
2025-02-01,0,12,491.37517365332468,397.40333333333336,-93.971840319991315
2025-02-01,0,13,503.43968854085529,434.0906333333333,-69.349055207521985
2025-02-01,0,14,512.92494852316725,490.56091666666663,-22.364031856500617
2025-02-01,0,15,513.77565900085915,503.22000000000003,-10.555659000859123
2025-02-01,0,16,503.37237347703893,474.07281666666671,-29.299556810372223
2025-02-01,0,17,509.03215653356636,461.38439999999997,-47.647756533566394
2025-02-01,0,18,514.74373278331802,476.94166666666666,-37.802066116651361
2025-02-01,0,19,516.10294868756921,483.39955000000003,-32.703398687569177
2025-02-01,0,20,516.85802321736901,486.60191666666668,-30.256106550702327
2025-02-01,0,21,517.86906971387668,498.84833333333336,-19.020736380543326
2025-02-01,0,22,511.88697081291275,518.30973333333338,6.4227625204206333
2025-02-01,0,23,512.60350077577323,509.13346666666666,-3.4700341091065638
2025-02-01,0,24,532.64079970721332,483.61666666666662,-49.024133040546701
2025-02-01,0,25,535.270189629382,491.18680000000001,-44.083389629381998
2025-02-01,0,26,534.58154124733608,504.64528333333334,-29.936257914002738
2025-02-01,0,27,545.47066775726796,505.57833333333332,-39.892334423934642
2025-02-01,0,28,552.63839586200118,503.23096666666669,-49.407429195334487
2025-02-01,0,29,553.43512670728808,502.84674999999999,-50.588376707288091
2025-02-01,0,30,552.41403960096341,499.64166666666665,-52.772372934296754
2025-02-01,0,31,545.48375651657182,488.78358333333335,-56.700173183238462
2025-02-01,0,32,548.62965184285724,498.51543333333342,-50.114218509523823
2025-02-01,0,33,551.88103205249649,529.22333333333336,-22.657698719163136
2025-02-01,0,34,559.92624792436948,547.41031666666663,-12.515931257702846
2025-02-01,0,35,549.61765305112078,531.18116666666663,-18.436486384454156
2025-02-01,0,36,552.60257125897647,510.98333333333335,-41.61923792564312
2025-02-01,0,37,557.27717502253847,535.18718333333334,-22.089991689205135
2025-02-01,0,38,556.64438930825281,533.35533333333331,-23.289055974919506
2025-02-01,0,39,557.9786358375419,504.51999999999998,-53.458635837541919
2025-02-01,0,40,557.27717502253847,519.55368333333331,-37.723491689205161
2025-02-01,0,41,623.79687005446931,551.48008333333325,-72.316786721136054
2025-02-01,0,42,602.485000058747,552.04166666666663,-50.443333392080376
2025-02-01,0,43,547.40921303624691,514.55804999999998,-32.85116303624693
2025-02-01,0,44,510.26924074039334,447.90854999999993,-62.360690740393409
2025-02-01,0,45,470.87133981579456,389.42416666666668,-81.447173149127877
2025-02-01,0,46,424.5494574304139,377.65374999999995,-46.89570743041395
2025-02-01,0,47,367.1385719951179,361.16135000000003,-5.9772219951178727
2025-02-01,0,48,317.40295127093469,299.92291666666671,-17.480034604267985
2025-02-01,0,49,266.08698252565915,202.2262333333334,-63.860749192325756
2025-02-01,0,50,224.51957507807205,129.79259999999999,-94.726975078072059
2025-02-01,0,51,175.51972031616728,86.28458333333333,-89.23513698283395
2025-02-01,0,52,121.49500841140541,35.969149999999978,-85.525858411405437
2025-02-01,0,53,88.966285254671746,62.453933333333303,-26.512351921338443
2025-02-01,0,54,90.947405324235362,115.17666666666673,24.229261342431371
2025-02-01,0,55,64.793974898499599,45.82411666666659,-18.969858231833008
2025-02-01,0,56,13.13803286634402,-31.360500000000076,-44.498532866344092
2025-02-01,0,57,-44.487435931426567,-61.700833333333321,-17.213397401906754
2025-02-01,0,58,-70.336723651783657,-105.10811666666662,-34.77139301488296
2025-02-01,0,59,-92.815297094583613,-170.19725000000003,-77.381952905416412
2025-02-01,0,60,-147.3378409893794,-215.43041666666667,-68.092575677287272
2025-02-01,0,61,-196.15658261014246,-200.41763333333333,-4.2610507231908628
2025-02-01,0,62,-234.70045165776159,-226.92018333333331,7.7802683244282775
2025-02-01,0,63,-255.97045998687494,-292.22541666666666,-36.254956679791718
2025-02-01,0,64,-263.51443471417423,-301.08773333333335,-37.573298619159118
2025-02-01,0,65,-279.51921926083588,-343.21740000000005,-63.698180739164172
2025-02-01,0,66,-294.76048360029137,-407.34999999999991,-112.58951639970854
2025-02-01,0,67,-316.18801132893594,-388.48346666666663,-72.295455337730687
2025-02-01,0,68,-334.30284106337029,-395.24006666666668,-60.937225603296383
2025-02-01,0,69,-337.71252283463656,-444.52749999999997,-106.81497716536342
2025-02-01,0,70,-331.10612070535279,-444.1071,-113.00097929464721
2025-02-01,0,71,-356.65663507203044,-448.26733333333328,-91.610698261302844
2025-02-01,0,72,-389.13818433141546,-460.6229166666667,-71.484732335251238
2025-02-01,0,73,-382.39553641417069,-428.64181666666667,-46.246280252495978
2025-02-01,0,74,-369.15976470390802,-426.38726666666668,-57.227501962758652
2025-02-01,0,75,-365.31933059617216,-458.39083333333338,-93.071502737161211
2025-02-01,0,76,-370.51022936939438,-450.98359999999997,-80.473370630605586
2025-02-01,0,77,-347.85789201206916,-425.65438333333333,-77.79649132126417
