lag,rho,paired_samples
0,0.99999999999999578,52560
1,0.98703764865813637,52559
2,0.96609080843785089,52558
3,0.95366024063952481,52557
4,0.94257906641046718,52556
5,0.92936438661037934,52555
6,0.91690873267815953,52554
7,0.90505300371407726,52553
8,0.89312478310086518,52552
9,0.88102606707707176,52551
10,0.86914252840213213,52550
11,0.85804109649069704,52549
12,0.84535462073645817,52548
13,0.828706791641456,52547
14,0.81050866138193856,52546
15,0.79316206328789751,52545
16,0.77597066561018635,52544
17,0.75849996839198286,52543
18,0.74116243667240933,52542
19,0.72405449865763938,52541
20,0.70700392980666915,52540
21,0.68980343334605509,52539
22,0.6727603792880632,52538
23,0.65622482365584267,52537
24,0.63876396840244054,52536
25,0.61899018388828286,52535
26,0.59824825782751634,52534
27,0.57787982224776546,52533
28,0.5576209665068047,52532
29,0.53738388981871577,52531
30,0.51713779622023404,52530
31,0.49659558424181893,52529
32,0.47590905011439527,52528
33,0.45533644305853144,52527
34,0.43497845608482688,52526
35,0.41481940854893956,52525
36,0.39415189078168472,52524
37,0.37228480099671613,52523
38,0.34972188651321945,52522
39,0.32718340397798573,52521
40,0.30480476123595329,52520
41,0.28255191747316954,52519
42,0.26016695631913361,52518
43,0.23735480307564957,52517
44,0.21433563614498849,52516
45,0.19151231412670069,52515
46,0.16866144513492104,52514
47,0.14544299765489577,52513
48,0.12290452986594994,52512
49,0.10211064703454227,52511
50,0.08208996152419,52510
51,0.061736963352454398,52509
52,0.041016576676108744,52508
53,0.020090236020318498,52507
54,-0.00025626473242058151,52506
55,-0.01952369517389678,52505
56,-0.038466383695824058,52504
57,-0.057139087445455983,52503
58,-0.076193265071881358,52502
59,-0.096827125923502025,52501
60,-0.11427231036866749,52500
61,-0.12361063793079635,52499
62,-0.12957865903626375,52498
63,-0.13711663655906201,52497
64,-0.14517212204120888,52496
65,-0.1529369451964348,52495
66,-0.16055398262875142,52494
67,-0.16779685690363016,52493
68,-0.17498431793707989,52492
69,-0.18206176820541878,52491
70,-0.18957647673152636,52490
71,-0.19837416168565408,52489
72,-0.20455628917233107,52488
73,-0.20430408133124439,52487
74,-0.20151781814225656,52486
75,-0.20004225301445289,52485
76,-0.19898095229817081,52484
77,-0.19784585801889867,52483
78,-0.19661220994129036,52482
79,-0.19481870807286267,52481
80,-0.19280928996694943,52480
81,-0.19060105842954436,52479
82,-0.18883509547094093,52478
83,-0.1884159077614283,52477
84,-0.18496911034603544,52476
85,-0.17424994985736511,52475
86,-0.16061083985582852,52474
87,-0.14833261723913935,52473
88,-0.1364054855704622,52472
89,-0.12421808888022245,52471
90,-0.1115743329366653,52470
91,-0.097772777587900941,52469
92,-0.083409606533069058,52468
93,-0.069162497644379026,52467
94,-0.055258082738605677,52466
95,-0.041898164027221289,52465
96,-0.027347539305107513,52464
97,-0.0098645833752802493,52463
98,0.0089150576865175534,52462
99,0.027192419070674479,52461
100,0.045377840092215169,52460
101,0.063797377930473353,52459
102,0.081734874659281948,52458
103,0.098730834223820327,52457
104,0.1153549359144139,52456
105,0.13220167334523084,52455
106,0.14903732737787079,52454
107,0.16551041284104234,52453
108,0.18217338122895643,52452
109,0.19962022806761734,52451
110,0.21730620911726456,52450
111,0.23475063965757079,52449
112,0.2523186668226301,52448
113,0.27019735587403254,52447
114,0.28788403458444467,52446
115,0.30502852844274253,52445
116,0.32198822745299843,52444
117,0.33903934997413393,52443
118,0.35636690660624848,52442
119,0.37407635489036561,52441
120,0.39079008131122273,52440
121,0.40526688234963698,52439
122,0.41886029659844665,52438
123,0.43301419845324596,52437
124,0.44741317420813392,52436
125,0.46157749320622321,52435
126,0.47562199178872638,52434
127,0.48985540228159663,52433
128,0.50427256610566518,52432
129,0.51838368184486294,52431
130,0.53243522555808587,52430
131,0.54721462354378037,52429
132,0.56112177703103905,52428
133,0.57220408820037283,52427
134,0.58205997401350895,52426
135,0.59253303275017688,52425
136,0.60340307582578101,52424
137,0.61426818670187788,52423
138,0.62446784449219694,52422
139,0.63381042908278407,52421
140,0.64313090987573029,52420
141,0.65192830636847876,52419
142,0.66120299830478035,52418
143,0.67292593112617305,52417
144,0.6792228203357904,52416
145,0.67202223983874054,52415
146,0.65910196845180435,52414
147,0.64862582403085189,52413
148,0.63897163777643851,52412
149,0.62885923705637015,52411
150,0.61844805153322491,52410
151,0.60710089489344687,52409
152,0.59531967182975598,52408
153,0.58358671058326728,52407
154,0.57202916785791369,52406
155,0.56106186176866646,52405
156,0.54894010687289518,52404
157,0.53373049891044766,52403
158,0.51722879972307512,52402
159,0.50141540324541689,52401
160,0.48583931832103638,52400
161,0.47000968866508452,52399
162,0.45410735532158342,52398
163,0.4383180951677208,52397
164,0.42264649670408222,52396
165,0.40683127628282073,52395
166,0.39107194322916655,52394
167,0.37582533155238712,52393
168,0.35977382006007108,52392
169,0.34148336502311372,52391
170,0.32224180123344887,52390
171,0.30341218202087372,52389
172,0.28477511974384284,52388
173,0.26620669914189971,52387
174,0.24752577792802366,52386
175,0.22838496409852393,52385
176,0.20906631914915508,52384
177,0.18986004835083717,52383
178,0.17076336428302655,52382
179,0.15178858168450979,52381
180,0.1323552738616473,52380
181,0.11180464488597566,52379
182,0.09057962420789549,52378
183,0.069421019009450691,52377
184,0.048490329571433261,52376
185,0.027649376697764707,52375
186,0.0066467930695478985,52374
187,-0.014710367777723844,52373
188,-0.03625450362919537,52372
189,-0.057631278614382574,52371
190,-0.07899759923009908,52370
191,-0.1007142323149879,52369
192,-0.12191944894190936,52368
193,-0.14168638363313252,52367
194,-0.16085854583975559,52366
195,-0.18026910345485087,52365
196,-0.19996417081851536,52364
197,-0.21998953710133837,52363
198,-0.23920115274459,52362
199,-0.2565600903288186,52361
200,-0.27313291482039465,52360
201,-0.28960937388123881,52359
202,-0.30650600458825888,52358
203,-0.32465511392746382,52357
204,-0.34023518495664434,52356
205,-0.34931202822463564,52355
206,-0.35566427893478947,52354
207,-0.36324115554219544,52353
208,-0.37128693816249747,52352
209,-0.37915965649477351,52351
210,-0.38651775175977621,52350
211,-0.39284568657920971,52349
212,-0.39886785453477941,52348
213,-0.40497636806745646,52347
214,-0.4114658349917239,52346
215,-0.41889096340849435,52345
216,-0.42431388976342294,52344
217,-0.42481841126679493,52343
218,-0.42339269134234142,52342
219,-0.42300961342281362,52341
220,-0.42302882341964404,52340
221,-0.42298121641406589,52339
222,-0.42243204361327891,52338
223,-0.42080067664607013,52337
224,-0.41874956191610496,52336
225,-0.41662537515709025,52335
226,-0.41488875727401264,52334
227,-0.41422259182841414,52333
228,-0.41114096617944035,52332
229,-0.40221940336925166,52331
230,-0.39092685874908234,52330
231,-0.3807197902436435,52329
232,-0.37102421701065441,52328
233,-0.36141775538257476,52327
234,-0.35082646958554281,52326
235,-0.3380837349562773,52325
236,-0.32465479460087909,52324
237,-0.31158778937082826,52323
238,-0.29854762341122343,52322
239,-0.28581921312263298,52321
240,-0.27223212652488832,52320
241,-0.25615759328349208,52319
242,-0.23894572143235396,52318
243,-0.22221192030258205,52317
244,-0.20557794617268307,52316
245,-0.18874687734122444,52315
246,-0.17237383429452505,52314
247,-0.15682306122990056,52313
248,-0.14152740329108032,52312
249,-0.12607407517328062,52311
250,-0.11070432729726126,52310
251,-0.095484550084754122,52309
252,-0.079966108362102717,52308
253,-0.063838514777061622,52307
254,-0.047453460811496713,52306
255,-0.031250643172527098,52305
256,-0.01504992853084954,52304
257,0.0014972072919132537,52303
258,0.017880408031049715,52302
259,0.033505250872460361,52301
260,0.048843694970000469,52300
261,0.06430904561638015,52299
262,0.080008887149469382,52298
263,0.096088933757821848,52297
264,0.11128551924013931,52296
265,0.12441579653376075,52295
266,0.13681398201386205,52294
267,0.14972335286257477,52293
268,0.16277816453757851,52292
269,0.17574236405398777,52291
270,0.18853839337824849,52290
271,0.20108595149741768,52289
272,0.21368926680698408,52288
273,0.22628196191175348,52287
274,0.23888188178170236,52286
275,0.25195388487008935,52285
276,0.26438437049704644,52284
277,0.27484334125671744,52283
278,0.28454521441716341,52282
279,0.29471102681071443,52281
280,0.30523387808365088,52280
