hour,energy_kwh
0,8609.1152276939611
0.16666666666666666,8776.9558363089072
0.33333333333333331,9508.2948867431423
0.5,9501.2996917273704
0.66666666666666663,9540.2398703663894
0.83333333333333337,9583.8150809328909
1,9606.88237882266
1.1666666666666667,9594.3090362748117
1.3333333333333333,9569.4576750531196
1.5,9548.1144040925265
1.6666666666666667,9577.9157617639376
1.8333333333333333,9639.4357191779982
2,9692.5093380977651
2.1666666666666665,9755.6746264158537
2.3333333333333335,9841.6100167000332
2.5,9904.4104850176354
2.6666666666666665,9928.6460399625048
2.8333333333333335,9963.7825314960373
3,9986.4649421769263
3.1666666666666665,9970.1160438203788
3.3333333333333335,9964.8272795043467
3.5,9996.2936172031568
3.6666666666666665,10028.642714031725
3.8333333333333335,10046.76614821202
4,10056.109065613697
4.166666666666667,10082.329531435893
4.333333333333333,10125.572235466574
4.5,10167.75491231741
4.666666666666667,10211.589290104221
4.833333333333333,10233.870189097865
5,10238.274179500944
5.166666666666667,10254.263738812344
5.333333333333333,10257.077983793264
5.5,10275.038947580051
5.666666666666667,10800
5.833333333333333,10800
6,9997.3377186903926
6.166666666666667,9200.1431776227328
6.333333333333333,8468.8087887304719
6.5,7778.3647174072494
6.666666666666667,7132.5359954089645
6.833333333333333,6657.2779745673679
7,6616.2564520755705
7.166666666666667,6590.4062859284368
7.333333333333333,6653.0062492124471
7.5,6715.7706596631924
7.666666666666667,6848.5629969293886
7.833333333333333,6522.8722670457937
8,6029.6335535249182
8.1666666666666661,5541.5959438257923
8.3333333333333339,5100.2744363850852
8.5,4687.4183228247548
8.6666666666666661,4361.551228653987
8.8333333333333339,4096.4435050018101
9,3847.3175617420948
9.1666666666666661,3640.7215566246259
9.3333333333333339,3509.9613771815489
9.5,3461.7902137638707
9.6666666666666661,3457.7144285763311
9.8333333333333339,3447.3391617982679
10,3431.5533420356014
10.166666666666666,3461.7711061781943
10.333333333333334,3506.2398642301941
10.5,3571.5387934046089
10.666666666666666,3636.0626810272433
10.833333333333334,3729.7424170969266
11,4470.0598103037137
11.166666666666666,5174.3541297716729
11.333333333333334,5895.3274532728856
11.5,6618.8395692535105
11.666666666666666,7368.8395692535105
11.833333333333334,8118.8395692535105
12,8868.8395692535105
12.166666666666666,9618.8395692535105
12.333333333333334,10368.83956925351
12.5,10800
12.666666666666666,10800
12.833333333333334,10800
13,10800
13.166666666666666,10800
13.333333333333334,10800
13.5,10800
13.666666666666666,10800
13.833333333333334,10800
14,10800
14.166666666666666,10800
14.333333333333334,10779.384555555556
14.5,10735.476685185185
14.666666666666666,10657.373037037038
14.833333333333334,10517.051372453281
15,10559.890609429467
15.166666666666666,10800
15.333333333333334,10800
15.5,10758.082310746629
15.666666666666666,10712.617425380349
15.833333333333334,10688.02759499746
16,10653.463896953856
16.166666666666668,10581.544381941061
16.333333333333332,10529.879818047755
16.5,10515.969930011879
16.666666666666668,10517.760938764968
16.833333333333332,10533.238010004203
17,10543.633173752627
17.166666666666668,10547.431696778247
17.333333333333332,10569.968185514997
17.5,10603.057120515961
17.666666666666668,10645.028456943344
17.833333333333332,10676.571061888131
18,10699.023591576894
18.166666666666668,10677.889389664924
18.333333333333332,10679.087591026831
18.5,10710.875280917913
18.666666666666668,10727.02693295274
18.833333333333332,10381.563554019136
19,9587.650069735786
19.166666666666668,8810.8136376481798
19.333333333333332,8070.5522173774198
19.5,7346.2421435876968
19.666666666666668,6598.4603360274887
19.833333333333332,5843.5329273506286
20,5089.2117968226539
20.166666666666668,4292.9317289374667
20.333333333333332,3508.4941542010347
20.5,2781.2398533973919
20.666666666666668,2046.3848206947937
20.833333333333332,2076.3807206064284
21,2106.3971018306747
21.166666666666668,2115.0182255229752
21.333333333333332,2101.1230617955084
21.5,2085.3823961202129
21.666666666666668,2069.7533715227391
21.833333333333332,2026.0642111948414
22,2512.7104603428206
22.166666666666668,3262.7104603428206
22.333333333333332,3269.251838897424
22.5,3999.9266954985587
22.666666666666668,4739.4602379064982
22.833333333333332,4787.6060363726419
23,4794.5842314949641
23.166666666666668,4784.3327211638325
23.333333333333332,4813.7424380998382
23.5,4863.4443469022272
23.666666666666668,4851.3976174250229
23.833333333333332,4820.0591910628273
24,4837.4790042952636
