lag,acf,reference_lower,reference_upper
0,1,0,0
1,0.95254710197971559,-0.0085491003076958449,0.0085491003076958449
2,0.8684759717492877,-0.014342862970918691,0.014342862970918691
3,0.80725966583854947,-0.017775536781122758,0.017775536781122758
4,0.75448800455305232,-0.020278727818554443,0.020278727818554443
5,0.69972624065560307,-0.022235934828930271,0.022235934828930271
6,0.65060738260034146,-0.023790883952350739,0.023790883952350739
7,0.60717421301590213,-0.025057538686605096,0.025057538686605096
8,0.56686426243732946,-0.026110704972991283,0.026110704972991283
9,0.5294951882909994,-0.02699518150567215,0.02699518150567215
10,0.49571348649239655,-0.027743863928649359,0.027743863928649359
11,0.46609062581486183,-0.028383827291975305,0.028383827291975305
12,0.43966637351738697,-0.02893780590936984,0.02893780590936984
13,0.41490850817263875,-0.029421982308772132,0.029421982308772132
14,0.39195624184612704,-0.029846554258765701,0.029846554258765701
15,0.37137524872312633,-0.030220415349538399,0.030220415349538399
16,0.35268978486000691,-0.030552148728441919,0.030552148728441919
17,0.33518316494290057,-0.030848280616429746,0.030848280616429746
18,0.31848734362882586,-0.031113321321787124,0.031113321321787124
19,0.30219583688595825,-0.031350691032642208,0.031350691032642208
20,0.2860907567500402,-0.031562870572678425,0.031562870572678425
21,0.27102600556402229,-0.031751832322033768,0.031751832322033768
22,0.25744158047664362,-0.031920465191100339,0.031920465191100367
23,0.2442512804722401,-0.032071856290042999,0.032071856290042999
24,0.23171235428940934,-0.032207522860350168,0.032207522860350168
25,0.22116367446384488,-0.032329131031314351,0.032329131031314351
26,0.21194116707499086,-0.032439522001303039,0.032439522001303039
27,0.20295357118528107,-0.032540568472734677,0.032540568472734677
28,0.19462693718135829,-0.032632951680432787,0.032632951680432787
29,0.18753102470838476,-0.032717679675549699,0.032717679675549699
30,0.18109629121780094,-0.032796146145106259,0.032796146145106259
31,0.17467535372764711,-0.032869151382450223,0.032869151382450223
32,0.16854707080075604,-0.032936926156610147,0.032936926156610147
33,0.16251949713346692,-0.032999903621885901,0.032999903621885901
34,0.15590075131820838,-0.033058349605959519,0.033058349605959519
35,0.14902008682272755,-0.0331120408590585,0.0331120408590585
36,0.14266041763415549,-0.03316102138081907,0.033161021380819056
37,0.13672435384508416,-0.033205847018645332,0.033205847018645346
38,0.13055922127604216,-0.03324696664941279,0.03324696664941279
39,0.12429783718146439,-0.033284417299928343,0.033284417299928343
40,0.11851015735912178,-0.033318325586889033,0.033318325586889033
41,0.11298751165385554,-0.033349119732381111,0.033349119732381111
42,0.1074027282576851,-0.033377086049571417,0.033377086049571403
43,0.10209563419818452,-0.03340233589900525,0.033402335899005264
44,0.097442274769796583,-0.03342513565157508,0.033425135651575094
45,0.093084341266321841,-0.033445890886759831,0.033445890886759838
46,0.08852380712002661,-0.033464819920139041,0.033464819920139041
47,0.083843354238578194,-0.033481930372331638,0.033481930372331631
48,0.078938928474300354,-0.033497271883454201,0.033497271883454208
