origin,step,mean_scenario_soc_kwh,scenario_soc_Q10_kwh,scenario_soc_Q90_kwh
2025-02-01,0,8726.0264222666356,8703.9108638824055,8753.3041260313857
2025-02-01,1,9458.4280289004328,9406.3496965336817,9501.6779682089436
2025-02-01,2,9460.4798862831267,9418.6500308769573,9509.7421490522938
2025-02-01,3,9466.6785112897087,9395.3328685970173,9535.2323175915699
2025-02-01,4,9473.5187399901279,9381.5236738738204,9585.1619345066065
2025-02-01,5,9486.2236749838412,9364.2392534178944,9596.1729946712567
2025-02-01,6,9525.9930251477672,9393.6967886141956,9648.7999606679405
2025-02-01,7,9561.3281262097225,9437.3341235457101,9697.639082205691
2025-02-01,8,9581.3346785284284,9446.2318131546417,9680.5517567833322
2025-02-01,9,9580.3942262104738,9461.2039452380086,9692.8680879357071
2025-02-01,10,9602.8930013004374,9477.2283175764915,9749.6514964926555
2025-02-01,11,9646.9471157196567,9491.9415379692982,9812.0698851867346
2025-02-01,12,9663.0274099571288,9519.4727306177701,9815.7369517787502
2025-02-01,13,9692.932758633704,9516.3338632507603,9854.5887406423735
2025-02-01,14,9715.2376119438322,9510.711881632471,9870.083228175652
2025-02-01,15,9722.875799798112,9521.01355992151,9886.2502882976005
2025-02-01,16,9734.7432465370839,9553.5200681403858,9896.4909747563343
2025-02-01,17,9774.0625952935716,9573.7542249339731,9947.1254654897257
2025-02-01,18,9782.3699752975353,9571.9277938036903,9984.377768517521
2025-02-01,19,9790.5303489224243,9572.844594113827,9985.1588372299993
2025-02-01,20,9811.2097245684945,9567.6411052420171,10003.96781732017
2025-02-01,21,9843.1079458304212,9582.8495122170079,10040.646669589134
2025-02-01,22,9854.7030390412365,9609.6485444776281,10043.764893424881
2025-02-01,23,9860.5618172557206,9659.0714751384148,10021.582327504688
2025-02-01,24,9870.6255576933545,9692.1665754428177,10014.999033907183
2025-02-01,25,9875.5258555184137,9684.8890178065049,9987.5838630752169
2025-02-01,26,9904.7368786690149,9682.8700444720489,10029.137099966689
2025-02-01,27,9926.2742357316765,9683.3436704701708,10066.776442981518
2025-02-01,28,9964.3556783084277,9721.7548584901797,10101.238707155102
2025-02-01,29,9979.4759060465858,9743.3336185027347,10098.975255748855
2025-02-01,30,9992.0847842892927,9745.5555613682664,10132.232860579423
2025-02-01,31,10027.125313444263,9765.7002788957761,10177.258003106814
2025-02-01,32,10052.174771744971,9819.8728381855708,10193.14880913948
2025-02-01,33,10735.29937103619,10541.73310958726,10800
2025-02-01,34,10474.926867571276,10318.725004500327,10558.900420637527
2025-02-01,35,9867.7697136246225,9743.8314229092884,9958.8768731542041
2025-02-01,36,9251.298872754458,9108.6920768590935,9354.8704215559064
2025-02-01,37,8640.1561526847599,8499.0138361641766,8753.8851100227184
2025-02-01,38,8022.0618422643074,7867.895625256705,8134.5699630606832
2025-02-01,39,7407.5765013492774,7249.3415239511742,7535.9487983487352
2025-02-01,40,6720.4546395374527,6567.6603900199652,6823.4467541314953
2025-02-01,41,6062.5165513225293,5920.0612199267389,6191.7336424876003
2025-02-01,42,5472.4929096655769,5323.7582057360805,5601.4510337087731
2025-02-01,43,4921.6486703759374,4738.7409697542162,5036.3111623626928
2025-02-01,44,4423.341386018812,4199.982220060795,4576.0085114460635
2025-02-01,45,3985.92569537279,3692.7139010060473,4209.1094594386623
2025-02-01,46,3602.9582819913917,3281.8019453690476,3868.7276148367673
2025-02-01,47,3260.4991558220004,2869.5595138907961,3580.3051823893766
2025-02-01,48,2964.2345432454481,2540.1397158039417,3304.1484012575288
2025-02-01,49,2732.2666074158783,2323.4125606466218,3089.7259347385111
2025-02-01,50,2553.1430953441168,2046.943293725878,2959.3465830769337
2025-02-01,51,2433.8782432403436,1871.587362112838,2895.7032804165556
2025-02-01,52,2344.900626647368,1716.5983914047206,2839.6290716060112
2025-02-01,53,2250.1326216492785,1534.2593902458459,2760.3643225765927
2025-02-01,54,2187.36631904351,1460.2353938726014,2751.3977516578739
2025-02-01,55,2182.2991746324142,1446.0621136517173,2782.6616020158804
2025-02-01,56,2237.2858313020092,1412.7321723492905,2879.2713086551112
2025-02-01,57,2314.0666651325273,1426.9948334543399,2990.2665949923658
2025-02-01,58,2404.1557773180771,1521.4179603224172,3106.0809205567775
2025-02-01,59,2539.1273367149206,1681.5292349702377,3266.1921952045977
2025-02-01,60,2724.4624373900479,1881.0572834872435,3483.253635572763
2025-02-01,61,2947.6939335640986,2082.396118110451,3748.4063402266424
2025-02-01,62,3193.8046581213048,2295.7755317250353,4060.3013207029317
2025-02-01,63,3441.8220538853025,2539.7123610475614,4372.7054408193662
2025-02-01,64,3704.0796546993215,2805.3481821219834,4676.2092191769552
2025-02-01,65,3996.2271292729406,3101.6190488785296,4991.1152230842208
2025-02-01,66,4321.8707764004412,3452.0224569871671,5330.3164477450709
2025-02-01,67,4649.0260959802263,3814.5383345715754,5705.962860140673
2025-02-01,68,4988.4087715140213,4144.8370829696541,6137.7221556003506
2025-02-01,69,5328.1042178453117,4440.4170374917521,6526.6916718073944
2025-02-01,70,5688.8033404383486,4724.9830783062371,6889.3215060891334
2025-02-01,71,6433.961595629391,5474.9830783062371,7639.3215060891334
2025-02-01,72,7174.8385317626962,6224.9830783062371,8389.3215060891343
2025-02-01,73,7589.6933017981892,6669.3038779292128,8892.9184890664746
2025-02-01,74,8329.6199107807624,7419.3038779292128,9642.9184890664746
2025-02-01,75,9069.728915423213,8169.3038779292128,10392.918489066475
2025-02-01,76,9381.3444201506372,8423.925402145147,10762.862738096434
2025-02-01,77,9622.7680337651273,8586.2019050280342,10800
2025-02-01,78,9847.7074630715942,8794.3528331456164,10800
2025-02-01,79,10048.121688064,9039.1056013542293,10800
2025-02-01,80,10224.08932379659,9276.4335006966448,10800
2025-02-01,81,10362.262106573096,9528.4375146540424,10800
2025-02-01,82,10474.077607744981,9762.9632990016271,10800
2025-02-01,83,10573.557966548902,9964.5016493593266,10800
2025-02-01,84,10633.715836501713,10120.850653447567,10800
2025-02-01,85,10675.236157623254,10239.275058173211,10800
2025-02-01,86,10699.197860109456,10338.514460685377,10800
2025-02-01,87,10716.898356168658,10440.732346034993,10800
2025-02-01,88,10725.573047254082,10505.660872236318,10800
2025-02-01,89,10735.742111690353,10549.187312050193,10800
2025-02-01,90,10741.625469225546,10577.241666809878,10800
2025-02-01,91,10736.78097025237,10584.288054709537,10800
2025-02-01,92,10733.470948989054,10572.726541300637,10800
2025-02-01,93,10726.794990900113,10566.405556629104,10800
2025-02-01,94,10719.395989727549,10561.768839812839,10800
2025-02-01,95,10703.511105010704,10529.742645879976,10800
2025-02-01,96,10692.626680885416,10510.122910585937,10800
2025-02-01,97,10699.84219886481,10523.74646116572,10800
2025-02-01,98,10706.177754601902,10508.318803433358,10800
2025-02-01,99,10709.948790950435,10509.038971129527,10800
2025-02-01,100,10713.775119204423,10531.848419673066,10800
2025-02-01,101,10715.088517833572,10527.060171809997,10800
2025-02-01,102,10722.892225194042,10536.836220489853,10800
2025-02-01,103,10716.65505937638,10529.972807071217,10800
