origin,horizon,M,S,mean_net_kwh,mean_timewise_variance_kwh2,full_Q80_mean_kwh,reduced_Q80_mean_kwh,full_Q90_mean_kwh,reduced_Q90_mean_kwh,positive_Q90_tail_underestimate_kwh,expected_objective_yuan_all_horizons
2025-02-01,0,17,17,265.49753203500086,1664.338080641613,295.43608435575845,295.43608435575845,313.67381568398196,313.67381568398196,0,20092.53780391904
2025-02-02,0,18,18,575.44951292289306,1668.2462268442744,607.14804134607357,607.14804134607357,625.39086086878899,625.39086086878899,0,57079.503186430018
2025-02-03,0,19,19,565.5315085816801,1677.7866109961753,599.17379237174623,599.17379237174623,617.1954191498769,617.1954191498769,0,56274.500794753141
2025-02-04,0,20,20,563.00798515424344,1649.6080530026579,591.11616225488194,591.11616225488194,604.2361582996831,604.2361582996831,0,56249.649183136331
2025-02-05,0,21,21,555.33833366673412,1648.5018320294755,584.89871511748311,584.89871511748311,598.09095515544038,598.09095515544038,0,55436.305336585116
2025-02-06,0,22,22,556.27348458083623,1626.9846144033941,586.36390097648462,586.36390097648462,599.77448702405627,599.77448702405627,0,55731.648559368834
2025-02-07,0,23,23,253.02569449003133,1608.2219020655082,284.12320593275314,284.12320593275314,296.98755199150003,296.98755199150003,0,22556.087781013397
2025-02-08,0,24,24,223.05286567925774,1699.0373409430852,255.7235832952191,255.7235832952191,268.56627038990132,268.56627038990132,0,20233.46999422929
2025-02-09,0,25,25,534.56620643709948,1698.0925028468323,563.9506117096862,563.9506117096862,580.55339321456267,580.55339321456267,0,53307.441544261863
2025-02-10,0,26,26,541.16821319183634,1717.4492292669336,571.01934217894052,571.01934217894052,587.42440860054637,587.42440860054637,0,54317.154196397736
2025-02-11,0,27,27,531.88539599786827,1771.9267689090223,563.23189616976424,563.23189616976424,579.31539576426212,579.31539576426212,0,53348.659916471566
2025-02-12,0,28,28,527.62442416984936,1740.7141931782294,559.61734268891576,559.61734268891576,575.73564544416911,575.73564544416911,0,52878.603916620501
2025-02-13,0,28,28,521.06515533263826,1726.2560903975043,552.95915435655866,552.95915435655866,568.84129463793624,568.84129463793624,0,52261.326707822904
2025-02-14,0,28,28,196.45910375944334,1789.2315632643299,228.94771812199056,228.94771812199056,244.39921626752232,244.39921626752232,0,19200.335383741643
2025-02-15,0,28,28,191.79028627221547,1839.0435608442713,224.65557320773121,224.65557320773121,240.36287708400428,240.36287708400428,0,18786.086148785438
2025-02-16,0,28,28,501.21234197861446,1849.8028197061508,534.03954417072498,534.03954417072498,550.17994624564562,550.17994624564562,0,50058.213069731617
2025-02-17,0,28,28,501.8151594383275,1861.7475174230365,534.47426473873429,534.47426473873429,550.82213153127054,550.82213153127054,0,50139.218650861272
2025-02-18,0,28,28,496.18942115238303,1862.5650240564719,529.07747799545882,529.07747799545882,545.34671458593846,545.34671458593846,0,49590.139994313307
2025-02-19,0,28,28,495.48792340960074,1770.4640052449972,527.77966237053602,527.77966237053602,543.67251974949556,543.67251974949556,0,49189.918511316384
2025-02-20,0,28,28,493.18965383740681,1769.0781676318875,525.47495428647323,525.47495428647323,542.20460183778471,542.20460183778471,0,49106.733595943115
2025-02-21,0,28,28,177.48903477821437,1715.4300098030844,209.58122013900123,209.58122013900123,226.37295781283962,226.37295781283962,0,18407.669710686259
2025-02-22,0,28,28,172.09270594495055,1695.7069698981177,204.26867667710735,204.26867667710735,220.66657125889719,220.66657125889719,0,18025.987995884057
2025-02-23,0,28,28,484.95378705435337,1694.4226865382777,517.28358272534433,517.28358272534433,532.70224137313039,532.70224137313039,0,48024.963429453957
2025-02-24,0,28,28,481.64873832562745,1663.3210378997117,514.12903351386251,514.12903351386251,529.6741709386323,529.6741709386323,0,47576.577129726589
