boundary,time_h,energy_kwh
0,0.0,6000.0
1,0.16666666666666666,6750.0
2,0.3333333333333333,7500.0
3,0.5,8250.0
4,0.6666666666666666,9000.0
5,0.8333333333333333,9750.0
6,1.0,9750.0
7,1.1666666666666665,9750.0
8,1.3333333333333333,9750.0
9,1.5,10050.0
10,1.6666666666666665,10050.0
11,1.8333333333333333,10050.0
12,2.0,10050.0
13,2.1666666666666665,10050.0
14,2.333333333333333,10050.0
15,2.5,10050.0
16,2.6666666666666665,10050.0
17,2.833333333333333,10050.0
18,3.0,10050.0
19,3.1666666666666665,10050.0
20,3.333333333333333,10050.0
21,3.5,10050.0
22,3.6666666666666665,10050.0
23,3.833333333333333,10050.0
24,4.0,10050.0
25,4.166666666666666,10050.0
26,4.333333333333333,10050.0
27,4.5,10050.0
28,4.666666666666666,10050.0
29,4.833333333333333,10050.0
30,5.0,10050.0
31,5.166666666666666,10050.0
32,5.333333333333333,10050.0
33,5.5,10050.0
34,5.666666666666666,10800.0
35,5.833333333333333,10800.0
36,6.0,10057.495685185186
37,6.166666666666666,9329.211981481481
38,6.333333333333333,8644.2075
39,6.5,7987.035851851852
40,6.666666666666666,7367.606000000001
41,6.833333333333333,6779.561888888889
42,7.0,6221.261092592593
43,7.166666666666666,5715.212685185185
44,7.333333333333333,5259.583018518519
45,7.5,4862.919925925926
46,7.666666666666666,4548.071518518518
47,7.833333333333333,4191.755833333333
48,8.0,3726.8431111111104
49,8.166666666666666,3302.4977962962957
50,8.333333333333332,2958.5462962962956
51,8.5,2664.52474074074
52,8.666666666666666,2427.0349629629623
53,8.833333333333332,2228.6361666666658
54,9.0,2055.9782592592583
55,9.166666666666666,1931.2454814814803
56,9.333333333333332,1859.6934074074063
57,9.5,1834.6242407407397
58,9.666666666666666,1850.3059007407396
59,9.833333333333332,1897.8598907407395
60,10.0,1973.9660657407394
61,10.166666666666666,2079.2512907407395
62,10.333333333333332,2211.2458307407396
63,10.5,2367.4140557407395
64,10.666666666666666,2548.3402307407396
65,10.833333333333332,2751.2057357407393
66,11.0,2970.8140607407395
67,11.166666666666666,3720.8140607407395
68,11.333333333333332,3966.1824407407394
69,11.5,4222.07132574074
70,11.666666666666666,4643.792100000004
71,11.833333333333332,5393.792100000004
72,12.0,6143.792100000004
73,12.166666666666666,6893.792100000004
74,12.333333333333332,7643.792100000004
75,12.5,8393.792100000004
76,12.666666666666666,9143.792100000004
77,12.833333333333332,9417.888690000003
78,13.0,9655.945155000003
79,13.166666666666666,9874.201950000002
80,13.333333333333332,10074.969975000002
81,13.5,10253.853360000001
82,13.666666666666666,10413.477195000001
83,13.833333333333332,10550.043465
84,14.0,10658.074995
85,14.166666666666666,10737.108
86,14.333333333333332,10785.37038
87,14.5,10800.0
88,14.666666666666666,10773.57625925926
89,14.833333333333332,10698.77624074074
90,15.0,10698.77624074074
91,15.166666666666666,10800.0
92,15.333333333333332,10800.0
93,15.5,10800.0
94,15.666666666666666,10800.0
95,15.833333333333332,10800.0
96,16.0,10800.0
97,16.166666666666664,10800.0
98,16.333333333333332,10800.0
99,16.5,10800.0
100,16.666666666666664,10800.0
101,16.833333333333332,10800.0
102,17.0,10800.0
103,17.166666666666664,10800.0
104,17.333333333333332,10800.0
105,17.5,10800.0
106,17.666666666666664,10800.0
107,17.833333333333332,10800.0
108,18.0,10800.0
109,18.166666666666664,10678.591944444444
110,18.333333333333332,10678.591944444444
111,18.5,10678.591944444444
112,18.666666666666664,10678.591944444444
113,18.833333333333332,9895.664981481481
114,19.0,9110.682722222222
115,19.166666666666664,8324.675537037037
116,19.333333333333332,7537.394425925927
117,19.5,6749.120111111112
118,19.666666666666664,5958.861833333334
119,19.833333333333332,5168.125722222223
120,20.0,4377.631240740741
121,20.166666666666664,3584.626703703704
122,20.333333333333332,2789.8665370370372
123,20.5,1995.170037037037
124,20.666666666666664,1200.0
125,20.833333333333332,1200.0
126,21.0,1200.0
127,21.166666666666664,1200.0
128,21.333333333333332,1200.0
129,21.5,1200.0
130,21.666666666666664,1200.0
131,21.833333333333332,1200.0
132,22.0,1950.0
133,22.166666666666664,2700.0
134,22.333333333333332,2700.0
135,22.5,3450.0
136,22.666666666666664,4200.0
137,22.833333333333332,4200.0
138,23.0,4950.0
139,23.166666666666664,4950.0
140,23.333333333333332,4950.0
141,23.5,5700.0
142,23.666666666666664,6000.0
143,23.833333333333332,6000.0
144,24.0,6000.0
