date,interval,charge,discharge,soc_start,soc_end
2025-03-20,00:00-04:00,2731.169254765472,0,6300,1200.0000000000018
2025-03-20,04:00-08:00,2268.830745234528,6242.231226314615,6300,1200.0000000000018
2025-03-20,08:00-12:00,6945.7371935196543,2350.0236161129974,6300,1200.0000000000018
2025-03-20,12:00-16:00,6161.9848341687548,2024.9999999999991,6300,1200.0000000000018
2025-03-20,16:00-20:00,0,5956.8916862339356,6300,1200.0000000000018
2025-03-20,20:00-24:00,0,2683.1083137660626,6300,1200.0000000000018
2025-06-21,00:00-04:00,0,0,1200.0000000000034,6450.0000000000064
2025-06-21,04:00-08:00,2507.3020565845341,2030.914665833473,1200.0000000000034,6450.0000000000064
2025-06-21,08:00-12:00,4272.5646378869205,9.2820084264371161,1200.0000000000034,6450.0000000000064
2025-06-21,12:00-16:00,6405.5612984420168,0,1200.0000000000034,6450.0000000000064
2025-06-21,16:00-20:00,0,5806.2126033238901,1200.0000000000034,6450.0000000000064
2025-06-21,20:00-24:00,5833.3333333333321,2833.787396676109,1200.0000000000034,6450.0000000000064
2025-09-23,00:00-04:00,5666.6666666666642,0,4200.0000000000018,2699.9999999999991
2025-09-23,04:00-08:00,1722.6861503252419,5284.8601332652288,4200.0000000000018,2699.9999999999991
2025-09-23,08:00-12:00,5860.4329185945244,3248.6169434508552,4200.0000000000018,2699.9999999999991
2025-09-23,12:00-16:00,6074.6811005462569,1179.3410605513964,4200.0000000000018,2699.9999999999991
2025-09-23,16:00-20:00,0,6199.2066236544124,4200.0000000000018,2699.9999999999991
2025-09-23,20:00-24:00,1666.6666666666663,2440.7933763455867,4200.0000000000018,2699.9999999999991
2025-12-21,00:00-04:00,666.66666666666265,0,10200.000000000004,8699.9999999999964
2025-12-21,04:00-08:00,833.33333333333326,1508.3333333333333,10200.000000000004,8699.9999999999964
2025-12-21,08:00-12:00,5833.333333333333,7806.666666666667,10200.000000000004,8699.9999999999964
2025-12-21,12:00-16:00,8455.5533801204219,2933.9982378975437,10200.000000000004,8699.9999999999964
2025-12-21,16:00-20:00,0,5673.9826326192597,10200.000000000004,8699.9999999999964
2025-12-21,20:00-24:00,8333.3333333333321,2966.017367380739,10200.000000000004,8699.9999999999964
