date,slot,timestamp,g0,grid,planned_cost,adjustment_cost,emergency_cost,total_cost
2025-03-20,60,2025-03-20 10:10:00,0,0,0,0,0,0
2025-03-20,72,2025-03-20 12:10:00,628.59853901033136,602.07156332404179,284.06367977876874,-5.9937701563171295,0,278.06990962245163
2025-03-20,84,2025-03-20 14:10:00,193.93117660970648,0,181.34504324773653,-90.672521623868263,57.257223978185337,147.9297456020536
2025-03-20,96,2025-03-20 16:10:00,715.29910576540647,555.00278915174522,627.10272602453188,-70.265890387598404,31.818778178325079,588.65561381525856
2025-03-20,108,2025-03-20 18:10:00,0,0,0,0,0,0
2025-03-20,120,2025-03-20 20:10:00,733.60129154279355,733.60129154279355,938.20269175407861,0,210.99740052612432,1149.2000922802029
2025-06-21,60,2025-06-21 10:10:00,0,0,0,0,0,0
2025-06-21,72,2025-06-21 12:10:00,0,0,0,0,0,0
2025-06-21,84,2025-06-21 14:10:00,0,0,0,0,0,0
2025-06-21,96,2025-06-21 16:10:00,215.24114666618129,215.24114666618129,123.63451464505454,0,0,123.63451464505454
2025-06-21,108,2025-06-21 18:10:00,308.30183714404342,308.30183714404342,348.81269854477068,0,0,348.81269854477068
2025-06-21,120,2025-06-21 20:10:00,0,0,0,0,0,0
2025-09-23,60,2025-09-23 10:10:00,0,0,0,0,0,0
2025-09-23,72,2025-09-23 12:10:00,517.06194833826567,381.03419313689716,179.98926421655028,-23.675630792798191,0,156.31363342375209
2025-09-23,84,2025-09-23 14:10:00,0,0,0,0,0,0
2025-09-23,96,2025-09-23 16:10:00,632.04265159775457,564.92815470051426,589.37977261490619,-31.292134178338298,114.25220933385212,672.33984777041996
2025-09-23,108,2025-09-23 18:10:00,0,0,0,0,0,0
2025-09-23,120,2025-09-23 20:10:00,0,0,0,0,59.454834204950942,59.454834204950942
2025-12-21,60,2025-12-21 10:10:00,0,0,0,0,0,0
2025-12-21,72,2025-12-21 12:10:00,1076.4378415181714,985.39791450219298,746.61728687700361,-31.572646689141301,0,715.04464018786234
2025-12-21,84,2025-12-21 14:10:00,0,0,0,0,0,0
2025-12-21,96,2025-12-21 16:10:00,881.06771518602636,881.06771518602636,863.44636088230584,0,0,863.44636088230584
2025-12-21,108,2025-12-21 18:10:00,742.97349074819488,733.59141284739133,962.67075196243616,-6.0781791680355814,0,956.59257279440055
2025-12-21,120,2025-12-21 20:10:00,0,0,0,0,0,0
