date,slot,timestamp,node_hour,net_kwh,load_kw,pv_kw,grid,charge_cap,discharge_cap,lag_observation,price,charge,discharge,emergency,spill,soc,g0,initial_soc
2025-08-25,36,2025-08-25 06:10:00,6,720.51705000000004,5153.5297,830.42740000000003,0,833.33333333333337,784.75987646958492,742.66874999999993,0.93679999999999997,0,720.51705000000004,0,-0,9187.5231855022976,0,9835.6146334825207
2025-08-25,37,2025-08-25 06:20:00,6,672.11294999999996,5152.3536000000004,1119.6759,0,833.33333333333337,717.46361276504945,720.51705000000004,0.87580000000000002,0,672.11294999999996,0,-0,8440.7310188356314,0,9835.6146334825207
2025-08-25,38,2025-08-25 06:30:00,6,648.56041666666658,5286.6999999999998,1395.3375000000001,0,833.33333333333337,627.49758804226587,672.11294999999996,0.87590000000000001,0,627.49758804226587,21.062828624400709,0,7743.5114765664475,0,9835.6146334825207
2025-08-25,39,2025-08-25 06:40:00,6,600.57403333333332,5273.9547000000002,1670.5105000000001,0,833.33333333333337,639.11308681419655,648.56041666666658,0.86009999999999998,0,600.57403333333332,0,-0,7076.2069950849664,0,9835.6146334825207
2025-08-25,40,2025-08-25 06:50:00,6,522.31516666666653,5067.2431999999999,1933.3522,0,833.33333333333337,618.01182945478672,600.57403333333332,0.84419999999999995,0,522.31516666666653,0,-0,6495.8568098997812,162.8442524171293,9835.6146334825207
2025-08-25,41,2025-08-25 07:00:00,6,442.48374999999999,4850.04,2195.1374999999998,0,833.33333333333337,540.64552170065349,522.31516666666653,0.83340000000000003,0,442.48374999999999,0,-0,6004.2081987886704,436.12868922963514,9835.6146334825207
2025-08-25,42,2025-08-25 07:10:00,6,399.19729999999993,4876.0373,2480.8535000000002,0,833.33333333333337,479.77402729903417,442.48374999999999,0.80920000000000003,0,399.19729999999993,0,-0,5560.6556432331154,340.94526338487856,9835.6146334825207
2025-08-25,43,2025-08-25 07:20:00,6,376.97921666666667,5017.7600000000002,2755.8847000000001,0,833.33333333333337,393.00796566171704,399.19729999999993,0.79720000000000002,0,376.97921666666667,0,-0,5141.7898469368192,339.07988599361408,9835.6146334825207
2025-08-25,44,2025-08-25 07:30:00,6,314.03083333333336,4954.7600000000002,3070.5749999999998,0,833.33333333333337,385.33408843412894,376.97921666666667,0.76439999999999997,0,314.03083333333336,0,-0,4792.8666987886709,317.82423317648227,9835.6146334825207
2025-08-25,45,2025-08-25 07:40:00,6,188.12271666666658,4641.7093999999997,3512.9731000000002,1.4732055637786695e-13,833.33333333333337,289.84990477714842,314.03083333333336,0.68989999999999996,0,188.12271666666643,0,-0,4583.8414580479302,260.97117408937385,9835.6146334825207
2025-08-25,46,2025-08-25 07:50:00,6,248.33783333333341,5418.8666000000003,3928.8395999999998,0,833.33333333333337,833.33333333333337,188.12271666666658,0.85999999999999999,0,248.33783333333341,0,-0,4307.910532122004,0,9835.6146334825207
2025-08-25,47,2025-08-25 08:00:00,6,409.92291666666671,6735.5500000000002,4276.0124999999998,0,833.33333333333337,833.33333333333337,248.33783333333341,1.1617,0,409.92291666666671,0,-0,3852.4406247145967,0,9835.6146334825207
2025-08-25,48,2025-08-25 08:10:00,6,328.94668333333323,6650.7338,4677.0537000000004,0,833.33333333333337,833.33333333333337,409.92291666666671,1.1682999999999999,0,328.94668333333323,0,-0,3486.9443098997817,0,9835.6146334825207
2025-08-25,49,2025-08-25 08:20:00,6,221.79383333333331,6539.0643,5208.3013000000001,2.8421709430404007e-14,833.33333333333337,380.23370062102708,328.94668333333323,1.0955999999999999,0,221.79383333333328,0,-0,3240.5067173071893,0,9835.6146334825207
2025-08-25,50,2025-08-25 08:30:00,6,197.59125000000009,6888.0600000000004,5702.5124999999998,0,833.33333333333337,833.33333333333337,221.79383333333331,1.0849,0,197.59125000000009,0,-0,3020.9608839738557,0,9835.6146334825207
