step,grid,charge_cap,discharge_cap,soc_reserve_kwh,role
0,751.9222200434242,833.33333333333326,833.33333333333326,3865.3827416934737,first_day_frozen
1,728.99676509036385,833.33333333333326,833.33333333333326,3870.8727701053294,first_day_frozen
2,679.04564874453399,833.33333333333326,833.33333333333326,3846.1029265265033,first_day_frozen
3,704.4193331237575,833.33333333333326,833.33333333333326,3790.2291419954649,first_day_frozen
4,725.10436575388826,833.33333333333326,833.33333333333326,3771.8550121327894,first_day_frozen
5,700.15783044513364,833.33333333333326,833.33333333333326,3776.6160557918424,first_day_frozen
6,624.72567259066159,833.33333333333326,0,3798.4499231251989,first_day_frozen
7,602.93396797645755,833.33333333333326,0,3817.8139883244648,first_day_frozen
8,591.94880018910135,833.33333333333326,0,3853.9018032323124,first_day_frozen
9,677.43283005434637,833.33333333333326,833.33333333333326,3854.575010908768,first_day_frozen
10,661.05408229462614,833.33333333333326,0,3786.7414775817001,first_day_frozen
11,629.57291249847083,833.33333333333326,0,3828.705783083728,first_day_frozen
12,626.6538652719446,833.33333333333326,0,3792.6979994689209,first_day_frozen
13,686.40808485872549,833.33333333333326,833.33333333333326,3814.6479275151801,first_day_frozen
14,670.72922822346573,833.33333333333326,833.33333333333326,3810.8878867386961,first_day_frozen
15,717.43795553628991,833.33333333333326,833.33333333333326,3810.6631594107093,first_day_frozen
16,687.26756696823463,833.33333333333326,833.33333333333326,3799.3388742226434,first_day_frozen
17,626.54852352611556,833.33333333333326,0,3779.0962954296333,first_day_frozen
18,618.84165911489868,833.33333333333326,0,3795.9391199919778,first_day_frozen
19,624.81114540285773,833.33333333333326,833.33333333333326,3766.9856564440993,first_day_frozen
20,622.32572687336108,833.33333333333326,833.33333333333326,3728.90021754604,first_day_frozen
21,633.72072391130121,833.33333333333326,833.33333333333326,3715.7692797754953,first_day_frozen
22,610.5900857042036,833.33333333333326,833.33333333333326,3704.1269662463405,first_day_frozen
23,612.4555081696941,833.33333333333326,833.33333333333326,3677.0207327914932,first_day_frozen
24,641.56108810873343,833.33333333333326,833.33333333333326,3667.5882404743147,first_day_frozen
25,640.7329971624913,833.33333333333326,833.33333333333326,3673.0945674366012,first_day_frozen
26,625.31779763727309,833.33333333333326,0,3714.9882770651107,first_day_frozen
27,607.87941406381083,833.33333333333326,833.33333333333326,3766.2000234619982,first_day_frozen
28,608.9901042976071,833.33333333333326,833.33333333333326,3756.7506839895555,first_day_frozen
29,607.27718730450079,833.33333333333326,833.33333333333326,3741.0896752686322,first_day_frozen
30,610.8512850221698,833.33333333333326,833.33333333333326,3724.3374178507797,first_day_frozen
31,640.0439257168531,833.33333333333326,0,3703.0311421001938,first_day_frozen
