date,slot,timestamp,node_hour,net_kwh,load_kw,pv_kw,grid,charge_cap,discharge_cap,lag_observation,price,charge,discharge,emergency,spill,soc,g0,initial_soc,planned_cost,adjustment_cost,emergency_cost,total_cost
2025-07-01,0,2025-07-01 00:10:00,0,819.91061666666667,4919.4637000000002,0,680.50110323483705,43.217549229994688,833.33333333333337,809.125,0.42480000000000001,0,139.40951343182962,0,-0,9788.2722246050889,680.50110323483705,9943.1716839737892,289.07686865415877,0,0,289.07686865415877
2025-07-01,1,2025-07-01 00:20:00,0,810.28528333333327,4861.7116999999998,0,668.08622547972709,758.53665036805,833.33333333333337,819.91061666666667,0.42449999999999999,0,142.19905785360618,0,-0,9630.2732714344147,668.08622547972709,9943.1716839737892,283.60260271614413,0,0,283.60260271614413
2025-07-01,2,2025-07-01 00:30:00,0,794,4764,0,650.75171420179595,794.43265993434773,833.33333333333337,810.28528333333327,0.4269,0,143.24828579820405,0,-0,9471.1085094364098,650.75171420179595,9943.1716839737892,277.80590679274667,0,0,277.80590679274667
2025-07-01,3,2025-07-01 00:40:00,0,732.45748333333324,4394.7448999999997,0,656.19403681164522,755.30472011331335,833.33333333333337,794,0.42720000000000002,0,76.263446521688024,0,-0,9386.3713466345343,656.19403681164522,9943.1716839737892,280.32609252593483,0,0,280.32609252593483
2025-07-01,4,2025-07-01 00:50:00,0,709.33126666666669,4255.9876000000004,0,664.74506305862269,66.25487190951219,63.024760440298174,732.45748333333324,0.42709999999999998,0,44.586203608044002,0,-0,9336.8311204033744,664.74506305862269,9943.1716839737892,283.91261643233776,0,0,283.91261643233776
2025-07-01,5,2025-07-01 01:00:00,0,730.03666666666663,4380.2200000000003,0,647.80361807197244,815.4414677281593,833.33333333333337,709.33126666666669,0.42849999999999999,0,82.233048594694196,0,-0,9245.4610664092688,647.80361807197244,9943.1716839737892,277.5838503438402,0,0,277.5838503438402
2025-07-01,6,2025-07-01 01:10:00,0,721.38560000000007,4328.3136000000004,0,607.05776903434912,795.44423352167303,833.33333333333337,730.03666666666663,0.43109999999999998,0,114.32783096565095,0,-0,9118.4301431141012,607.05776903434912,9943.1716839737892,261.70260423070789,0,0,261.70260423070789
2025-07-01,7,2025-07-01 01:20:00,0,731.63588333333337,4389.8153000000002,0,658.22055848083107,833.33333333333337,833.33333333333337,721.38560000000007,0.43020000000000003,0,73.415324852502295,0,-0,9036.857559944654,658.22055848083107,9943.1716839737892,283.16648425845352,0,0,283.16648425845352
2025-07-01,8,2025-07-01 01:30:00,0,769.13999999999999,4614.8400000000001,0,703.00104477629702,833.33333333333337,833.33333333333337,731.63588333333337,0.4279,0,66.138955223702965,0,-0,8963.3698319183168,703.00104477629702,9943.1716839737892,300.8141470597775,0,0,300.8141470597775
2025-07-01,9,2025-07-01 01:40:00,0,783.46183333333329,4700.7709999999997,0,660.56510345453887,792.83966325698259,833.33333333333337,769.13999999999999,0.43120000000000003,0,122.89672987879442,0,-0,8826.8179098307683,660.56510345453887,9943.1716839737892,284.83567260959717,0,0,284.83567260959717
