fixture,record,method,seconds,status,objective,lower_bound,gap,reliable,feasibility,integrality,projection,binaries,threads
jan16,outputs/q3/raw/solver_fix_20260912/jan16/highs1.json,highs1,180.06267866700364,Time limit reached,3348.742710263421,3152.5446556106144,0.058588572377175296,False,9.094947017729282e-13,0.0,0.0,3456,1
jan16,outputs/q3/raw/solver_fix_20260912/jan16/highs1_120s.json,highs1,120.06095245799224,Time limit reached,3348.742710263421,3134.0786761146865,0.06410287463734368,False,9.094947017729282e-13,0.0,0.0,3456,1
jan16,outputs/q3/raw/solver_fix_20260912/jan16/new4.json,new4,164.321995374994,Optimal,3348.742710263421,3248.31330027855,0.029990183980712914,True,9.094947017729282e-13,0.0,0.0,3456,4
jan16,outputs/q3/raw/solver_fix_20260912/jan16/new4_120s.json,new4,120.11638308300462,Time limit reached,3348.742710263421,3196.241487643002,0.045539844596906284,False,9.094947017729282e-13,0.0,0.0,3456,4
jan22,outputs/q3/raw/solver_fix_20260912/jan22/bound1.json,bound1,60.11928662499122,Time limit reached,2523.8190560910753,2342.845895148229,0.07170607595900318,False,1.8189894035458565e-12,0.0,0.0,6048,1
jan22,outputs/q3/raw/solver_fix_20260912/jan22/cut1.json,cut1,60.102598332989146,Time limit reached,2523.8190560910753,2346.836369398262,0.07012495062420461,False,1.8189894035458565e-12,0.0,0.0,6048,1
jan22,outputs/q3/raw/solver_fix_20260912/jan22/highs1.json,highs1,60.159704791003605,Time limit reached,2523.8190560910753,2342.8220426711814,0.07171552690477916,False,1.8189894035458565e-12,0.0,0.0,6048,1
jan22,outputs/q3/raw/solver_fix_20260912/jan22/highs4.json,highs4,60.15700791600102,Time limit reached,2523.8190560910753,2342.827488656557,0.0717133690696672,False,1.8189894035458565e-12,0.0,0.0,6048,4
jan22,outputs/q3/raw/solver_fix_20260912/jan22/hull1.json,hull1,60.24413266699412,Time limit reached,2523.8190560910753,2342.5456415226226,0.07182504392736114,False,1.8189894035458565e-12,0.0,0.0,6048,1
jan22,outputs/q3/raw/solver_fix_20260912/jan22/new1.json,new1,60.13032195800042,Time limit reached,2523.8190560910753,2342.187701929317,0.07196686851357377,False,1.8189894035458565e-12,0.0,1.8189894035458565e-12,6048,1
jan22,outputs/q3/raw/solver_fix_20260912/jan22/new4.json,new4,180.1068719590112,Time limit reached,2523.8190560910753,2364.5553299813087,0.06310425690993728,False,1.8189894035458565e-12,0.0,1.8189894035458565e-12,6048,4
jan22,outputs/q3/raw/solver_fix_20260912/jan22/new4_180s.json,new4,180.1068719590112,Time limit reached,2523.8190560910753,2364.5553299813087,0.06310425690993728,False,1.8189894035458565e-12,0.0,1.8189894035458565e-12,6048,4
jan22,outputs/q3/raw/solver_fix_20260912/jan22/new4_60s.json,new4,60.15166483299981,Time limit reached,2523.8190560910753,2349.384076781516,0.06911548547371958,False,1.8189894035458565e-12,0.0,1.8189894035458565e-12,6048,4
jan22,outputs/q3/raw/solver_fix_20260912/jan22/scip4.json,scip4,63.09116670899675,timelimit,2523.8190560910753,2339.0975146133032,0.0731912777312456,False,1.8189894035458565e-12,0.0,0.0,6048,4
jan22,outputs/q3/raw/solver_fix_20260912/jan22/seed1.json,seed1,60.11935558299592,Time limit reached,2523.8190560910753,2347.864536025962,0.06971756538586167,False,1.8189894035458565e-12,0.0,0.0,6048,1
