model_file,source_line,source_text,section,implementation_file,function,code_line,verification,evidence_file,acceptance
docs/1/final/第一问_MILP_边际价值强化版.md,1,# 第一问：基于混合整数线性规划的微网日前经济调度模型,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,3,## 1. 问题分析与模型定位,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,5,第一问要求根据已知的日内电价、小区负荷和光伏预测数据，在每日 0:00 制定全天计划购电与储能充放电策略，使微网在满足小区负荷需求及储能设备运行约束的同时，尽可能降低全天购电费用，并保证储能设备在 0:00 和 24:00 的储电量相同。,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,7,从物理角度看，每个时段内微网可利用的电能来源包括：,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,9,$$,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,10,\boxed{,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,11,\text{外网购电},1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,12,+,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,13,\text{光伏发电},1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,14,+,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,15,\text{储能放电},1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,16,},1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,17,$$,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,19,这些电能主要用于：,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,21,$$,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,22,\boxed{,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,23,\text{小区负荷},1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
docs/1/final/第一问_MILP_边际价值强化版.md,24,+,1,src/q1/run.py,main,27,日前全量预测、单一费用MILP与CSV可见输入输出,outputs/processed/q1/result1.csv,见当前验收报告逐项复核；符号与重复原句复用同节实现
