hour,soc_kwh
0,10328.721326350669
0.16666666666666666,10338.117385981177
0.33333333333333331,10342.340728229041
0.5,10287.79983061611
0.66666666666666663,10252.872963983493
0.83333333333333337,10273.982412927111
1,10276.031916226046
1.1666666666666667,10223.484120829098
1.3333333333333333,10126.265357186221
1.5,10066.326560309895
1.6666666666666667,10049.714616226674
1.8333333333333333,10044.291948804965
2,10060.856739646562
2.1666666666666665,10081.629145636954
2.3333333333333335,10097.502415228379
2.5,10099.727671739358
2.6666666666666665,10090.518821461183
2.8333333333333335,10080.904316209706
3,10108.700940066325
3.1666666666666665,10105.911920629565
3.3333333333333335,10073.909005902024
3.5,10020.389909176387
3.6666666666666665,9959.105442918255
3.8333333333333335,9916.961490436579
4,9883.260622602802
4.166666666666667,9871.6262340409558
4.333333333333333,9895.9432173633322
4.5,9887.747467722329
4.666666666666667,9908.5213011074866
4.833333333333333,9900.726599098427
5,9878.7599884195752
5.166666666666667,9835.2020878651419
5.333333333333333,9786.322449292109
5.5,9776.1064986757428
5.666666666666667,10519.366235288733
5.833333333333333,10520.778279174108
6,9652.5279029215126
6.166666666666667,8800.5682643232376
6.333333333333333,8011.7201346936081
6.5,7265.7525421010159
6.666666666666667,6566.8138013602756
6.833333333333333,5915.5294495084236
7,5325.327134693609
7.166666666666667,5132.8739816749439
7.333333333333333,5109.4819381260813
7.5,5042.5994261869237
7.666666666666667,5064.4159680499424
7.833333333333333,4692.662560642535
8,4150.2408013832755
8.1666666666666661,3613.7920791610532
8.3333333333333339,3126.71274582772
8.5,2669.8710791610533
8.6666666666666661,2300.2353199017944
8.8333333333333339,1991.3407273092018
9,1699.3180421240165
9.1666666666666661,1453.4471902721648
9.3333333333333339,1286.2045606425352
9.5,1200.442986568461
9.6666666666666661,1200
9.8333333333333339,1200
10,1200
10.166666666666666,1214.5878749999999
10.333333333333334,1263.8968949999999
10.5,1324.716645
10.666666666666666,1446.8584049999999
10.833333333333334,1612.3113149999999
11,1759.7763150000001
11.166666666666666,2407.7219114604468
11.333333333333334,2506.5789464604468
11.5,3181.5161981279257
11.666666666666666,3820.3789972851873
11.833333333333334,4454.7211232252994
12,5141.0133503052821
12.166666666666666,5891.0133503052821
12.333333333333334,6641.0133503052821
12.5,7391.0133503052821
12.666666666666666,8069.2668083395474
12.833333333333334,8225.0552183395466
13,8401.2182183395471
13.166666666666666,8525.4862283395469
13.333333333333334,8606.7565733395459
13.5,8692.3634483395454
13.666666666666666,8784.342653339545
13.833333333333334,8878.6561133395444
14,8956.6456133395441
14.166666666666666,8982.1653233395446
14.333333333333334,8961.5498788951008
14.5,8917.64200852473
14.666666666666666,8839.5383603765822
14.833333333333334,8699.1400085247296
15,9285.7854226696199
15.166666666666666,10006.526100666677
15.333333333333334,10031.191392198445
15.5,10048.444162408692
15.666666666666666,10066.777825489111
15.833333333333334,10062.121950927749
16,10000.691226441675
16.166666666666668,9956.2456646629689
16.333333333333332,9933.0770320135525
16.5,9921.7141682707388
16.666666666666668,9920.2903299933023
16.833333333333332,9914.65190357559
17,9919.3010029565103
17.166666666666668,9938.9237378433318
17.333333333333332,9979.856585641699
17.5,10036.686166233341
17.666666666666668,10083.389238184689
17.833333333333332,10115.689656095687
18,10120.161730610464
18.166666666666668,10121.045016328506
18.333333333333332,10108.919356011762
18.5,10125.236347496948
18.666666666666668,10135.600727360634
18.833333333333332,10100.981502168484
19,9252.9740947610771
19.166666666666668,8423.2873910573726
19.333333333333332,7629.6701688351504
19.5,6852.4886873536689
19.666666666666668,6050.4760206870023
19.833333333333332,5241.0415762425582
20,4433.9656503166325
20.166666666666668,3598.7154992240639
20.333333333333332,2821.812412007067
20.5,2041.1883379329929
20.666666666666668,1252.9944675626225
20.833333333333332,1255.3577822238021
21,1275.7764189172817
21.166666666666668,1284.6302326533705
21.333333333333332,1261.0681563249457
21.5,1240.6291224425995
21.666666666666668,1201.7971892309902
21.833333333333332,1200
22,1930.9495458062415
22.166666666666668,2671.6411487933424
22.333333333333332,2691.8767034475122
22.5,3421.292370837215
22.666666666666668,4160.6527620627567
22.833333333333332,4894.3589473059001
23,5613.2342813616569
23.166666666666668,6332.1683260188156
23.333333333333332,7066.2667566749424
23.5,7794.6032020420153
23.666666666666668,8470.5258582819843
23.833333333333332,9171.5338356715783
24,9909.019440070535
