month,planned_cost,adjustment_cost,emergency_cost,total_cost
2,1200587.3142384298,-20039.820512626586,4288.533315183342,1184836.0270409866
3,1098783.2689557327,-9499.5651411719737,9080.9415284588886,1098364.6453430196
4,927291.88614737219,-14600.186921943701,4857.1140155169769,917548.81324094546
5,918847.41181513167,-1043.8333956027216,40708.133259499336,958511.71167902835
6,1254295.7761702342,6261.6829656690006,54395.707140432743,1314953.1662763359
7,1504848.3794490185,-8130.4728141451578,74150.861197014427,1570868.7678318878
8,1246443.3919265834,-11869.025626533048,9280.1942106983261,1243854.5605107485
9,1097819.4926249713,-16467.836975804894,11950.11373236422,1093301.7693815308
10,1134986.5889478663,-27451.90066554744,5393.3611111307182,1112928.0493934497
11,1222383.8204292194,14318.014235281853,5386.0177518003493,1242087.8524163016
12,1608136.9770134492,4777.8662447805582,37563.30500195887,1650478.1482601888
