issue,target,horizon_hours,forecast_kw,date,issue_hour,actual_kw,target_hour
2025-08-25 00:00:00,2025-08-25 01:00:00,1,0,2025-08-25,0,0,1
2025-08-25 00:00:00,2025-08-25 02:00:00,2,0,2025-08-25,0,0,2
2025-08-25 00:00:00,2025-08-25 03:00:00,3,0,2025-08-25,0,0,3
2025-08-25 00:00:00,2025-08-25 04:00:00,4,0,2025-08-25,0,0,4
2025-08-25 00:00:00,2025-08-25 05:00:00,5,0,2025-08-25,0,0,5
2025-08-25 00:00:00,2025-08-25 06:00:00,6,565.85149999999999,2025-08-25,0,540.78750000000002,6
2025-08-25 00:00:00,2025-08-25 07:00:00,7,2141.1578,2025-08-25,0,2195.1374999999998,7
2025-08-25 00:00:00,2025-08-25 08:00:00,8,4102.1505999999999,2025-08-25,0,4276.0124999999998,8
2025-08-25 00:00:00,2025-08-25 09:00:00,9,5769.5900000000001,2025-08-25,0,6415.9875000000002,9
2025-08-25 00:00:00,2025-08-25 10:00:00,10,6396.5456000000004,2025-08-25,0,7630.6875,10
2025-08-25 00:00:00,2025-08-25 11:00:00,11,5894.9283999999998,2025-08-25,0,8211.9375,11
2025-08-25 00:00:00,2025-08-25 12:00:00,12,5426.9434000000001,2025-08-25,0,7708.2375000000002,12
2025-08-25 00:00:00,2025-08-25 13:00:00,13,4771.8886000000002,2025-08-25,0,7236.8999999999996,13
2025-08-25 00:00:00,2025-08-25 14:00:00,14,4883.8136999999997,2025-08-25,0,7134.7124999999996,14
2025-08-25 00:00:00,2025-08-25 15:00:00,15,4030.0998,2025-08-25,0,5556.0749999999998,15
2025-08-25 00:00:00,2025-08-25 16:00:00,16,2917.02,2025-08-25,0,3666.5625,16
2025-08-25 00:00:00,2025-08-25 17:00:00,17,2125.7849999999999,2025-08-25,0,2316.6750000000002,17
2025-08-25 00:00:00,2025-08-25 18:00:00,18,565.26679999999999,2025-08-25,0,581.88750000000005,18
2025-08-25 00:00:00,2025-08-25 19:00:00,19,0,2025-08-25,0,0,19
2025-08-25 00:00:00,2025-08-25 20:00:00,20,0,2025-08-25,0,0,20
2025-08-25 00:00:00,2025-08-25 21:00:00,21,0,2025-08-25,0,0,21
2025-08-25 00:00:00,2025-08-25 22:00:00,22,0,2025-08-25,0,0,22
2025-08-25 00:00:00,2025-08-25 23:00:00,23,0,2025-08-25,0,0,23
2025-08-25 00:00:00,2025-08-26 00:00:00,24,0,2025-08-25,0,0,24
2025-08-25 06:00:00,2025-08-25 07:00:00,1,2213.3240999999998,2025-08-25,6,2195.1374999999998,7
2025-08-25 06:00:00,2025-08-25 08:00:00,2,4315.3509000000004,2025-08-25,6,4276.0124999999998,8
2025-08-25 06:00:00,2025-08-25 09:00:00,3,6525.0977999999996,2025-08-25,6,6415.9875000000002,9
2025-08-25 06:00:00,2025-08-25 10:00:00,4,7792.2442000000001,2025-08-25,6,7630.6875,10
2025-08-25 06:00:00,2025-08-25 11:00:00,5,8479.2500999999993,2025-08-25,6,8211.9375,11
2025-08-25 06:00:00,2025-08-25 12:00:00,6,7702.5313999999998,2025-08-25,6,7708.2375000000002,12
2025-08-25 06:00:00,2025-08-25 13:00:00,7,7216.0060999999996,2025-08-25,6,7236.8999999999996,13
2025-08-25 06:00:00,2025-08-25 14:00:00,8,7156.7736000000004,2025-08-25,6,7134.7124999999996,14
2025-08-25 06:00:00,2025-08-25 15:00:00,9,5191.0892000000003,2025-08-25,6,5556.0749999999998,15
2025-08-25 06:00:00,2025-08-25 16:00:00,10,3214.9832000000001,2025-08-25,6,3666.5625,16
2025-08-25 06:00:00,2025-08-25 17:00:00,11,1976.2226000000001,2025-08-25,6,2316.6750000000002,17
2025-08-25 06:00:00,2025-08-25 18:00:00,12,504.20249999999999,2025-08-25,6,581.88750000000005,18
2025-08-25 06:00:00,2025-08-25 19:00:00,13,0,2025-08-25,6,0,19
2025-08-25 06:00:00,2025-08-25 20:00:00,14,0,2025-08-25,6,0,20
2025-08-25 06:00:00,2025-08-25 21:00:00,15,0,2025-08-25,6,0,21
2025-08-25 06:00:00,2025-08-25 22:00:00,16,0,2025-08-25,6,0,22
2025-08-25 06:00:00,2025-08-25 23:00:00,17,0,2025-08-25,6,0,23
2025-08-25 06:00:00,2025-08-26 00:00:00,18,0,2025-08-25,6,0,24
2025-08-25 12:00:00,2025-08-25 13:00:00,1,7257.7233999999999,2025-08-25,12,7236.8999999999996,13
2025-08-25 12:00:00,2025-08-25 14:00:00,2,7139.8410999999996,2025-08-25,12,7134.7124999999996,14
2025-08-25 12:00:00,2025-08-25 15:00:00,3,5526.6718000000001,2025-08-25,12,5556.0749999999998,15
2025-08-25 12:00:00,2025-08-25 16:00:00,4,3810.9438,2025-08-25,12,3666.5625,16
2025-08-25 12:00:00,2025-08-25 17:00:00,5,2404.0920999999998,2025-08-25,12,2316.6750000000002,17
2025-08-25 12:00:00,2025-08-25 18:00:00,6,604.803,2025-08-25,12,581.88750000000005,18
2025-08-25 12:00:00,2025-08-25 19:00:00,7,0,2025-08-25,12,0,19
2025-08-25 12:00:00,2025-08-25 20:00:00,8,0,2025-08-25,12,0,20
2025-08-25 12:00:00,2025-08-25 21:00:00,9,0,2025-08-25,12,0,21
2025-08-25 12:00:00,2025-08-25 22:00:00,10,0,2025-08-25,12,0,22
2025-08-25 12:00:00,2025-08-25 23:00:00,11,0,2025-08-25,12,0,23
2025-08-25 12:00:00,2025-08-26 00:00:00,12,0,2025-08-25,12,0,24
2025-08-25 18:00:00,2025-08-25 19:00:00,1,0,2025-08-25,18,0,19
2025-08-25 18:00:00,2025-08-25 20:00:00,2,0,2025-08-25,18,0,20
2025-08-25 18:00:00,2025-08-25 21:00:00,3,0,2025-08-25,18,0,21
2025-08-25 18:00:00,2025-08-25 22:00:00,4,0,2025-08-25,18,0,22
2025-08-25 18:00:00,2025-08-25 23:00:00,5,0,2025-08-25,18,0,23
2025-08-25 18:00:00,2025-08-26 00:00:00,6,0,2025-08-25,18,0,24
