issue_hour,horizon_hours,n,MAE,RMSE,Bias
0,1,333,0,0,0
0,2,333,0,0,0
0,3,333,0,0,0
0,4,333,0,0,0
0,5,333,0.011972072072072078,0.067729267851673478,-0.0066543543543543613
0,6,333,18.250539039039037,33.978587731747389,-2.5807612612612627
0,7,333,79.608719219219225,116.74722776441729,-10.68642612612611
0,8,333,196.9516294294294,257.50510792630666,-20.24474474474474
0,9,333,336.4099792792793,413.19068856193724,-35.482101201201196
0,10,333,423.05199639639636,538.43050888748985,-70.562062462462478
0,11,333,541.50005735735726,677.03585711134042,-68.463293993994
0,12,333,595.39982852852847,750.77976688551951,-77.315289789789759
0,13,333,632.38180300300291,799.23818701051493,-94.430491291291318
0,14,333,593.71170780780778,754.82698397249703,-114.8120915915916
0,15,333,507.63972582582579,641.9716692734678,-84.047217117117142
0,16,333,345.89372162162164,444.96221349279466,-84.940895795795782
0,17,333,169.11460690690694,243.91707746675183,-23.10734444444445
0,18,333,49.938791891891903,91.280764209885376,-3.6904027027027038
0,19,333,0.037287087087087084,0.18227506949926245,-0.013004204204204207
0,20,333,0,0,0
0,21,333,0,0,0
0,22,333,0,0,0
0,23,333,0,0,0
0,24,333,0,0,0
6,1,333,13.19760120120119,19.839422608797111,-1.4171219219219182
6,2,333,50.586177177177156,67.695607826020847,-4.5685045045044941
6,3,333,100.40165255255258,127.11937285858107,-6.3506237237236922
6,4,333,180.58062762762762,224.46682891953171,-9.9253495495495816
6,5,333,264.62336906906904,329.62070006317225,-11.021446546546528
6,6,333,332.05248288288288,423.38604862456305,-12.302381981981981
6,7,333,366.59113543543538,470.93084455710539,-29.496948048048083
6,8,333,366.07004954954954,461.6752464115354,-37.127499399399447
6,9,333,307.32464234234237,390.78734923191365,-16.612697597597624
6,10,333,207.84826336336334,270.9258465397761,-18.927061561561565
6,11,333,108.40339759759759,155.30111527507199,-9.9243405405405412
6,12,333,31.346287687687688,56.486507251985842,-2.4375345345345356
6,13,333,0.017542042042042044,0.10537865814097085,0.00029279279279279099
6,14,333,0,0,0
6,15,333,0,0,0
6,16,333,0,0,0
6,17,333,0,0,0
6,18,333,0,0,0
6,19,333,0,0,0
6,20,333,0,0,0
6,21,333,0,0,0
6,22,333,0,0,0
6,23,333,0.057815915915915908,0.35419526303206589,0.020400300300300295
6,24,333,77.297665765765771,152.11482066524962,-7.9703372372372403
12,1,333,63.167411111111115,80.509812525004577,6.2697690690690902
12,2,333,92.064220420420412,120.55707457703032,7.9897507507507273
12,3,333,103.49420150150148,133.2195467875506,10.204140840840838
12,4,333,92.260819219219229,120.48095756204617,4.2271765765765679
12,5,333,54.557878378378376,80.14919558529094,2.8787246246246165
12,6,333,17.406714714714713,32.615324871457133,0.54918618618618742
12,7,333,0.01418978978978979,0.077030180505492207,-0.0052210210210210158
12,8,333,0,0,0
12,9,333,0,0,0
12,10,333,0,0,0
12,11,333,0,0,0
12,12,333,0,0,0
12,13,333,0,0,0
12,14,333,0,0,0
12,15,333,0,0,0
12,16,333,0,0,0
12,17,333,0.028742942942942943,0.16767424588389457,-0.0021003003003002983
12,18,333,46.529606006006006,83.799779127904543,1.6336360360360358
12,19,333,188.12792762762766,263.81247997050644,-3.7807984984984873
12,20,333,420.61598768768772,541.23169416107703,-11.329052552552564
12,21,333,669.45132912912914,889.45436193130956,-112.33486006006005
12,22,333,882.31861591591587,1120.1339493418186,-149.17541471471475
12,23,333,1126.2197645645647,1456.7206043245033,-261.06015075075078
12,24,333,1404.9952576576577,1837.814575660092,-433.23899819819809
18,1,333,0.002156456456456457,0.012772783329955685,-0.0010885885885885866
18,2,333,0,0,0
18,3,333,0,0,0
18,4,333,0,0,0
18,5,333,0,0,0
18,6,333,0,0,0
18,7,333,0,0,0
18,8,333,0,0,0
18,9,333,0,0,0
18,10,333,0,0,0
18,11,333,0.027093993993993992,0.1583519195350041,-0.0051714714714714786
18,12,333,35.085305405405407,65.457648952393683,-4.7677978978979025
18,13,333,144.5333702702703,207.47219471827685,-19.184367867867863
18,14,333,311.48257177177175,399.21482114854393,-32.880468468468472
18,15,333,483.58864504504493,610.32382700205528,-73.873465465465429
18,16,333,669.8159744744745,844.08755136217394,-131.4573018018018
18,17,333,777.86590090090078,967.74945767869576,-196.76810630630635
18,18,333,823.55744894894883,1041.9604249793083,-146.69475525525527
18,19,333,897.67455075075065,1110.4353756153507,-191.91535735735741
18,20,333,826.730248048048,1038.8065770081917,-231.62520720720721
18,21,333,663.66779819819817,849.09433564620463,-157.26594174174176
18,22,333,439.89414444444446,566.00947692733064,-80.899496396396387
18,23,333,240.18068558558556,342.71741313004122,-44.025212912912906
18,24,333,71.346070570570575,132.54289474637059,-9.0633606606606616
