issue,target,horizon_hours,forecast_kw,date,issue_hour,actual_kw,error_kw
2025-02-01 00:00:00,2025-02-01 01:00:00,1,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 02:00:00,2,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 03:00:00,3,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 04:00:00,4,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 05:00:00,5,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 06:00:00,6,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 07:00:00,7,351.8186,2025-02-01,0,340.5,11.318600000000004
2025-02-01 00:00:00,2025-02-01 08:00:00,8,2055.0920999999998,2025-02-01,0,2004.1125,50.979599999999891
2025-02-01 00:00:00,2025-02-01 09:00:00,9,3840.8663999999999,2025-02-01,0,3731.6999999999998,109.16640000000007
2025-02-01 00:00:00,2025-02-01 10:00:00,10,5817.8346000000001,2025-02-01,0,5364.1125000000002,453.72209999999995
2025-02-01 00:00:00,2025-02-01 11:00:00,11,7046.6045999999997,2025-02-01,0,6361.6499999999996,684.95460000000003
2025-02-01 00:00:00,2025-02-01 12:00:00,12,6729.8795,2025-02-01,0,6603.9375,125.94200000000001
2025-02-01 00:00:00,2025-02-01 13:00:00,13,6041.7637999999997,2025-02-01,0,6313.3500000000004,-271.58620000000064
2025-02-01 00:00:00,2025-02-01 14:00:00,14,5020.7001,2025-02-01,0,5251.125,-230.42489999999998
2025-02-01 00:00:00,2025-02-01 15:00:00,15,3272.3773999999999,2025-02-01,0,3688.3499999999999,-415.97260000000006
2025-02-01 00:00:00,2025-02-01 16:00:00,16,1309.8671999999999,2025-02-01,0,1973.5875000000001,-663.72030000000018
2025-02-01 00:00:00,2025-02-01 17:00:00,17,275.22730000000001,2025-02-01,0,358.23750000000001,-83.010199999999998
2025-02-01 00:00:00,2025-02-01 18:00:00,18,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 19:00:00,19,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 20:00:00,20,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 21:00:00,21,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 22:00:00,22,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-01 23:00:00,23,0,2025-02-01,0,0,0
2025-02-01 00:00:00,2025-02-02 00:00:00,24,0,2025-02-01,0,0,0
2025-02-01 06:00:00,2025-02-01 07:00:00,1,346.94659999999999,2025-02-01,6,340.5,6.4465999999999894
2025-02-01 06:00:00,2025-02-01 08:00:00,2,2070.1163999999999,2025-02-01,6,2004.1125,66.003899999999931
2025-02-01 06:00:00,2025-02-01 09:00:00,3,3894.6354000000001,2025-02-01,6,3731.6999999999998,162.9354000000003
2025-02-01 06:00:00,2025-02-01 10:00:00,4,5872.2250999999997,2025-02-01,6,5364.1125000000002,508.11259999999947
2025-02-01 06:00:00,2025-02-01 11:00:00,5,6798.0513000000001,2025-02-01,6,6361.6499999999996,436.40130000000045
2025-02-01 06:00:00,2025-02-01 12:00:00,6,6974.8082999999997,2025-02-01,6,6603.9375,370.87079999999969
