date,month,weekday,series,n,mean_kw,std_kw,min_kw,max_kw,amplitude_kw,peak_first_slot,peak_tie_count,zero_points,all_zero
2025-01-01,1,3,load_kw,144,5303.5896826388889,1331.1565795844076,3289.9899999999998,7469.4947000000002,4179.5047000000004,49,1,0,False
2025-01-01,1,3,pv_kw,144,1468.7909319444443,2087.4222357992676,0,5494.7250000000004,5494.7250000000004,63,1,75,False
2025-01-01,1,3,net_load_kw,144,3834.7987506944442,1279.5643600502365,981.39500000000044,6464.5066999999999,5483.1116999999995,106,1,0,False
2025-01-02,1,4,load_kw,144,5319.0449368055552,1331.8531773607301,2919.1199999999999,7519.6198999999997,4600.4998999999998,49,1,0,False
2025-01-02,1,4,pv_kw,144,1448.8266340277778,2057.6295739976676,0,5429.3181999999997,5429.3181999999997,71,1,75,False
2025-01-02,1,4,net_load_kw,144,3870.2183027777774,1257.3544639342426,1136.5820000000003,6311.0749999999998,5174.4929999999995,102,1,0,False
2025-01-03,1,5,load_kw,144,3411.8148631944441,629.55246091393565,2453.7519000000002,4753.54,2299.7880999999998,54,1,0,False
2025-01-03,1,5,pv_kw,144,1515.7756395833335,2182.5546334716373,0,6232.0874999999996,6232.0874999999996,72,1,75,False
2025-01-03,1,5,net_load_kw,144,1896.0392236111111,1696.1716782668436,-1962.9048999999995,3777.0475000000001,5739.9524000000001,42,1,0,False
2025-01-04,1,6,load_kw,144,3412.1554194444443,610.93999479652052,2360.9499999999998,4626.107,2265.1570000000002,61,1,0,False
2025-01-04,1,6,pv_kw,144,1546.9219875000001,2243.4291783682011,0,6566.5272999999997,6566.5272999999997,73,1,75,False
2025-01-04,1,6,net_load_kw,144,1865.2334319444444,1751.7729873170003,-2454.1386000000002,3820.5825,6274.7211000000007,42,1,0,False
2025-01-05,1,7,load_kw,144,5319.7549513888889,1341.5452117251675,3237.2905000000001,7474.9983000000002,4237.7078000000001,49,1,0,False
2025-01-05,1,7,pv_kw,144,1526.6003555555556,2194.2381391371396,0,6130.3874999999998,6130.3874999999998,72,1,75,False
2025-01-05,1,7,net_load_kw,144,3793.1545958333331,1400.423194600407,266.10999999999967,6521.7748000000001,6255.6648000000005,106,1,0,False
2025-01-06,1,1,load_kw,144,5284.4454215277783,1318.8185724588736,3358.1756999999998,7428.5299999999997,4070.3543,51,1,0,False
