date,interval,timestamp,slot,weekday,weekday_name,month,load_kw,pv_kw,net_load_kw
2025-01-01,00:00-00:10,2025-01-01 00:10:00,1,3,星期三,1,3529.7296000000001,0,3529.7296000000001
2025-01-01,00:10-00:20,2025-01-01 00:20:00,2,3,星期三,1,3609.5286999999998,0,3609.5286999999998
2025-01-01,00:20-00:30,2025-01-01 00:30:00,3,3,星期三,1,3726.5599999999999,0,3726.5599999999999
2025-01-01,00:30-00:40,2025-01-01 00:40:00,4,3,星期三,1,3510.6311000000001,0,3510.6311000000001
2025-01-01,00:40-00:50,2025-01-01 00:50:00,5,3,星期三,1,3502.5625,0,3502.5625
2025-01-01,00:50-01:00,2025-01-01 01:00:00,6,3,星期三,1,3787.0100000000002,0,3787.0100000000002
2025-01-01,01:00-01:10,2025-01-01 01:10:00,7,3,星期三,1,3900.3204999999998,0,3900.3204999999998
2025-01-01,01:10-01:20,2025-01-01 01:20:00,8,3,星期三,1,3916.8375999999998,0,3916.8375999999998
2025-01-01,01:20-01:30,2025-01-01 01:30:00,9,3,星期三,1,3817.2800000000002,0,3817.2800000000002
2025-01-01,01:30-01:40,2025-01-01 01:40:00,10,3,星期三,1,3533.0136000000002,0,3533.0136000000002
2025-01-01,01:40-01:50,2025-01-01 01:50:00,11,3,星期三,1,3694.6613000000002,0,3694.6613000000002
2025-01-01,01:50-02:00,2025-01-01 02:00:00,12,3,星期三,1,4064.73,0,4064.73
2025-01-01,02:00-02:10,2025-01-01 02:10:00,13,3,星期三,1,3810.6709999999998,0,3810.6709999999998
2025-01-01,02:10-02:20,2025-01-01 02:20:00,14,3,星期三,1,3844.9495000000002,0,3844.9495000000002
2025-01-01,02:20-02:30,2025-01-01 02:30:00,15,3,星期三,1,4234.6199999999999,0,4234.6199999999999
2025-01-01,02:30-02:40,2025-01-01 02:40:00,16,3,星期三,1,4109.9754999999996,0,4109.9754999999996
2025-01-01,02:40-02:50,2025-01-01 02:50:00,17,3,星期三,1,3996.8944999999999,0,3996.8944999999999
2025-01-01,02:50-03:00,2025-01-01 03:00:00,18,3,星期三,1,4102.1899999999996,0,4102.1899999999996
2025-01-01,03:00-03:10,2025-01-01 03:10:00,19,3,星期三,1,4086.0576999999998,0,4086.0576999999998
2025-01-01,03:10-03:20,2025-01-01 03:20:00,20,3,星期三,1,4133.7626,0,4133.7626
2025-01-01,03:20-03:30,2025-01-01 03:30:00,21,3,星期三,1,4179.1800000000003,0,4179.1800000000003
2025-01-01,03:30-03:40,2025-01-01 03:40:00,22,3,星期三,1,3953.3710999999998,0,3953.3710999999998
2025-01-01,03:40-03:50,2025-01-01 03:50:00,23,3,星期三,1,3910.7496000000001,0,3910.7496000000001
2025-01-01,03:50-04:00,2025-01-01 04:00:00,24,3,星期三,1,4099.3100000000004,0,4099.3100000000004
2025-01-01,04:00-04:10,2025-01-01 04:10:00,25,3,星期三,1,4123.8622999999998,0,4123.8622999999998
2025-01-01,04:10-04:20,2025-01-01 04:20:00,26,3,星期三,1,4169.0068000000001,0,4169.0068000000001
2025-01-01,04:20-04:30,2025-01-01 04:30:00,27,3,星期三,1,4260.2399999999998,0,4260.2399999999998
2025-01-01,04:30-04:40,2025-01-01 04:40:00,28,3,星期三,1,4217.2222000000002,0,4217.2222000000002
2025-01-01,04:40-04:50,2025-01-01 04:50:00,29,3,星期三,1,4261.857,0,4261.857
2025-01-01,04:50-05:00,2025-01-01 05:00:00,30,3,星期三,1,4341.8999999999996,0,4341.8999999999996
2025-01-01,05:00-05:10,2025-01-01 05:10:00,31,3,星期三,1,4208.2208000000001,0.0020999999999999999,4208.2187000000004
2025-01-01,05:10-05:20,2025-01-01 05:20:00,32,3,星期三,1,4302.1233000000002,0,4302.1233000000002
2025-01-01,05:20-05:30,2025-01-01 05:30:00,33,3,星期三,1,4456.5900000000001,0,4456.5900000000001
2025-01-01,05:30-05:40,2025-01-01 05:40:00,34,3,星期三,1,4148.6369999999997,0.029899999999999999,4148.6070999999993
2025-01-01,05:40-05:50,2025-01-01 05:50:00,35,3,星期三,1,4498.1333000000004,0,4498.1333000000004
