slot,n,zero_points,zero_fraction
1,31,31,1
2,31,31,1
3,31,31,1
4,31,31,1
5,31,31,1
6,31,31,1
7,31,31,1
8,31,31,1
9,31,31,1
10,31,31,1
11,31,31,1
12,31,31,1
13,31,31,1
14,31,31,1
15,31,31,1
16,31,31,1
17,31,31,1
18,31,31,1
19,31,31,1
20,31,31,1
21,31,31,1
22,31,31,1
23,31,31,1
24,31,31,1
25,31,31,1
26,31,31,1
27,31,31,1
28,31,31,1
29,31,24,0.77419354838709675
30,31,31,1
31,31,24,0.77419354838709675
32,31,14,0.45161290322580644
33,31,31,1
34,31,20,0.64516129032258063
35,31,14,0.45161290322580644
36,31,31,1
37,31,18,0.58064516129032262
38,31,13,0.41935483870967744
39,31,31,1
40,31,18,0.58064516129032262
41,31,11,0.35483870967741937
42,31,0,0
43,31,0,0
44,31,0,0
45,31,0,0
46,31,0,0
47,31,0,0
48,31,0,0
49,31,0,0
50,31,0,0
51,31,0,0
52,31,0,0
53,31,0,0
54,31,0,0
55,31,0,0
56,31,0,0
57,31,0,0
58,31,0,0
59,31,0,0
60,31,0,0
61,31,0,0
62,31,0,0
63,31,0,0
64,31,0,0
65,31,0,0
66,31,0,0
67,31,0,0
68,31,0,0
69,31,0,0
70,31,0,0
71,31,0,0
72,31,0,0
73,31,0,0
74,31,0,0
75,31,0,0
76,31,0,0
77,31,0,0
78,31,0,0
79,31,0,0
80,31,0,0
81,31,0,0
82,31,0,0
83,31,0,0
84,31,0,0
85,31,0,0
86,31,0,0
87,31,0,0
88,31,0,0
89,31,0,0
90,31,0,0
91,31,0,0
92,31,0,0
93,31,0,0
94,31,0,0
95,31,0,0
96,31,0,0
97,31,0,0
98,31,0,0
99,31,0,0
100,31,0,0
101,31,0,0
102,31,0,0
103,31,11,0.35483870967741937
104,31,19,0.61290322580645162
105,31,31,1
106,31,12,0.38709677419354838
107,31,19,0.61290322580645162
108,31,31,1
109,31,12,0.38709677419354838
110,31,19,0.61290322580645162
111,31,31,1
112,31,14,0.45161290322580644
113,31,23,0.74193548387096775
114,31,31,1
115,31,24,0.77419354838709675
116,31,31,1
117,31,31,1
118,31,31,1
119,31,31,1
120,31,31,1
121,31,31,1
122,31,31,1
123,31,31,1
124,31,31,1
125,31,31,1
126,31,31,1
127,31,31,1
128,31,31,1
129,31,31,1
130,31,31,1
131,31,31,1
132,31,31,1
133,31,31,1
134,31,31,1
135,31,31,1
136,31,31,1
137,31,31,1
138,31,31,1
139,31,31,1
140,31,31,1
141,31,31,1
142,31,31,1
143,31,31,1
144,30,30,1
