scope,series,lag,lag_days,acf,pacf,n
full_year,load_kw,0,0,1,1,52560
full_year,load_kw,1,0.0069444444444444441,0.9870298835235275,0.98703764863700505,52560
full_year,load_kw,2,0.013888888888888888,0.96607465622001665,-0.31652453194479108,52560
full_year,load_kw,3,0.020833333333333332,0.95363477240578221,0.46105405704695868,52560
full_year,load_kw,4,0.027777777777777776,0.9425410795720901,-0.34617335177899017,52560
full_year,load_kw,5,0.034722222222222224,0.92931433654723627,0.30505798147877267,52560
full_year,load_kw,6,0.041666666666666664,0.91684874832012653,-0.25314829500698327,52560
full_year,load_kw,7,0.048611111111111112,0.90498326644426941,0.22098578828812651,52560
full_year,load_kw,8,0.055555555555555552,0.89304711537594295,-0.18792895220381486,52560
full_year,load_kw,9,0.0625,0.88093925884733137,0.13737611408249889,52560
full_year,load_kw,10,0.069444444444444448,0.86904260592904226,-0.09096181596835487,52560
full_year,load_kw,11,0.076388888888888895,0.8579323933258749,0.083003631611130113,52560
full_year,load_kw,12,0.083333333333333329,0.84524049334501339,-0.21475633533765437,52560
full_year,load_kw,13,0.090277777777777776,0.82858656525409435,0.02661034913269307,52560
full_year,load_kw,14,0.097222222222222224,0.81038735111134985,-0.11875972252113799,52560
full_year,load_kw,15,0.10416666666666667,0.79304269541395056,0.029118535432225857,52560
full_year,load_kw,16,0.1111111111111111,0.77585286097808048,-0.053002937955639422,52560
full_year,load_kw,17,0.11805555555555555,0.75838338370718583,0.006858912470744008,52560
full_year,load_kw,18,0.125,0.74104753612639784,-0.020870347429969183,52560
full_year,load_kw,19,0.13194444444444445,0.72394108791059308,-0.0034098132001260119,52560
full_year,load_kw,20,0.1388888888888889,0.70689219487703003,-0.015996957928381447,52560
full_year,load_kw,21,0.14583333333333334,0.68969348137566644,-0.01356116222733693,52560
full_year,load_kw,22,0.15277777777777779,0.67265125162646633,0.011202722264877608,52560
full_year,load_kw,23,0.15972222222222221,0.6561165879592713,-0.017678745760167841,52560
full_year,load_kw,24,0.16666666666666666,0.63865766772847143,-0.062112031379256992,52560
