efficiency_name,t,interval,current_price,future_price_threshold,future_max_price,future_profitable_periods,pv_surplus_kwh
main,1,00:00-00:10,0.4248,0.5244444444444444,1.3952,86,0.0
main,2,00:10-00:20,0.4245,0.524074074074074,1.3952,86,0.0
main,3,00:20-00:30,0.4269,0.527037037037037,1.3952,86,0.0
main,4,00:30-00:40,0.4272,0.5274074074074074,1.3952,86,0.0
main,5,00:40-00:50,0.4271,0.5272839506172838,1.3952,86,0.0
main,6,00:50-01:00,0.4285,0.5290123456790123,1.3952,86,0.0
main,7,01:00-01:10,0.4311,0.5322222222222222,1.3952,86,0.0
main,8,01:10-01:20,0.4302,0.5311111111111111,1.3952,86,0.0
main,9,01:20-01:30,0.4279,0.5282716049382715,1.3952,86,0.0
main,10,01:30-01:40,0.4312,0.5323456790123456,1.3952,86,0.0
main,11,01:40-01:50,0.4333,0.5349382716049382,1.3952,86,0.0
main,12,01:50-02:00,0.4311,0.5322222222222222,1.3952,86,0.0
main,13,02:00-02:10,0.4293,0.53,1.3952,86,0.0
main,14,02:10-02:20,0.4324,0.5338271604938272,1.3952,86,0.0
main,15,02:20-02:30,0.4367,0.5391358024691357,1.3952,86,0.0
main,16,02:30-02:40,0.4348,0.5367901234567901,1.3952,86,0.0
main,17,02:40-02:50,0.4335,0.5351851851851851,1.3952,86,0.0
main,18,02:50-03:00,0.4357,0.5379012345679012,1.3952,86,0.0
main,19,03:00-03:10,0.4374,0.5399999999999999,1.3952,86,0.0
main,20,03:10-03:20,0.4371,0.5396296296296296,1.3952,86,0.0
main,21,03:20-03:30,0.4356,0.5377777777777777,1.3952,86,0.0
main,22,03:30-03:40,0.4353,0.5374074074074074,1.3952,86,0.0
main,23,03:40-03:50,0.436,0.5382716049382715,1.3952,86,0.0
main,24,03:50-04:00,0.4378,0.5404938271604938,1.3952,86,0.0
main,25,04:00-04:10,0.4401,0.5433333333333333,1.3952,86,0.0
main,26,04:10-04:20,0.4389,0.5418518518518518,1.3952,86,0.0
main,27,04:20-04:30,0.4364,0.5387654320987654,1.3952,86,0.0
main,28,04:30-04:40,0.4393,0.5423456790123456,1.3952,86,0.0
main,29,04:40-04:50,0.4422,0.5459259259259258,1.3952,86,0.0
main,30,04:50-05:00,0.4395,0.5425925925925925,1.3952,86,0.0
main,31,05:00-05:10,0.4333,0.5349382716049382,1.3952,86,0.0
main,32,05:10-05:20,0.4439,0.5480246913580247,1.3952,86,0.0
main,33,05:20-05:30,0.4301,0.5309876543209876,1.3952,86,0.0
main,34,05:30-05:40,0.3713,0.45839506172839506,1.3952,92,0.0
main,35,05:40-05:50,0.5708,0.7046913580246913,1.3952,81,0.0
main,36,05:50-06:00,0.9099,1.1233333333333333,1.3952,20,0.0
main,37,06:00-06:10,0.9368,1.1565432098765431,1.3952,20,0.0
main,38,06:10-06:20,0.8758,1.0812345679012345,1.3952,23,0.0
main,39,06:20-06:30,0.8759,1.0813580246913579,1.3952,23,0.0
main,40,06:30-06:40,0.8601,1.0618518518518518,1.3952,24,0.0
main,41,06:40-06:50,0.8442,1.0422222222222222,1.3952,26,0.0
main,42,06:50-07:00,0.8334,1.028888888888889,1.3952,27,0.0
main,43,07:00-07:10,0.8092,0.9990123456790123,1.3952,30,0.0
main,44,07:10-07:20,0.7972,0.9841975308641975,1.3952,36,0.0
main,45,07:20-07:30,0.7644,0.9437037037037036,1.3952,45,0.0
main,46,07:30-07:40,0.6899,0.8517283950617283,1.3952,61,0.0
main,47,07:40-07:50,0.86,1.0617283950617282,1.3952,24,0.0
main,48,07:50-08:00,1.1617,1.4341975308641974,1.3952,0,0.0
main,49,08:00-08:10,1.1683,1.4423456790123454,1.3952,0,0.0
main,50,08:10-08:20,1.0956,1.3525925925925923,1.3952,1,0.0
main,51,08:20-08:30,1.0849,1.3393827160493825,1.3952,11,0.0
main,52,08:30-08:40,1.061,1.3098765432098765,1.3952,11,0.0
main,53,08:40-08:50,1.043,1.287654320987654,1.3952,12,0.0
main,54,08:50-09:00,1.036,1.2790123456790123,1.3952,12,0.0
main,55,09:00-09:10,1.0147,1.2527160493827159,1.3952,14,0.0
main,56,09:10-09:20,0.9922,1.2249382716049382,1.3952,17,0.0
main,57,09:20-09:30,0.97,1.1975308641975309,1.3952,18,0.0
main,58,09:30-09:40,0.9422,1.16320987654321,1.3952,18,17.42406666666659
main,59,09:40-09:50,0.9569,1.181358024691358,1.3952,18,52.83776666666654
main,60,09:50-10:00,0.9977,1.2317283950617284,1.3952,16,84.56241666666665
main,61,10:00-10:10,0.9919,1.2245679012345678,1.3952,17,116.9835833333334
main,62,10:10-10:20,0.9588,1.1837037037037037,1.3952,18,146.66060000000004
main,63,10:20-10:30,0.9549,1.1788888888888889,1.3952,18,173.52024999999992
main,64,10:30-10:40,0.9839,1.2146913580246912,1.3952,18,201.02908333333323
main,65,10:40-10:50,0.799,0.9864197530864197,1.3952,24,225.40611666666655
main,66,10:50-11:00,0.5025,0.6203703703703702,1.3952,54,244.00925000000007
main,67,11:00-11:10,0.4662,0.5755555555555555,1.3952,54,258.1624166666668
main,68,11:10-11:20,0.5007,0.6181481481481481,1.3952,54,272.6315333333332
main,69,11:20-11:30,0.4827,0.5959259259259259,1.3952,54,284.3209833333333
main,70,11:30-11:40,0.4785,0.5907407407407407,1.3952,54,289.3014666666668
main,71,11:40-11:50,0.4662,0.5755555555555555,1.3952,54,313.20881666666673
main,72,11:50-12:00,0.4432,0.5471604938271605,1.3952,55,346.9304333333333
main,73,12:00-12:10,0.4411,0.5445679012345679,1.3952,55,352.92088333333334
main,74,12:10-12:20,0.4551,0.5618518518518518,1.3952,55,348.0333333333333
main,75,12:20-12:30,0.4463,0.5509876543209876,1.3952,55,344.72636666666665
main,76,12:30-12:40,0.4113,0.5077777777777778,1.3952,55,335.0626000000001
