question,parameter,value,days,certified_days,contains_uncertified,delta_cost_pct_median,delta_cost_pct_min,delta_cost_pct_max,delta_cost_pct_n,delta_emergency_kwh_median,delta_emergency_kwh_min,delta_emergency_kwh_max,delta_emergency_kwh_n,delta_emergency_pct_median,delta_emergency_pct_min,delta_emergency_pct_max,delta_emergency_pct_n,total_cost_median,total_cost_min,total_cost_max,total_cost_n,planned_cost_median,planned_cost_min,planned_cost_max,planned_cost_n,adjustment_cost_median,adjustment_cost_min,adjustment_cost_max,adjustment_cost_n,emergency_kwh_median,emergency_kwh_min,emergency_kwh_max,emergency_kwh_n,emergency_cost_median,emergency_cost_min,emergency_cost_max,emergency_cost_n,min_soc_median,min_soc_min,min_soc_max,min_soc_n,final_soc_median,final_soc_min,final_soc_max,final_soc_n,seconds_median,seconds_min,seconds_max,seconds_n,throughput_kwh_median,throughput_kwh_min,throughput_kwh_max,throughput_kwh_n,soc_upper_fraction_median,soc_upper_fraction_min,soc_upper_fraction_max,soc_upper_fraction_n,soc_lower_fraction_median,soc_lower_fraction_min,soc_lower_fraction_max,soc_lower_fraction_n
q2,beta_R,0.80000000000000004,4,4,False,0.39851608961334484,-1.4064305235559051,6.2617669445302173,4,130.54207507420148,-25.042497290608026,1554.0579570580285,4,7.7988035066960908,-11.18461997014734,45.179945181367025,4,66880.68288345875,42910.01969516369,114398.94336305208,4,40901.117918298252,35560.122332908999,46172.292686802422,4,0,0,0,4,4460.3198453321538,20.285196444634835,13899.003053964956,4,24326.337890412928,44.181157856414671,78838.821030143095,4,1521.9204742480429,1288.9616991864223,1972.198493414958,4,7732.320124934834,6829.0651600887677,8805.6530772433998,4,17.956791354008601,3.7875433340086602,33.814434542000527,4,31190.770251251968,19856.491351559405,33638.745837645431,4,0.1076388888888889,0,0.22222222222222221,4,0,0,0,4
q2,beta_R,1,4,4,False,0,0,0,4,0,0,0,4,0,0,0,4,66381.677175227713,43522.128190536525,107657.67091259602,4,41333.133501951626,36709.129383448715,46445.673981897729,4,0,0,0,4,4345.4553917143112,13.972450822524706,12344.945096906928,4,23571.554778649745,30.43199789145881,70948.541529147289,4,1544.9946869478777,1311.2021239830278,1968.7327798575295,4,7815.5063996217787,6870.0629846513502,8799.1571470909166,4,14.21499710000171,5.9021336000005249,21.420157100001234,4,30513.502510911163,20321.430749118394,32379.772468797601,4,0.1076388888888889,0,0.22222222222222221,4,0,0,0,4
q2,beta_R,1.2,4,4,False,-0.12307286230133571,-1.053454299312627,0.25656968546191605,4,3.1563728110550358,-142.66637948789139,91.154101422800522,4,0.3691960584159924,-1.684967731827538,45.179945181367025,4,65992.68403070877,43355.90532644499,107803.85013233389,4,41342.226259323543,36634.385064429,46567.222129756716,4,0,0,0,4,4274.1222019703655,20.285196444634835,12436.099198329728,4,23022.708790801145,44.181157856414671,71169.465067904879,4,1588.9514929424404,1333.4425487796334,2032.6117701939884,4,7878.1076343875256,6858.2132588563018,8854.820858604362,4,21.322347291512415,4.6318746669858228,36.888933708978584,4,29718.723622551242,20223.664485580375,31408.297129695038,4,0.1076388888888889,0,0.22222222222222221,4,0,0,0,4
q2,rho_tail,0.10000000000000001,4,4,False,-0.73731774112592974,-2.745304185170816,7.5674811747086448,4,68.580936696243612,-35.872269525455749,1822.9064855985835,4,-6.3731631290226192,-16.021473316057559,14.766420354962289,4,66116.350172308652,42327.313383846318,115804.64489203651,4,40659.865065708684,35418.250077001365,45614.441141734016,4,0,0,0,4,4397.1055135471097,11.961811023958489,14167.851582505511,4,23799.894815451018,26.052824410181589,80386.39481503515,4,1403.4755339157837,1311.2021239830278,1784.5690375017778,4,7567.3670139542064,6902.1332356748308,8517.4673360580291,4,21.177186124987202,3.17382183400332,44.031090667005628,4,30954.13306409014,19168.181901082924,33433.146962116181,4,0.10416666666666667,0,0.20833333333333334,4,0,0,0,4
q2,rho_tail,0.20000000000000001,4,4,False,0,0,0,4,0,0,0,4,0,0,0,4,66381.677175227713,43522.128190536525,107657.67091259602,4,41333.133501951626,36709.129383448715,46445.673981897729,4,0,0,0,4,4345.4553917143112,13.972450822524706,12344.945096906928,4,23571.554778649745,30.43199789145881,70948.541529147289,4,1544.9946869478777,1311.2021239830278,1968.7327798575295,4,7815.5063996217787,6870.0629846513502,8799.1571470909166,4,14.21499710000171,5.9021336000005249,21.420157100001234,4,30513.502510911163,20321.430749118394,32379.772468797601,4,0.1076388888888889,0,0.22222222222222221,4,0,0,0,4
q2,rho_tail,0.29999999999999999,4,4,False,2.1342041804207645,-1.2957400426737695,8.3866442337359608,4,107.38459054060155,-51.852219414293245,523.52524205632471,4,-10.291394968183919,-23.752366844867876,4.2408065645224777,4,69861.600962825149,42958.194548147934,112710.68036414817,4,40946.885577880166,36408.574259001325,46395.792441028141,4,0,0,0,4,4428.5732664360585,10.653663045939879,12868.470338963252,4,27184.314599447862,23.203678114057055,76302.106105146842,4,1483.5503644484779,1311.2021239830278,1728.2505838152181,4,7890.4631475205842,6850.0501988759834,8530.3885761722522,4,34.066406166995876,29.264310749975266,38.299157000001287,4,30051.643201855048,20731.521367862842,32484.292693124353,4,0.1076388888888889,0,0.22916666666666666,4,0,0,0,4
q3,S,10,4,0,True,2.4975819883692467,-1.4449912746352136,6.1649823245039013,4,435.90705714627268,-22.655337004360263,1331.1232888560389,4,25.030204024881577,-100,121.17064985611154,4,62907.543762517613,42632.132088775761,80349.070841358509,4,43475.123636136268,41487.89360393487,57402.273981169907,4,2200.9251653388164,-4479.1751602450122,11321.235541578246,4,2439.3792816619757,0,5886.3971412503661,4,12086.011594967958,0,27539.941695845395,4,1206.5502997985136,1200,1627.2142059487892,4,8782.5949931343675,7350.6450274083481,10024.883580868387,4,47.105947582997032,36.364281332993414,51.730065542011289,4,34808.389273589288,30677.944612985266,39330.776129545447,4,0.034722222222222224,0,0.069444444444444448,4,0.048611111111111112,0,0.1111111111111111,4
q3,S,20,4,0,True,0,0,0,4,0,0,0,4,0,0,0,4,61179.104378029289,42545.513832886019,76675.125214315834,4,44477.184537053952,41952.854882816144,58660.591820442132,4,1195.6825229502469,-5057.2954524329562,12224.592278422484,4,2003.4722245157031,22.655337004360263,4555.2738523943272,4,9929.4715641381863,95.748972650663902,22497.678053077208,4,1224.4528258708765,1200,1710.6855926034459,4,8194.7233375803644,6684.4687314379426,10077.809874267907,4,46.072089541994501,36.909480917980545,51.874550501015619,4,33462.651538441365,27815.815472642989,38804.373423951474,4,0.041666666666666664,0,0.10416666666666667,4,0.045138888888888888,0,0.1111111111111111,4
q3,S,28,4,0,True,-2.3100856478850895,-5.3199790148081325,-0.11835571195787854,4,-130.65087109562688,-235.94799849322862,-1.5925083799595541,4,-6.3432968558510652,-100,-5.1796666048784417,4,60006.804897159971,40282.101425234192,76364.348469234072,4,43676.052951068283,41903.378379338894,56921.250440898635,4,1089.4301151993338,-5577.7866782533783,12439.740757161793,4,1883.3527677322768,0,4319.3258539010985,4,9710.6406621868155,0,22021.229332733379,4,1266.0936525056686,1200,2208.0260372878106,4,5335.3189992670013,3580.9604988853725,6694.4397583278405,4,57.128211728995666,41.961288833001163,60.250073875009548,4,29173.328731523834,27251.029638196862,32411.596161902817,4,0.034722222222222224,0,0.083333333333333329,4,0.045138888888888888,0,0.1111111111111111,4
q3,lambda_E,0.80000000000000004,4,2,True,-6.0531804747855489,-9.2762469437250008,-1.9050706064226983,4,2.9918853503305982,-325.78156784281919,453.16607587901217,4,1.4594387027377747,-8.2055637812975348,20.648113353217607,4,57556.450034954716,38598.886906270833,75214.409941420105,4,40990.497864524601,39045.251092453596,54825.277690638453,4,1360.6273158307479,-5047.7970018876777,12224.046184125305,4,1844.3695801346039,21.062828624400709,5008.4399282733393,4,9569.9056343791199,92.244657960562904,23945.112664841196,4,1211.2580231040306,1200,1710.6855926034459,4,1236.5144682280975,1200,1881.980930472783,4,37.050586437995662,6.9225795420061331,53.092882458004169,4,26772.04004403315,24432.92754075057,29710.062118211019,4,0.041666666666666664,0,0.090277777777777776,4,0.0625,0,0.1388888888888889,4
