date,K,M,S,initial_soc,final_soc,min_soc,planned_grid_kwh,planned_cost,emergency_cost,cost,emergency_kwh,unused_kwh,charge_kwh,discharge_kwh,tail_scenario_count,body_scenario_count,max_reserve_kwh,mean_reserve_kwh,requested_mip_gap,achieved_mip_gap,runtime_seconds,solver_status,computational_limited
2025-02-01,3,15,15,6000,8835.9387165401677,1926.3521377847228,46445.49560706364,23969.583496729665,75.906511339712907,24045.490008069377,16.200301214323531,5380.9314284188231,21843.387903366631,15140.799356840827,3,12,1509.9191717625135,747.79029722522159,0.029999999999999999,0.027127195464556449,5.3964166999976442,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-02,2,17,17,8835.9387165401677,8603.1508781546127,1605.8491231825651,88738.318876982608,56421.724065313923,0,56421.724065313923,0,6559.001421318334,21223.939790585617,17400.900284921354,3,14,1509.9191717625135,752.49075935983683,0.029999999999999999,0.022772700767091893,6.1850544000008085,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-03,2,18,18,8603.1508781546127,8498.5090218130445,1630.2596592097802,87737.738293213421,55681.333716598187,119.24201756186835,55800.575734160055,24.320542722519605,3523.2932695237009,21663.298616419241,17641.449550006997,4,14,1509.9191717625135,752.49075935983683,0.029999999999999999,0.022201637045506636,6.6127764000011666,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-04,2,19,19,8498.5090218130445,8617.9112321101329,1794.5646848355586,87534.211791772163,55489.820668552675,1621.7384685141285,57111.559137066804,351.30823846178191,2202.8173813372468,23054.614261207003,18566.775562310293,4,15,1509.9191717625135,752.49075935983683,0.029999999999999999,0.02373794493405695,6.7672096999995119,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-05,2,20,20,8617.9112321101329,8387.4580355632297,1515.930879793837,86107.299694403715,54497.063476498573,2925.6964248308054,57422.75990132938,608.00385091040812,1911.9005649861133,22433.599336246811,18378.623339252132,4,16,1343.2868392929724,657.46746171010773,0.029999999999999999,0.02139631152051447,7.1020940000016708,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-06,2,21,21,8387.4580355632297,8378.9786725227605,1694.0607103653842,86284.864098089427,54728.520935109089,0,54728.520935109089,0,1741.3531845362729,22526.763808541702,18254.310111655202,4,17,1343.2868392929724,664.48590862902927,0.029999999999999999,0.029576614592639668,7.6117138000008708,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-07,3,21,21,8378.9786725227605,8573.2473971133168,1773.876332451568,41988.081447193326,21956.645931164319,0,21956.645931164319,0,6358.3041574064455,19206.60932099327,15382.511697873048,4,17,1343.2868392929724,664.48590862902927,0.029999999999999999,0.026767423421740912,8.0045648999985133,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-08,3,22,22,8573.2473971133168,8430.6397143109061,1569.2358381201479,37475.194866042853,19622.221554459542,675.02517092071207,20297.246725380253,124.16516736869517,2638.3098685004943,18485.444014560831,15101.556566316442,4,18,1343.2868392929724,664.48590862902927,0.029999999999999999,0.025866100858837383,8.4450082000003022,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-09,2,24,24,8430.6397143109061,8185.3740846453675,1311.471887029832,83330.633561769122,52385.17920314012,2817.2622904205264,55202.441493560647,602.23675983894134,260.64813672330087,22829.185710089929,18712.379491871819,5,19,1343.2868392929724,664.48590862902927,0.029999999999999999,0.022107753470908171,9.2837464999975055,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-10,2,25,25,8185.3740846453675,8070.2414313225254,1446.9057020403641,84189.792648051152,53033.393943793155,39.501138243047194,53072.895082036201,17.983673226973451,6143.9480975219376,20214.789623228477,16477.598982805623,5,20,1123.3838901059385,575.74061482802733,0.029999999999999999,0.01886733418753498,9.7589932000009867,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-11,2,26,26,8070.2414313225254,8055.5277078348327,1308.8240191586854,83315.987923298148,52279.158411689627,444.38613333361457,52723.544545023244,91.691076949008135,4048.5298215382541,21851.549455339475,17712.997409963897,5,21,1343.2868392929724,652.59900985740558,0.029999999999999999,0.021662978476067185,10.215083399998548,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-12,2,27,27,8055.5277078348327,8024.7020846786509,1323.4303796938864,82666.207074515492,51805.041142082759,7.5265886231715626,51812.56773070593,1.2900056894908403,3237.3775739380935,22058.560177758547,17895.176804824976,5,22,1343.2868392929724,653.78310901719919,0.029999999999999999,0.021752552496613124,10.52492699999857,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-13,2,27,27,8024.7020846786509,7362.0538244090239,1413.0566508112993,80983.173675310012,50897.064256644058,193.93959250342209,51091.003849147477,36.049737793341933,6655.8695759900975,19106.622393101308,16072.747572654724,5,22,1343.2868392929724,655.99673450038745,0.029999999999999999,0.025135358312162459,9.9689121000010346,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-14,3,26,26,7362.0538244090239,7705.2812738195053,2033.8588443642839,37712.733537545122,20294.924088883312,0,20294.924088883312,0,4287.4060178466189,17445.373676644223,13821.847973612388,5,21,1343.2868392929724,655.99673450038745,0.029999999999999999,0.024115171360639676,9.885744800001703,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-15,3,26,26,7705.2812738195053,8842.1082731664028,1968.8334600650619,38795.266618502763,20765.360753820019,48.88249324824762,20814.243247068269,10.43605748254646,5106.5397522721541,17873.30275947876,13454.230935765599,5,21,1343.2868392929724,656.08917301525628,0.029999999999999999,0.023859194808962689,10.965823700000328,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-16,2,27,27,8842.1082731664028,7905.2675492560984,1301.2198731869053,77464.639549453466,48325.989507242746,7489.3422031444225,55815.331710387167,1547.7706244340634,502.61618169601098,20924.060756372648,17791.645864181126,5,22,1287.019344324136,595.17664086814887,0.029999999999999999,0.025392333872087156,11.187037100000452,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-17,2,27,27,7905.2675492560984,7951.8791386369594,1369.8377561153513,78368.472359276027,48690.364680420622,8.2647540548608855,48698.629434475486,3.8227354555323245,3218.214661995853,20675.088608559265,16704.871342490227,5,22,1287.019344324136,596.59818837237378,0.029999999999999999,0.026141993710036143,10.899217300000601,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-18,3,26,26,7951.8791386369594,8158.1372719263309,1441.0109255318873,77529.322992816364,48137.803521811045,100.31011710947283,48238.11363892052,28.013351739009295,1144.1603823535552,21769.241362673958,17447.453183805475,5,21,1287.019344324136,596.59818837237378,0.029999999999999999,0.024987012749415755,11.295506499998737,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-19,2,27,27,8158.1372719263309,8021.4481699818989,1328.7119003692762,78807.961574282963,48856.427916685599,4474.5289745363425,53330.95689122194,956.71808439702409,2829.9683417543165,21991.600659696491,17936.216726104154,5,22,1445.1654876029716,661.91560768389684,0.029999999999999999,0.024090988079644174,11.132262999999512,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-20,2,27,27,8021.4481699818989,6624.3568612701638,1443.4528224132921,75808.148591458536,47252.610411569622,2020.9242307818699,49273.534642351493,422.82089191787077,2746.8470669278367,19728.267689241107,17237.27900612586,5,22,1287.019344324136,572.15226188596318,0.029999999999999999,0.023230066418336651,9.6764531000007992,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-21,3,26,26,6624.3568612701638,6710.1837433756646,1754.6075227891529,36588.083840857733,19263.908702450841,16.98272509684999,19280.891427547689,7.9432764718662252,7802.9544305496102,16608.244523956317,13375.433870509663,5,21,1287.019344324136,572.15226188596318,0.029999999999999999,0.026044435420403449,9.9854795999999624,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-22,3,26,26,6710.1837433756646,8008.5516345626611,1477.9497040816486,36496.708342526952,18945.043186201256,1470.3855064413749,20415.428692642632,277.67010345288782,4244.8509651917484,18506.492080981378,13821.727483526622,5,21,1287.019344324136,578.15200389792255,0.029999999999999999,0.024203892935133243,10.491371899999649,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-23,2,27,27,8008.5516345626611,7858.5374607037093,1303.4914048203898,75614.618416251906,46748.22521187528,4286.0401871229151,51034.265398998192,908.8245783357462,1068.6883842740835,21357.44043922791,17434.539512247666,5,22,1287.019344324136,578.28836538757764,0.029999999999999999,0.028856413478583663,11.768841400000383,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-24,2,27,27,7858.5374607037093,7884.0919693798187,1301.2198731869053,76054.408650494355,46856.83015582621,394.23117303371555,47251.061328859927,87.54998318169541,3975.1476548705164,20740.938443844039,16777.16108170517,5,22,1398.8164681986659,635.78295813151465,0.029999999999999999,0.026595598570331152,12.027276599998004,certified_by_feasible_policy_and_global_lp_lower_bound,False
2025-02-25,2,27,27,7884.0919693798187,7886.7341122026583,1419.501515331443,75370.041930078238,46499.982286860322,362.60405248717382,46862.586339347494,73.920941649754354,5827.6071906688267,19961.339574659425,16166.307126933576,5,22,1287.019344324136,570.12627265564868,0.029999999999999999,0.025734190206260773,11.335656300001574,certified_by_feasible_policy_and_global_lp_lower_bound,False
