date,interval,planned_kwh,daily_planned_kwh,daily_planned_cost_yuan,daily_actual_cost_yuan
2025-03-20,10:00-10:10,30.767162815395139,65354.444813535098,41469.875511897961,41668.899759820633
2025-03-20,12:00-12:10,647.11905385012756,65354.444813535098,41469.875511897961,41668.899759820633
2025-03-20,14:00-14:10,0,65354.444813535098,41469.875511897961,41668.899759820633
2025-03-20,16:00-16:10,491.07565227980871,65354.444813535098,41469.875511897961,41668.899759820633
2025-03-20,18:00-18:10,678.97650161256047,65354.444813535098,41469.875511897961,41668.899759820633
2025-03-20,20:00-20:10,47.684455569998143,65354.444813535098,41469.875511897961,41668.899759820633
2025-06-21,10:00-10:10,0,45357.229030669907,27013.069481242826,27013.069481242826
2025-06-21,12:00-12:10,0,45357.229030669907,27013.069481242826,27013.069481242826
2025-06-21,14:00-14:10,0,45357.229030669907,27013.069481242826,27013.069481242826
2025-06-21,16:00-16:10,266.24358955206668,45357.229030669907,27013.069481242826,27013.069481242826
2025-06-21,18:00-18:10,489.62378949013561,45357.229030669907,27013.069481242826,27013.069481242826
2025-06-21,20:00-20:10,13.807440721463948,45357.229030669907,27013.069481242826,27013.069481242826
2025-09-23,10:00-10:10,0,68930.260723560918,44583.939950861255,44779.920652683504
2025-09-23,12:00-12:10,0,68930.260723560918,44583.939950861255,44779.920652683504
2025-09-23,14:00-14:10,0,68930.260723560918,44583.939950861255,44779.920652683504
2025-09-23,16:00-16:10,550.67934468058274,68930.260723560918,44583.939950861255,44779.920652683504
2025-09-23,18:00-18:10,751.57062015306838,68930.260723560918,44583.939950861255,44779.920652683504
2025-09-23,20:00-20:10,57.079896849728357,68930.260723560918,44583.939950861255,44779.920652683504
2025-12-21,10:00-10:10,174.60536648243502,102661.44246657795,67637.237198386458,67637.237198386458
2025-12-21,12:00-12:10,975.13908415668232,102661.44246657795,67637.237198386458,67637.237198386458
2025-12-21,14:00-14:10,6.8090485597322301,102661.44246657795,67637.237198386458,67637.237198386458
2025-12-21,16:00-16:10,882.64031048098116,102661.44246657795,67637.237198386458,67637.237198386458
2025-12-21,18:00-18:10,745.52424874733504,102661.44246657795,67637.237198386458,67637.237198386458
2025-12-21,20:00-20:10,8.1587319984920263,102661.44246657795,67637.237198386458,67637.237198386458
