date,method,actual_cost_yuan,empirical_expected_cost_yuan,emergency_kwh
2025-02-01,point_forecast,36792.250760876712,39264.624603251432,242.05835042627953
2025-02-01,conditional_empirical_mean,36911.180757034846,39793.483787988072,400.97931372816527
2025-02-01,empirical_Q80,37468.821142547873,38350.080614211249,104.64615410882897
2025-02-02,point_forecast,68057.399305052328,72722.315998389997,161.10870900285624
2025-02-02,conditional_empirical_mean,67635.243111523945,73963.562689174229,299.06543676007993
2025-02-02,empirical_Q80,69892.773184946214,71361.288930624985,69.392540600946973
2025-02-03,point_forecast,68588.373563301939,71619.974174172356,588.9920166214107
2025-02-03,conditional_empirical_mean,69259.1667778103,72962.928220672722,1017.2163652007242
2025-02-03,empirical_Q80,69188.243002006144,70436.975958032053,122.68422066293303
2025-02-04,point_forecast,72140.320196642439,71247.989211347347,1485.5094213153902
2025-02-04,conditional_empirical_mean,74175.372796888187,72606.961798941309,2240.9442972580841
2025-02-04,empirical_Q80,71537.863534533448,70156.194549255291,934.18053746452301
2025-02-05,point_forecast,69735.468209103317,70419.115529594172,1182.7495846025336
2025-02-05,conditional_empirical_mean,71433.609581154204,71759.811141251092,1822.2422316821151
2025-02-05,empirical_Q80,68975.344380290859,69339.976363863578,513.92050338747083
2025-02-06,point_forecast,69677.856838065651,70615.506988317982,1077.9695119540147
2025-02-06,conditional_empirical_mean,70820.828602320893,71925.064033280069,1605.8363911598487
2025-02-06,empirical_Q80,69122.010302514944,69530.31268019136,411.32978275985124
2025-02-07,point_forecast,36602.014762568724,38166.962630496542,317.041133295995
2025-02-07,conditional_empirical_mean,36798.055998184507,39014.71879331024,565.95859013252539
2025-02-07,empirical_Q80,36681.706229224808,37593.110277641652,82.619662170996889
2025-02-08,point_forecast,35146.206188731296,36130.5881695973,518.68020941161546
2025-02-08,conditional_empirical_mean,36173.377004286631,36952.982207572255,1026.5115938573442
2025-02-08,empirical_Q80,35191.382978517096,35593.427373681036,190.86122395880594
2025-02-09,point_forecast,71317.879662224033,68088.006138144177,2194.598793396674
2025-02-09,conditional_empirical_mean,73052.968330530333,69501.599856318921,2899.2620449441256
2025-02-09,empirical_Q80,68920.633814503875,67133.000171010193,1122.1069708483165
2025-02-10,point_forecast,65979.861722207454,68937.381132352893,618.35635896935742
2025-02-10,conditional_empirical_mean,65867.369617831544,70311.448482649255,986.41438220377381
2025-02-10,empirical_Q80,66658.393644425698,67894.945588517745,276.94078625001453
2025-02-11,point_forecast,65303.177107909527,67843.56878792707,513.97759709189199
2025-02-11,conditional_empirical_mean,65840.354942629434,69266.467507942667,995.68618161228699
2025-02-11,empirical_Q80,65984.363883685117,66870.372568102088,223.47989190783903
2025-02-12,point_forecast,66209.473731801292,67304.333107781946,828.75146579010709
2025-02-12,conditional_empirical_mean,67142.567018182395,68673.733723608675,1379.212565469219
2025-02-12,empirical_Q80,65554.759859898142,66398.160926456068,243.99796980544346
2025-02-13,point_forecast,64901.142024169872,66554.654550912877,778.0472880083089
2025-02-13,conditional_empirical_mean,64980.164796220459,67975.973368951003,1214.5837947713017
2025-02-13,empirical_Q80,65131.387390924836,65746.145918769034,357.34495539952366
2025-02-14,point_forecast,34538.102880038219,34856.004130515576,682.92530262921775
2025-02-14,conditional_empirical_mean,35512.406255358306,35652.022587213476,1197.956001635529
2025-02-14,empirical_Q80,34392.743451719551,34413.111154659804,346.45826968617121
2025-02-15,point_forecast,35375.290101950508,34273.617093237306,912.95498857191899
2025-02-15,conditional_empirical_mean,36374.598891413465,35043.650952696218,1449.1873406745171
2025-02-15,empirical_Q80,34759.175013086613,33855.93780399501,489.53136246567686
2025-02-16,point_forecast,68436.140487685887,64176.343662147985,2141.8498475695551
2025-02-16,conditional_empirical_mean,71229.153826057081,65609.942392932906,3054.1862717618569
2025-02-16,empirical_Q80,66701.694680559885,63420.226663094523,1270.8713791455089
2025-02-17,point_forecast,62489.270472903518,64215.649489473959,628.26814290164759
2025-02-17,conditional_empirical_mean,62807.016842711819,65615.47227240607,1107.0018453139492
2025-02-17,empirical_Q80,62474.978600845214,63491.183182100634,217.05453580558901
2025-02-18,point_forecast,62813.766744470711,63538.710193576466,785.54671805161297
2025-02-18,conditional_empirical_mean,64096.989063212219,64930.570266063776,1457.5569683920844
2025-02-18,empirical_Q80,62446.274555904558,62852.734768034214,342.73575470497713
2025-02-19,point_forecast,65800.893625551602,63358.409322194588,1710.8777814194277
2025-02-19,conditional_empirical_mean,69219.838815267649,64715.405952146444,2841.1388571119237
2025-02-19,empirical_Q80,64183.587299767169,62633.082371646604,934.77720412311396
2025-02-20,point_forecast,63328.684809158091,63102.739752070396,1013.8293664254181
2025-02-20,conditional_empirical_mean,64731.058536360142,64464.257302771308,1676.7909586408327
2025-02-20,empirical_Q80,62684.825845221756,62391.028730260783,492.12119082550305
2025-02-21,point_forecast,33302.364164065657,33695.739048184412,585.56819554123399
2025-02-21,conditional_empirical_mean,34170.744497392698,34369.788560907895,1057.3714938433322
2025-02-21,empirical_Q80,33139.669749642766,33246.172869746879,292.01028461342202
2025-02-22,point_forecast,33560.593260691043,33309.602789046607,724.12090129256535
2025-02-22,conditional_empirical_mean,34731.203472749214,33979.651523507207,1260.1857156732235
2025-02-22,empirical_Q80,33249.997657143002,32867.526265451641,406.21384865843703
2025-02-23,point_forecast,63873.976222564095,62220.178961418627,1317.7698586366243
2025-02-23,conditional_empirical_mean,65650.121498764085,63527.741367529998,2095.3292571700158
2025-02-23,empirical_Q80,62634.235258690911,61469.010658081555,704.47172055750889
2025-02-24,point_forecast,60962.821589023195,61930.143303595629,654.13274653370286
2025-02-24,conditional_empirical_mean,62161.513971803026,63199.260152202201,1304.0418209567927
2025-02-24,empirical_Q80,61193.519661249869,61176.307932565542,374.34631036464685
