pipeline,horizon,kind,correlation
load_week,0,within_day_lag_1,0.71260879222126183
load_week,0,within_day_lag_6,0.42194846366836042
load_week,0,within_day_lag_12,0.42193786199858907
load_week,1,within_day_lag_1,0.71242183491959099
load_week,1,within_day_lag_6,0.42152123168428712
load_week,1,within_day_lag_12,0.42148619376514151
load_week,2,within_day_lag_1,0.71214830768067405
load_week,2,within_day_lag_6,0.4209134210933736
load_week,2,within_day_lag_12,0.42077091814215206
load_lgb_1,0,within_day_lag_1,0.68433748091561741
load_lgb_1,0,within_day_lag_6,0.3817257380870272
load_lgb_1,0,within_day_lag_12,0.37457681537544707
load_lgb_1,1,within_day_lag_1,0.72345350390894891
load_lgb_1,1,within_day_lag_6,0.45505663571974275
load_lgb_1,1,within_day_lag_12,0.4434616720491098
load_lgb_1,2,within_day_lag_1,0.73475741550153073
load_lgb_1,2,within_day_lag_6,0.47829908069548965
load_lgb_1,2,within_day_lag_12,0.46454239130906472
pv_mean7,0,within_day_lag_1,0.94300995845608182
pv_mean7,0,within_day_lag_6,0.58766338592534384
pv_mean7,0,within_day_lag_12,0.35178241335387234
pv_mean7,1,within_day_lag_1,0.94496915897561828
pv_mean7,1,within_day_lag_6,0.60235052601742423
pv_mean7,1,within_day_lag_12,0.37464310964219827
pv_mean7,2,within_day_lag_1,0.94676550209903865
pv_mean7,2,within_day_lag_6,0.61558870557531231
pv_mean7,2,within_day_lag_12,0.39426228697641391
pv_dhr,0,within_day_lag_1,0.95186025445242017
pv_dhr,0,within_day_lag_6,0.61744857676455633
pv_dhr,0,within_day_lag_12,0.3874475184199826
pv_dhr,1,within_day_lag_1,0.95548263911759101
pv_dhr,1,within_day_lag_6,0.64377096439121373
pv_dhr,1,within_day_lag_12,0.42366408602178662
pv_dhr,2,within_day_lag_1,0.95867594671691359
pv_dhr,2,within_day_lag_6,0.66725743234848567
pv_dhr,2,within_day_lag_12,0.45591120456485046
load_week|pv_mean7,0,load_pv_joint,-0.00034627735390480399
load_week|pv_mean7,0,same_origin_cross_day,0.29213297556001905
load_week|pv_mean7,1,load_pv_joint,0.00017009257794588079
load_week|pv_mean7,1,same_origin_cross_day,0.31332202533520676
load_week|pv_mean7,2,load_pv_joint,0.0011492312879171841
load_week|pv_dhr,0,load_pv_joint,2.1667011612688795e-05
load_week|pv_dhr,0,same_origin_cross_day,0.34633708275982872
load_week|pv_dhr,1,load_pv_joint,0.001965353228772026
load_week|pv_dhr,1,same_origin_cross_day,0.37722724266980656
load_week|pv_dhr,2,load_pv_joint,0.0035863271948865117
load_lgb_1|pv_mean7,0,load_pv_joint,0.0045116040793904645
load_lgb_1|pv_mean7,0,same_origin_cross_day,0.29006245290040855
load_lgb_1|pv_mean7,1,load_pv_joint,0.011865129871322808
load_lgb_1|pv_mean7,1,same_origin_cross_day,0.32882026378941892
load_lgb_1|pv_mean7,2,load_pv_joint,0.014108421225066045
load_lgb_1|pv_dhr,0,load_pv_joint,0.0028288792474316835
load_lgb_1|pv_dhr,0,same_origin_cross_day,0.35257395370360622
load_lgb_1|pv_dhr,1,load_pv_joint,0.010844826485717629
load_lgb_1|pv_dhr,1,same_origin_cross_day,0.39847173537678177
load_lgb_1|pv_dhr,2,load_pv_joint,0.014292629515842223
