date,slot,timestamp,node_hour,net_kwh,load_kw,pv_kw,price,price_forecast,grid,charge_plan,discharge_plan,called,unused,charge,discharge,emergency,spill,soc,total_surplus,g0,initial_soc,planned_cost,adjustment_cost,emergency_cost,total_cost,hour_right,delta_grid_kwh
2025-07-01,0,2025-07-01 00:10:00,0,819.91061666666667,4919.4637000000002,0,0.59989999999999999,0.5038993820967218,712.46774393505098,0,0,712.46774393505098,0,0,0,107.44287273161569,0,1446.5789930275423,0,712.46774393505098,1446.5789930275423,427.40939958663705,0,322.27489675848125,749.68429634511836,0.16666666666666666,0
2025-07-01,1,2025-07-01 00:20:00,0,810.28528333333327,4861.7116999999998,0,0.58520000000000005,0.49077506913362595,728.8866506195551,0,0,728.8866506195551,0,0,0,81.39863271377817,0,1446.5789930275423,0,728.8866506195551,1446.5789930275423,426.5444679425637,0,238.17239932051493,664.7168672630786,0.33333333333333331,0
2025-07-01,2,2025-07-01 00:30:00,0,794,4764,0,0.5363,0.48081622457522299,728.59922084527818,0,0,728.59922084527818,0,0,0,65.400779154721818,0,1446.5789930275423,0,728.59922084527818,1446.5789930275423,390.74776213932267,0,175.37218930338653,566.11995144270918,0.5,0
2025-07-01,3,2025-07-01 00:40:00,0,732.45748333333324,4394.7448999999997,0,0.48909999999999998,0.48164213418611818,722.39167435341369,0,0,722.39167435341369,0,0,0,10.065808979919552,0,1446.5789930275423,0,722.39167435341369,1446.5789930275423,353.32176792625461,0,24.615935860393265,377.93770378664789,0.66666666666666663,0
2025-07-01,4,2025-07-01 00:50:00,0,709.33126666666669,4255.9876000000004,0,0.51160000000000005,0.47788658533992484,717.77958845110845,0,0,709.33126666666669,8.4483217844417595,0,0,0,0,1446.5789930275423,8.4483217844417595,717.77958845110845,1446.5789930275423,367.21603745158711,0,0,367.21603745158711,0.83333333333333337,0
2025-07-01,5,2025-07-01 01:00:00,0,730.03666666666663,4380.2200000000003,0,0.56669999999999998,0.46851258179932642,731.84379801377065,0,0,730.03666666666663,1.8071313471040185,0,0,0,0,1446.5789930275423,1.8071313471040185,731.84379801377065,1446.5789930275423,414.73588033440382,0,0,414.73588033440382,1,0
2025-07-01,6,2025-07-01 01:10:00,0,721.38560000000007,4328.3136000000004,0,0.55200000000000005,0.46719461744481228,713.72908014100358,0,0,713.72908014100358,0,0,0,7.6565198589964893,0,1446.5789930275423,0,713.72908014100358,1446.5789930275423,393.97845223783401,0,21.131994810830314,415.1104470486643,1.1666666666666667,0
2025-07-01,7,2025-07-01 01:20:00,0,731.63588333333337,4389.8153000000002,0,0.54969999999999997,0.48918842943325896,716.07183479452704,0,0,716.07183479452704,0,0,0,15.564048538806333,0,1446.5789930275423,0,716.07183479452704,1446.5789930275423,393.62468758655149,0,42.777787408909205,436.40247499546069,1.3333333333333333,0
2025-07-01,8,2025-07-01 01:30:00,0,769.13999999999999,4614.8400000000001,0,0.56610000000000005,0.50480165629059826,711.01923384505801,0,0,711.01923384505801,0,0,0,58.120766154941975,0,1446.5789930275423,0,711.01923384505801,1446.5789930275423,402.50798827968737,0,164.51082860156328,567.01881688125059,1.5,0
2025-07-01,9,2025-07-01 01:40:00,0,783.46183333333329,4700.7709999999997,0,0.52290000000000003,0.48157045478273114,686.78087327762455,0,0,686.78087327762455,0,0,0,96.680960055708738,0,1446.5789930275423,0,686.78087327762455,1446.5789930275423,359.11771863686988,0,252.77237006565051,611.89008870252042,1.6666666666666667,0
2025-07-01,10,2025-07-01 01:50:00,0,775.35488333333319,4652.1292999999996,0,0.49830000000000002,0.49357068058698805,724.97730025491921,0,0,724.97730025491921,0,0,0,50.377583078413977,0,1446.5789930275423,0,724.97730025491921,1446.5789930275423,361.25618871702625,0,125.51574823986844,486.77193695689471,1.8333333333333333,0
2025-07-01,11,2025-07-01 02:00:00,0,769.44499999999994,4616.6700000000001,0,0.53300000000000003,0.52626926124862239,757.35633422787771,0,0,757.35633422787771,0,0,0,12.088665772122226,0,1446.5789930275423,0,757.35633422787771,1446.5789930275423,403.67092614345881,0,32.216294282705732,435.88722042616456,2,0
2025-07-01,12,2025-07-01 02:10:00,0,781.2976666666666,4687.7860000000001,0,0.57699999999999996,0.49545707695024477,698.35878399198646,0,0,698.35878399198646,0,0,0,82.938882674680144,0,1446.5789930275423,0,698.35878399198646,1446.5789930275423,402.95301836337615,0,239.27867651645221,642.23169487982841,2.1666666666666665,0
2025-07-01,13,2025-07-01 02:20:00,0,753.49456666666674,4520.9674000000005,0,0.53420000000000001,0.47521421912101769,637.11693721494851,0,0,637.11693721494851,0,0,0,116.37762945171824,0,1446.5789930275423,0,637.11693721494851,1446.5789930275423,340.34786786022551,0,310.84464826553943,651.192516125765,2.3333333333333335,0
