hour,soc_kwh
0,1199.9999999999998
0.16666666666666666,1200
0.33333333333333331,1200
0.5,1200
0.66666666666666663,1200
0.83333333333333337,1200
1,1200
1.1666666666666667,1200
1.3333333333333333,1200
1.5,1200
1.6666666666666667,1200
1.8333333333333333,1200
2,1200
2.1666666666666665,1200
2.3333333333333335,1200
2.5,1200
2.6666666666666665,1200
2.8333333333333335,1200
3,1200
3.1666666666666665,1200
3.3333333333333335,1950
3.5,1950
3.6666666666666665,2550
3.8333333333333335,3300
4,3300
4.166666666666667,4050
4.333333333333333,4800
4.5,5550
4.666666666666667,6300
4.833333333333333,7050
5,7800
5.166666666666667,8550
5.333333333333333,9300
5.5,10050
5.666666666666667,10800
5.833333333333333,10800
6,10108.485658208758
6.166666666666667,9437.1222313857943
6.333333333333333,8859.20883008288
6.5,8308.9731210077753
6.666666666666667,7786.4658022548138
6.833333333333333,7786.4658022548138
7,7786.4658022548138
7.166666666666667,7786.4658022548138
7.333333333333333,7786.4658022548138
7.5,7786.4658022548138
7.666666666666667,8180.132086654
7.833333333333333,7853.3935988440498
8,7338.2156915593914
8.1666666666666661,6809.9400420904649
8.3333333333333339,6341.5124601385605
8.5,5926.0448412454316
8.6666666666666661,5527.4859157566461
8.8333333333333339,5145.7807566153688
9,4833.0879732318645
9.1666666666666661,4527.6404645668135
9.3333333333333339,4273.6213049947019
9.5,3998.3323833780223
9.6666666666666661,3710.4753848024202
9.8333333333333339,3394.6772309788594
10,3122.024185789649
10.166666666666666,2903.3750194850836
10.333333333333334,2724.3570972029029
10.5,2597.6930257060108
10.666666666666666,2471.5214312364155
10.833333333333334,2427.7459284338297
11,3177.7459284338297
11.166666666666666,3927.7459284338302
11.333333333333334,4677.7459284338302
11.5,5427.7459284338302
11.666666666666666,5564.3166509415078
11.833333333333334,5733.3420516340275
12,6483.3420516340275
12.166666666666666,7233.3420516340275
12.333333333333334,7983.3420516340275
12.5,8733.3420516340266
12.666666666666666,9483.3420516340266
12.833333333333334,9795.1136171183025
13,10065.255353225519
13.166666666666666,10338.408071889726
13.333333333333334,10566.981860608514
13.5,10707.750630098399
13.666666666666666,10772.617638600854
13.833333333333334,10800
14,10773.551761093891
14.166666666666666,10728.038804877604
14.333333333333334,10656.979742435169
14.5,10575.28236596348
14.666666666666666,10487.294076652335
14.833333333333334,10382.576362260685
15,10382.576362260685
15.166666666666666,10800
15.333333333333334,10800
15.5,10800
15.666666666666666,10800
15.833333333333334,10800
16,10800
16.166666666666668,10800
16.333333333333332,10800
16.5,10800
16.666666666666668,10800
16.833333333333332,10800
17,10800
17.166666666666668,10800
17.333333333333332,10800
17.5,10800
17.666666666666668,10800
17.833333333333332,10800
18,10800
18.166666666666668,10800
18.333333333333332,10800
18.5,10800
18.666666666666668,10800
18.833333333333332,9874.0740740740748
19,8948.1481481481478
19.166666666666668,8022.2222222222226
19.333333333333332,7096.2962962962965
19.5,6170.3703703703704
19.666666666666668,5244.4444444444443
19.833333333333332,5244.4444444444443
20,4903.7037037037035
20.166666666666668,3977.7777777777774
20.333333333333332,3051.8518518518513
20.5,2125.9259259259252
20.666666666666668,1199.9999999999995
20.833333333333332,1199.9999999999995
21,1199.9999999999995
21.166666666666668,1199.9999999999995
21.333333333333332,1199.9999999999995
21.5,1199.9999999999995
21.666666666666668,1199.9999999999995
21.833333333333332,1199.9999999999995
22,1199.9999999999995
22.166666666666668,1799.9999999999995
22.333333333333332,1799.9999999999995
22.5,1799.9999999999995
22.666666666666668,1799.9999999999995
22.833333333333332,1799.9999999999995
23,1799.9999999999995
23.166666666666668,1799.9999999999995
23.333333333333332,1799.9999999999995
23.5,1799.9999999999995
23.666666666666668,1799.9999999999995
23.833333333333332,1799.9999999999995
24,1799.9999999999995
