date,g0,grid,planned_cost,adjustment_cost,emergency_cost,total_cost,emergency,charge,discharge,spill,unused,cost_q95_component,soc_start,soc_end
2025-02-01,55820.686626325682,55820.686626325682,23588.786832063044,0,228.9226160321025,23817.709448095145,75.12372297269286,26778.627448561034,17910.68823333444,6577.566681242296,6072.1285194961556,23817.709448095145,6000,10199.999999999993
2025-02-02,93820.75695206692,93820.75695206692,66805.648569501354,0,521.55459836311024,67327.203167864471,96.405922738621598,24000.000000000007,21465,3788.3992707261523,9237.4856540793844,67327.203167864471,10199.999999999993,7950.0000000000018
2025-02-03,101689.24394746577,101689.24394746577,72483.366758477176,0,714.78322643641059,73198.149984913587,151.48651902806205,29886.824569246186,21643.327901089418,4102.0257735536425,9278.2915247834262,73198.149984913587,7950.0000000000018,10799.999999999996
2025-02-04,99271.284614830918,99271.284614830918,72654.588891812891,0,290.20809811647769,72944.796989929368,94.618890419324089,25862.298217018775,21623.461555785208,3832.4456760255644,10099.757217991115,72944.796989929368,10799.999999999996,10049.999999999996
2025-02-05,91336.955330153578,91336.955330153578,66047.228751176925,0,1433.9810251702397,67481.209776347154,366.20259383316363,23399.871124466757,20843.895610818072,2614.8470400457545,5783.9083869589822,67481.209776347154,10049.999999999996,7950.0000000000018
2025-02-06,92138.095865170282,92138.095865170282,69148.933344201054,0,494.98206687193692,69643.915411072987,160.34472359762907,20855.901131271636,22968.27991633003,3793.1096749734756,10346.652482186168,69643.915411072987,7950.0000000000018,1200
2025-02-07,59944.339389847082,59944.339389847082,24795.285880805841,0,223.24786052925751,25018.533741335097,59.949837684484123,30193.324150001958,17706.59256150158,8204.3909286624203,7507.4870437021018,25018.533741335097,1200,8700.0000000000036
2025-02-08,42520.565357751781,42520.565357751781,17467.91870575531,0,2135.1418504539247,19603.060556209235,715.38654055763038,24567.127641841354,18090,3533.9869735894804,1647.6745662119104,19603.060556209235,8700.0000000000036,10710.414877657222
2025-02-09,86679.464545256429,86679.464545256429,62999.271531167004,0,1162.835781446408,64162.107312613407,288.67731035714621,20320.839463112225,20969.253355012399,2797.0024956426123,5264.1372852044815,64162.107312613407,10710.414877657222,5700.0000000000018
2025-02-10,90757.074934520177,90757.074934520177,61670.283378947148,0,1359.1937092545968,63029.477088201747,387.21811016150525,26197.404187660082,19329.897392004674,3559.9573218562145,6390.1913438367374,63029.477088201747,5700.0000000000018,7800
2025-02-11,86785.920200493565,86785.920200493565,60988.375642801082,0,2646.3257263385935,63634.701369139664,550.57536939612783,22731.472190809927,20302.492474556038,3071.5824353268376,6615.3362849756459,63634.701369139664,7800,5700
2025-02-12,90133.593496637986,90133.593496637986,62056.662564626342,0,1352.1030663718514,63408.765630998183,302.32652448202384,25667.29378051086,20115.507962213793,3241.7473250557141,6375.650744433904,63408.765630998183,5700,6450.0000000000036
2025-02-13,78748.194511989132,78748.194511989132,54464.871891803741,0,1917.07709293172,56381.948984735463,495.49148979900849,18166.666666666661,19440.000000000004,3641.9699962611771,5545.5703221936383,56381.948984735463,6450.0000000000036,1199.9999999999982
2025-02-14,49698.384389119208,49698.384389119208,19783.989819906081,0,1122.7397385863378,20906.729558492421,416.62155186396592,27568.358082432351,16255.370046770207,6731.8829401970188,2268.3331484573473,20906.729558492421,1199.9999999999982,7950.0000000000009
2025-02-15,45848.048953217432,45848.048953217432,19368.647716370542,0,3015.6120038194636,22384.259720190006,797.76837448799813,23775.836364779701,16693.427455471556,7087.8051576936277,3195.5121607036622,22384.259720190006,7950.0000000000009,10800.000000000004
2025-02-16,80243.653769180717,80243.653769180717,58206.329932350032,0,2253.2953772944411,60459.625309644463,574.63043662233326,14313.732036763024,19019.122949778051,2398.6794385474604,7747.6165802706255,60459.625309644463,10800.000000000004,2549.9999999999964
2025-02-17,91747.925528902255,91747.925528902255,62515.14918771138,0,1198.4159347086052,63713.565122419983,287.17538994154916,25833.333333333336,19440,3800.248326180581,10657.656092663219,63713.565122419983,2549.9999999999964,4199.9999999999991
2025-02-18,79716.513620736921,79716.513620736921,53494.966891379037,0,1789.4700699677851,55284.436961346822,525.82180594386557,22495.306134216757,18896.197968715573,1672.4808322092697,2879.3586456370017,55284.436961346822,4199.9999999999991,3449.9999999999982
2025-02-19,80034.427900883369,80034.427900883369,53997.474069237753,0,2446.6318575086543,56444.105926746401,714.70666862155554,23276.127412954327,19528.663204493008,1551.7236904184119,2570.6192872918741,56444.105926746401,3449.9999999999982,2699.9999999999982
2025-02-20,82728.666192445671,82728.666192445671,56713.798321172493,0,2081.1780208117975,58794.976341984286,465.55527266784765,21986.645519810998,19159.182871046913,2952.8953785945746,6420.7297044215193,58794.976341984286,2699.9999999999982,1199.9999999999959
2025-02-21,46590.041767979594,46590.041767979594,18903.046060394012,0,1029.3612564568202,19932.407316850833,355.866918923593,29000.000000000004,16739.999999999996,7548.8110478295221,1576.8356057403334,19932.407316850833,1199.9999999999959,8700.0000000000018
2025-02-22,41527.094628583291,41527.094628583291,17427.228227587781,0,922.28498492755307,18349.513212515336,323.4965888876232,22534.497561779779,16362.943025041624,5418.6577576210348,2415.6160397783974,18349.513212515336,8700.0000000000018,10800.000000000002
2025-02-23,73810.325474808444,73810.325474808444,51411.215246056439,0,3884.5399198495902,55295.755165906026,839.26607578859284,15014.106959648874,19451.426637315592,2459.9870916205068,5095.0704533099124,55295.755165906026,10800.000000000002,2700
2025-02-24,78955.497637531022,78955.497637531022,52964.826338861101,0,2449.3376950509237,55414.164033912028,615.10598818176663,22890.981889922936,19005.167795627567,2840.1771067847635,4641.5788079660015,55414.164033912028,2700,2185.0305946777903
2025-02-25,87031.612367316615,87031.612367316615,56065.694165487919,0,1325.5766672712844,57391.270832759197,357.80396883648586,28095.024227713839,19053.497159658218,4854.3491286472099,7672.2169061169425,57391.270832759197,2185.0305946777903,6300.0000000000018
2025-02-26,74539.386299440288,74539.386299440288,49278.666440419373,0,3852.2634283519751,53130.929868771345,932.06336542349447,20977.995523344194,18207.176373908802,1573.4916933165146,2312.2907887785341,53130.929868771345,6300.0000000000018,4949.9999999999973
2025-02-27,72665.434754623479,72665.434754623479,47815.502838209148,0,1639.3230965508396,49454.825934759981,325.49194510184975,19225.146989490077,18947.36906148697,1773.9546461459718,3982.6099255762429,49454.825934759981,4949.9999999999973,1199.9999999999927
2025-02-28,39751.901453924002,39751.901453924002,16220.758747772439,0,825.80357074737253,17046.562318519813,276.42967756984592,21806.755541159946,14288.471988339556,7435.5683953852058,1781.885633288241,17046.562318519813,1199.9999999999927,4950.0000000000018
2025-03-01,49534.667854694846,49534.667854694846,19490.214477145018,0,355.92509770011009,19846.139574845125,80.765691333021948,25084.651434585867,15053.567662014559,10677.38633688472,5248.1975032385071,19846.139574845125,4950.0000000000018,10800.000000000002
2025-03-02,75551.104283901455,75551.104283901455,53616.689298723257,0,1405.5193253943721,55022.208624117629,301.32376694955769,13333.801063680894,18765.378861581528,1504.5757571616427,7421.1230249233404,55022.208624117629,10800.000000000002,1950
2025-03-03,88412.57339936019,88412.57339936019,59489.191776237887,0,2067.6981161426856,61556.889892380568,461.15662169521613,24985.548393577606,19563.294198797863,2661.9753527592634,8772.3538401830701,61556.889892380568,1950,2700
2025-03-04,82284.967929885403,82284.967929885403,52987.045969884435,0,1824.9120668754999,54811.958036759934,598.07414345654479,27046.815440859194,17992.920507095951,1256.4667619796146,3373.2224442657534,54811.958036759934,2700,7049.9999999999982
2025-03-05,79668.767641729675,79668.767641729675,51624.64921553585,0,555.83359864393833,52180.482814179792,133.63204307557419,22393.684973704225,18813.884828700422,2740.8470094160439,7351.2805137187434,52180.482814179792,7049.9999999999982,6299.9999999999982
2025-03-06,70706.942192161165,70706.942192161165,46784.980768821071,0,2529.8579220184447,49314.838690839519,661.60371411573101,17875.06148396185,19068.799802009104,2217.9056667199125,4403.7244242709021,49314.838690839519,6299.9999999999982,1199.9999999999945
2025-03-07,43840.608760397561,43840.608760397561,17776.236135433526,0,56.694630840164137,17832.930766273694,26.64209842312971,23317.677097350534,14358.435888368302,9593.0354649761193,4392.6886515290134,17832.930766273694,1199.9999999999945,6232.091733872915
2025-03-08,38040.424475829182,38040.424475829182,15250.083395733916,0,936.19885442636928,16186.282250160286,353.47308593447224,22973.462966620224,14497.387563448005,9685.3741610347133,1169.3084808900558,16186.282250160286,6232.091733872915,10800
2025-03-09,68303.412285698985,68303.412285698985,44697.693853079625,0,6036.5257198043546,50734.219572883987,1271.7472697175442,15589.360239885509,20052.381794307257,3638.153723262405,7066.5023365758834,50734.219572883987,10800,2550.0000000000073
2025-03-10,79067.708751315717,79067.708751315717,50349.039665131415,0,9577.3574501500989,59926.397115281521,2047.7070152776346,26775.686673299344,18178.306205372472,1502.2577179838154,2973.7061306826572,59926.397115281521,2550.0000000000073,6450.0000000000036
