date,interval,planned_kwh,daily_planned_kwh,daily_planned_cost_yuan,daily_actual_cost_yuan
2025-03-20,10:00-10:10,0,63007.018746728034,39291.515472047977,39729.423251504595
2025-03-20,12:00-12:10,551.1681176399685,63007.018746728034,39291.515472047977,39729.423251504595
2025-03-20,14:00-14:10,0,63007.018746728034,39291.515472047977,39729.423251504595
2025-03-20,16:00-16:10,503.09437576407402,63007.018746728034,39291.515472047977,39729.423251504595
2025-03-20,18:00-18:10,659.97537314379156,63007.018746728034,39291.515472047977,39729.423251504595
2025-03-20,20:00-20:10,0,63007.018746728034,39291.515472047977,39729.423251504595
2025-06-21,10:00-10:10,0,44317.449498553819,26084.72599385327,26127.659722897959
2025-06-21,12:00-12:10,25.698276876715425,44317.449498553819,26084.72599385327,26127.659722897959
2025-06-21,14:00-14:10,0,44317.449498553819,26084.72599385327,26127.659722897959
2025-06-21,16:00-16:10,295.74364349243962,44317.449498553819,26084.72599385327,26127.659722897959
2025-06-21,18:00-18:10,442.71548312552841,44317.449498553819,26084.72599385327,26127.659722897959
2025-06-21,20:00-20:10,5.1700344170765673,44317.449498553819,26084.72599385327,26127.659722897959
2025-09-23,10:00-10:10,0,67361.236134102248,42292.32933844185,43896.427009451712
2025-09-23,12:00-12:10,324.53331007259089,67361.236134102248,42292.32933844185,43896.427009451712
2025-09-23,14:00-14:10,0,67361.236134102248,42292.32933844185,43896.427009451712
2025-09-23,16:00-16:10,561.55089903785699,67361.236134102248,42292.32933844185,43896.427009451712
2025-09-23,18:00-18:10,725.60229950294809,67361.236134102248,42292.32933844185,43896.427009451712
2025-09-23,20:00-20:10,57.079896849728357,67361.236134102248,42292.32933844185,43896.427009451712
2025-12-21,10:00-10:10,0,97253.533776910772,62682.399325284001,62988.685469042735
2025-12-21,12:00-12:10,968.28855288004695,97253.533776910772,62682.399325284001,62988.685469042735
2025-12-21,14:00-14:10,0,97253.533776910772,62682.399325284001,62988.685469042735
2025-12-21,16:00-16:10,871.11872263212535,97253.533776910772,62682.399325284001,62988.685469042735
2025-12-21,18:00-18:10,687.10465549295191,97253.533776910772,62682.399325284001,62988.685469042735
2025-12-21,20:00-20:10,0,97253.533776910772,62682.399325284001,62988.685469042735
