date,timestamp,month,value_kw,series,form,scope
2025-01-01,2025-01-01 00:10:00,1,3529.7296000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 00:20:00,1,3609.5286999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 00:30:00,1,3726.5599999999999,load_kw,raw,initial_history
2025-01-01,2025-01-01 00:40:00,1,3510.6311000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 00:50:00,1,3502.5625,load_kw,raw,initial_history
2025-01-01,2025-01-01 01:00:00,1,3787.0100000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 01:10:00,1,3900.3204999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 01:20:00,1,3916.8375999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 01:30:00,1,3817.2800000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 01:40:00,1,3533.0136000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 01:50:00,1,3694.6613000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 02:00:00,1,4064.73,load_kw,raw,initial_history
2025-01-01,2025-01-01 02:10:00,1,3810.6709999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 02:20:00,1,3844.9495000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 02:30:00,1,4234.6199999999999,load_kw,raw,initial_history
2025-01-01,2025-01-01 02:40:00,1,4109.9754999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 02:50:00,1,3996.8944999999999,load_kw,raw,initial_history
2025-01-01,2025-01-01 03:00:00,1,4102.1899999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 03:10:00,1,4086.0576999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 03:20:00,1,4133.7626,load_kw,raw,initial_history
2025-01-01,2025-01-01 03:30:00,1,4179.1800000000003,load_kw,raw,initial_history
2025-01-01,2025-01-01 03:40:00,1,3953.3710999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 03:50:00,1,3910.7496000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 04:00:00,1,4099.3100000000004,load_kw,raw,initial_history
2025-01-01,2025-01-01 04:10:00,1,4123.8622999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 04:20:00,1,4169.0068000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 04:30:00,1,4260.2399999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 04:40:00,1,4217.2222000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 04:50:00,1,4261.857,load_kw,raw,initial_history
2025-01-01,2025-01-01 05:00:00,1,4341.8999999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 05:10:00,1,4208.2208000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 05:20:00,1,4302.1233000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 05:30:00,1,4456.5900000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 05:40:00,1,4148.6369999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 05:50:00,1,4498.1333000000004,load_kw,raw,initial_history
2025-01-01,2025-01-01 06:00:00,1,5369.3800000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 06:10:00,1,5440.8990999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 06:20:00,1,5316.893,load_kw,raw,initial_history
2025-01-01,2025-01-01 06:30:00,1,5399.8199999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 06:40:00,1,5447.4007000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 06:50:00,1,5444.4009999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 07:00:00,1,5433.6300000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 07:10:00,1,5449.2817999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 07:20:00,1,5510.0042000000003,load_kw,raw,initial_history
2025-01-01,2025-01-01 07:30:00,1,5476,load_kw,raw,initial_history
2025-01-01,2025-01-01 07:40:00,1,5329.4215000000004,load_kw,raw,initial_history
2025-01-01,2025-01-01 07:50:00,1,6084.1162999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 08:00:00,1,7316,load_kw,raw,initial_history
2025-01-01,2025-01-01 08:10:00,1,7469.4947000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 08:20:00,1,7225.6909999999998,load_kw,raw,initial_history
2025-01-01,2025-01-01 08:30:00,1,7216.1300000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 08:40:00,1,7361.7003999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 08:50:00,1,7275.5129999999999,load_kw,raw,initial_history
2025-01-01,2025-01-01 09:00:00,1,7077.29,load_kw,raw,initial_history
2025-01-01,2025-01-01 09:10:00,1,7221.8761999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 09:20:00,1,7229.5513000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 09:30:00,1,7099.3299999999999,load_kw,raw,initial_history
2025-01-01,2025-01-01 09:40:00,1,7297.1521000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 09:50:00,1,7313.1755999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 10:00:00,1,7099.46,load_kw,raw,initial_history
2025-01-01,2025-01-01 10:10:00,1,7125.5213999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 10:20:00,1,7096.3104000000003,load_kw,raw,initial_history
2025-01-01,2025-01-01 10:30:00,1,6986.1700000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 10:40:00,1,7098.9701999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 10:50:00,1,7193.9930000000004,load_kw,raw,initial_history
2025-01-01,2025-01-01 11:00:00,1,7135.1800000000003,load_kw,raw,initial_history
2025-01-01,2025-01-01 11:10:00,1,7042.9470000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 11:20:00,1,7069.1674999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 11:30:00,1,7129.1700000000001,load_kw,raw,initial_history
2025-01-01,2025-01-01 11:40:00,1,6971.0393000000004,load_kw,raw,initial_history
2025-01-01,2025-01-01 11:50:00,1,6648.4937,load_kw,raw,initial_history
2025-01-01,2025-01-01 12:00:00,1,6471.29,load_kw,raw,initial_history
2025-01-01,2025-01-01 12:10:00,1,6681.1854999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 12:20:00,1,6585.2713999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 12:30:00,1,6283.9700000000003,load_kw,raw,initial_history
2025-01-01,2025-01-01 12:40:00,1,6547.9322000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 12:50:00,1,6747.6788999999999,load_kw,raw,initial_history
2025-01-01,2025-01-01 13:00:00,1,6682.3599999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 13:10:00,1,6790.9628000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 13:20:00,1,6916.0164999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 13:30:00,1,6834.7799999999997,load_kw,raw,initial_history
2025-01-01,2025-01-01 13:40:00,1,6546.5252,load_kw,raw,initial_history
2025-01-01,2025-01-01 13:50:00,1,6539.8729999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 14:00:00,1,6773.9700000000003,load_kw,raw,initial_history
2025-01-01,2025-01-01 14:10:00,1,6736.8117000000002,load_kw,raw,initial_history
2025-01-01,2025-01-01 14:20:00,1,6623.3813,load_kw,raw,initial_history
2025-01-01,2025-01-01 14:30:00,1,6548.9799999999996,load_kw,raw,initial_history
2025-01-01,2025-01-01 14:40:00,1,6398.5627000000004,load_kw,raw,initial_history
