scope,series,form,frequency_per_day,period_days,psd_kw2_per_cycle_per_day
initial_history,load_kw,raw,0.032265292404212415,30.993055555555554,7032.9551555024591
initial_history,load_kw,raw,0.064530584808424829,15.496527777777777,72032.833455485103
initial_history,load_kw,raw,0.096795877212637244,10.331018518518517,395046.12649390305
initial_history,load_kw,raw,0.12906116961684966,7.7482638888888884,6662545.4410678968
initial_history,load_kw,raw,0.16132646202106207,6.1986111111111111,4688817.306853557
initial_history,load_kw,raw,0.19359175442527449,5.1655092592592586,706224.91922062822
initial_history,load_kw,raw,0.2258570468294869,4.4275793650793647,317095.85243445402
initial_history,load_kw,raw,0.25812233923369932,3.8741319444444442,219458.44003230304
initial_history,load_kw,raw,0.2903876316379117,3.4436728395061729,6388550.799440613
initial_history,load_kw,raw,0.32265292404212415,3.0993055555555555,264241.86992472381
initial_history,load_kw,raw,0.35491821644633659,2.8175505050505047,118317.61848224438
initial_history,load_kw,raw,0.38718350885054897,2.5827546296296293,74601.82268102371
initial_history,load_kw,raw,0.41944880125476136,2.3840811965811968,296406.40213378664
initial_history,load_kw,raw,0.4517140936589738,2.2137896825396823,258318.93348714133
initial_history,load_kw,raw,0.48397938606318625,2.0662037037037035,168280.34965698322
initial_history,load_kw,raw,0.51624467846739863,1.9370659722222221,151716.24058315114
initial_history,load_kw,raw,0.54850997087161102,1.8231209150326797,211447.54640729364
initial_history,load_kw,raw,0.58077526327582341,1.7218364197530864,176200.25856352711
initial_history,load_kw,raw,0.6130405556800359,1.6312134502923976,44417.860072326861
initial_history,load_kw,raw,0.64530584808424829,1.5496527777777778,63790.900242650314
initial_history,load_kw,raw,0.67757114048846068,1.4758597883597884,103044.43319063628
initial_history,load_kw,raw,0.70983643289267317,1.4087752525252524,2292605.6241999622
initial_history,load_kw,raw,0.74210172529688556,1.3475241545893719,54440.829261563224
initial_history,load_kw,raw,0.77436701770109795,1.2913773148148147,70248.319069999008
initial_history,load_kw,raw,0.80663231010531034,1.2397222222222222,151982.08509773109
initial_history,load_kw,raw,0.83889760250952272,1.1920405982905984,855094.50979129004
initial_history,load_kw,raw,0.87116289491373522,1.1478909465020575,1008299.5929915481
initial_history,load_kw,raw,0.90342818731794761,1.1068948412698412,62789.131449290071
initial_history,load_kw,raw,0.93569347972215999,1.0687260536398466,10129.220044873167
initial_history,load_kw,raw,0.96795877212637249,1.0331018518518518,2323.2661437961196
initial_history,load_kw,raw,1.0002240645305849,0.99977598566308234,34020013.493006915
initial_history,load_kw,raw,1.0324893569347973,0.96853298611111105,1104.9973034905076
initial_history,load_kw,raw,1.0647546493390097,0.93918350168350162,3741.763419994727
initial_history,load_kw,raw,1.097019941743222,0.91156045751633985,24964.891912621584
initial_history,load_kw,raw,1.1292852341474344,0.88551587301587309,228675.94772180248
initial_history,load_kw,raw,1.1615505265516468,0.86091820987654322,108124.85399453646
initial_history,load_kw,raw,1.1938158189558594,0.8376501501501501,10541.182869752492
