date,timestamp,slot,weekday,series,value_kw,previous_kw,following_kw,neighbor_deviation_kw,previous_day_kw,previous_week_kw,past_same_weekday_min,past_same_weekday_median,past_same_weekday_max,past_same_weekday_count,action,review_rank
2025-05-05,2025-05-05 18:00:00,108,1,load_kw,4251.5,5943.4133000000002,4576.1059999999998,-1008.25965,4705,4344.7700000000004,4031.2800000000002,4270.5699999999997,4555.2700000000004,17,retain_review_only,1
2025-06-19,2025-06-19 18:00:00,108,4,load_kw,4852.6999999999998,6558.7181,4992.7178999999996,-923.01800000000003,5270.8400000000001,5208.7299999999996,4094.1199999999999,4363.7150000000001,5213.2399999999998,24,retain_review_only,2
2025-08-13,2025-08-13 18:00:00,108,3,load_kw,5471.3699999999999,7151.5529999999999,5589.2901000000002,-899.05155000000013,5726.9499999999998,5709.79,3981.1100000000001,4406.9349999999995,5726.1400000000003,32,retain_review_only,3
2025-08-07,2025-08-07 08:00:00,48,4,load_kw,7193.7399999999998,5718.6013999999996,6894.6770999999999,887.10074999999961,6844.9300000000003,6732.6400000000003,6374.7200000000003,6779.6800000000003,7452.8699999999999,31,retain_review_only,4
2025-09-01,2025-09-01 18:00:00,108,1,load_kw,4352.6300000000001,5745.1719000000003,4587.3149000000003,-813.61340000000018,5316.46,5533.4700000000003,4031.2800000000002,4509.6700000000001,6155.9300000000003,34,retain_review_only,5
2025-08-27,2025-08-27 08:00:00,48,3,load_kw,6882,5323.2587000000003,6817.4938000000002,811.62374999999975,6803.9700000000003,6483.3599999999997,6344.3599999999997,6716.7299999999996,7501.3100000000004,34,retain_review_only,6
2025-03-30,2025-03-30 18:00:00,108,7,load_kw,4033.7800000000002,5523.8500999999997,4156.6135000000004,-806.45179999999937,2520.4899999999998,4431.5299999999997,4082.2600000000002,4365.3000000000002,4546.1899999999996,12,retain_review_only,7
2025-09-18,2025-09-18 22:00:00,132,4,load_kw,3341.3400000000001,4675.2246999999998,3620.3314,-806.43804999999975,3628.5,3548.8499999999999,3041.04,3566.1700000000001,5134.2700000000004,37,retain_review_only,8
2025-07-23,2025-07-23 08:00:00,48,3,load_kw,7218.6400000000003,5805.3217000000004,7020.2838000000002,805.83724999999959,6900.9499999999998,6736.79,6344.3599999999997,6696.6700000000001,7501.3100000000004,29,retain_review_only,9
2025-07-30,2025-07-30 18:00:00,108,3,load_kw,5544.5500000000002,6837.3612999999996,5862.8882000000003,-805.57474999999977,5677.3400000000001,5706.3299999999999,3981.1100000000001,4402.0100000000002,5726.1400000000003,30,retain_review_only,10
2025-08-17,2025-08-17 08:00:00,48,7,load_kw,6819.8199999999997,5453.0433999999996,6592.6274999999996,796.98455000000013,3477.5300000000002,6792.3299999999999,6370.25,6711.21,7436.3199999999997,32,retain_review_only,11
2025-03-05,2025-03-05 18:00:00,108,3,load_kw,3981.1100000000001,5474.5643,4077.6563999999998,-795.0003499999998,4117.1199999999999,4268.6899999999996,4229.8100000000004,4268.6899999999996,4529.4499999999998,9,retain_review_only,12
2025-07-03,2025-07-03 08:00:00,48,4,load_kw,7452.8699999999999,5932.6025,7387.8064999999997,792.66550000000007,7043.1999999999998,6600.6099999999997,6374.7200000000003,6742.29,7344.9899999999998,26,retain_review_only,13
2025-09-03,2025-09-03 18:00:00,108,3,load_kw,4568.0799999999999,5859.8307000000004,4841.3050999999996,-782.48790000000008,4797.0600000000004,5463.0299999999997,3981.1100000000001,4529.4499999999998,5941.9799999999996,35,retain_review_only,14
2025-01-19,2025-01-19 08:00:00,48,7,load_kw,7413.6199999999999,6017.4264000000003,7246.1558999999997,781.82884999999987,3786.4000000000001,7178.1700000000001,7178.1700000000001,7307.2449999999999,7436.3199999999997,2,retain_review_only,15
2025-08-18,2025-08-18 08:00:00,48,1,load_kw,6911.6099999999997,5573.3001999999997,6705.1589999999997,772.38040000000001,6819.8199999999997,6825.7200000000003,6389.1300000000001,6657.1550000000007,7360.1800000000003,32,retain_review_only,16
2025-09-17,2025-09-17 18:00:00,108,3,load_kw,4356.7600000000002,5755.1812,4495.3882999999996,-768.52474999999959,4835.0799999999999,4727.6000000000004,3981.1100000000001,4568.0799999999999,5941.9799999999996,37,retain_review_only,17
2025-03-13,2025-03-13 08:00:00,48,4,load_kw,6755.9700000000003,5430.5740999999998,6545.8122000000003,767.77685000000019,6696.6700000000001,6597.1300000000001,6597.1300000000001,7172.2449999999999,7344.9899999999998,10,retain_review_only,18
2025-07-09,2025-07-09 18:00:00,108,3,load_kw,5726.1400000000003,7078.9615000000003,5898.5625,-762.6220000000003,5603.5600000000004,5606.54,3981.1100000000001,4374.3400000000001,5606.54,27,retain_review_only,19
2025-08-21,2025-08-21 18:00:00,108,4,load_kw,5616.1599999999999,6889.8977000000004,5862.4188999999997,-759.9983000000002,5941.9799999999996,5805.6800000000003,4094.1199999999999,4586.1300000000001,6138.2600000000002,33,retain_review_only,20
2025-07-15,2025-07-15 08:00:00,48,2,load_kw,7218.5500000000002,5869.6750000000002,7047.8684999999996,759.7782500000003,6847.71,6689.1800000000003,6307.9899999999998,6627.8900000000003,7434.6000000000004,27,retain_review_only,21
2025-07-02,2025-07-02 08:00:00,48,3,load_kw,7043.1999999999998,5742.4705999999996,6826.6291000000001,758.65015000000039,6998.2600000000002,6550.1000000000004,6344.3599999999997,6665.6149999999998,7501.3100000000004,26,retain_review_only,22
2025-10-20,2025-10-20 08:00:00,48,1,load_kw,6701.0600000000004,5334.8407999999999,6560.0603000000001,753.60945000000083,6547.2399999999998,6526.2700000000004,6389.1300000000001,6651.2200000000003,7360.1800000000003,41,retain_review_only,23
2025-10-19,2025-10-19 18:00:00,108,7,load_kw,4110.1899999999996,5441.0522000000001,4279.6674000000003,-750.16980000000058,2674.9899999999998,4214.8900000000003,4033.7800000000002,4565.1099999999997,5841.0100000000002,41,retain_review_only,24
2025-12-15,2025-12-15 18:00:00,108,1,load_kw,4088.3400000000001,5585.1675999999998,4090.279,-749.38329999999951,4303.3299999999999,4219.6899999999996,4031.2800000000002,4401.8299999999999,6155.9300000000003,49,retain_review_only,25
2025-01-28,2025-01-28 08:00:00,48,2,load_kw,7434.6000000000004,6039.7811000000002,7344.1121000000003,742.65340000000015,7202.1000000000004,7286.9700000000003,7286.9700000000003,7323.54,7427.0299999999997,3,retain_review_only,26
2025-04-09,2025-04-09 08:00:00,48,3,load_kw,6736.9899999999998,5344.8996999999999,6644.6723000000002,742.20399999999972,6307.9899999999998,6492.1099999999997,6480.3699999999999,6969.4400000000005,7501.3100000000004,14,retain_review_only,27
2025-08-13,2025-08-13 17:40:00,106,3,load_kw,7936.3950999999997,7241.9099999999999,7151.5529999999999,739.66359999999986,7648.5156999999999,7676.3702000000003,6108.9557999999997,6394.6175499999999,7978.8849,32,retain_review_only,28
2025-05-05,2025-05-05 17:40:00,106,1,load_kw,6978.6701999999996,6543.25,5943.4133000000002,735.33854999999949,6459.7267000000002,6245.6130000000003,6128.1804000000002,6295.1449000000002,6485.2572,17,retain_review_only,29
2025-07-17,2025-07-17 08:00:00,48,4,load_kw,6998.5600000000004,5728.4654,6801.5374000000002,733.5586000000003,6736.79,6811.5200000000004,6374.7200000000003,6767.8250000000007,7452.8699999999999,28,retain_review_only,30
2025-06-04,2025-06-04 18:00:00,108,3,load_kw,5027.0500000000002,6431.2340999999997,5077.1180999999997,-727.1260999999995,5318.1000000000004,4595,3981.1100000000001,4320.9399999999996,4747.71,22,retain_review_only,31
2025-04-03,2025-04-03 08:00:00,48,4,load_kw,6728.6099999999997,5366.0635000000002,6646.2541000000001,722.45119999999952,6492.1099999999997,6779.6800000000003,6405.5900000000001,7049.6499999999996,7344.9899999999998,13,retain_review_only,32
2025-09-23,2025-09-23 18:00:00,108,2,load_kw,4515.8699999999999,5886.4358000000002,4585.9790999999996,-720.33744999999999,4690.3199999999997,4835.0799999999999,4117.1199999999999,4652.3599999999997,5841.4300000000003,37,retain_review_only,33
2025-06-30,2025-06-30 18:00:00,108,1,load_kw,4950.0799999999999,6256.0798999999997,5083.2869000000001,-719.60339999999997,4783.6800000000003,5130.8100000000004,4031.2800000000002,4330.0500000000002,5329.6700000000001,25,retain_review_only,34
2025-12-23,2025-12-23 08:00:00,48,2,load_kw,7198.9300000000003,5823.1412,7136.9137000000001,718.9025500000007,6970.5299999999997,7294.4200000000001,6307.9899999999998,6687.3600000000006,7434.6000000000004,50,retain_review_only,35
2025-01-20,2025-01-20 18:00:00,108,1,load_kw,4234.6400000000003,5616.9772000000003,4287.1208999999999,-717.4090499999993,4470.7799999999997,4424.2799999999997,4424.2799999999997,4489.7749999999996,4555.2700000000004,2,retain_review_only,36
