scope,series,form,frequency_per_day,period_days,psd_kw2_per_cycle_per_day
full_year,load_kw,raw,0.0027397260273972603,365,8697159.3050814718
full_year,load_kw,raw,0.0054794520547945206,182.5,18767803.290964928
full_year,load_kw,raw,0.0082191780821917818,121.66666666666666,1259706.7131953405
full_year,load_kw,raw,0.010958904109589041,91.25,590567.20510346524
full_year,load_kw,raw,0.013698630136986301,73,112409.13211684824
full_year,load_kw,raw,0.016438356164383564,60.833333333333329,1827.0007360538959
full_year,load_kw,raw,0.019178082191780823,52.142857142857139,77732.399218946157
full_year,load_kw,raw,0.021917808219178082,45.625,134546.65609031453
full_year,load_kw,raw,0.024657534246575342,40.555555555555557,163119.50377987974
full_year,load_kw,raw,0.027397260273972601,36.5,670116.85110636556
full_year,load_kw,raw,0.030136986301369864,33.18181818181818,90950.28248400538
full_year,load_kw,raw,0.032876712328767127,30.416666666666664,64020.928221163369
full_year,load_kw,raw,0.035616438356164383,28.076923076923077,72223.917300036526
full_year,load_kw,raw,0.038356164383561646,26.071428571428569,464922.15299095068
full_year,load_kw,raw,0.041095890410958902,24.333333333333336,59013.12540299385
full_year,load_kw,raw,0.043835616438356165,22.8125,39500.294498698895
full_year,load_kw,raw,0.046575342465753428,21.470588235294116,5516.8822539287548
full_year,load_kw,raw,0.049315068493150684,20.277777777777779,1795.6942335305316
full_year,load_kw,raw,0.052054794520547946,19.210526315789473,17716.189880710182
full_year,load_kw,raw,0.054794520547945202,18.25,18276.64224277754
full_year,load_kw,raw,0.057534246575342465,17.38095238095238,26659.120663348724
full_year,load_kw,raw,0.060273972602739728,16.59090909090909,108257.1885908969
full_year,load_kw,raw,0.063013698630136991,15.869565217391303,16744.78672823438
full_year,load_kw,raw,0.065753424657534254,15.208333333333332,33256.240750371202
full_year,load_kw,raw,0.068493150684931503,14.600000000000001,17571.397417765802
full_year,load_kw,raw,0.071232876712328766,14.038461538461538,168820.7887553545
full_year,load_kw,raw,0.073972602739726029,13.518518518518519,17533.595359889659
full_year,load_kw,raw,0.076712328767123292,13.035714285714285,15411.98544091278
full_year,load_kw,raw,0.079452054794520555,12.586206896551722,7234.6465521518967
full_year,load_kw,raw,0.082191780821917804,12.166666666666668,7327.1312509341988
full_year,load_kw,raw,0.084931506849315067,11.774193548387098,4541.5059230521756
full_year,load_kw,raw,0.087671232876712329,11.40625,11428.369929969112
full_year,load_kw,raw,0.090410958904109592,11.060606060606061,12466.151731707523
full_year,load_kw,raw,0.093150684931506855,10.735294117647058,24027.434430447007
full_year,load_kw,raw,0.095890410958904104,10.428571428571429,12795.564820728028
full_year,load_kw,raw,0.098630136986301367,10.138888888888889,35563.77462244725
full_year,load_kw,raw,0.10136986301369863,9.8648648648648649,7619.7317677718002
full_year,load_kw,raw,0.10410958904109589,9.6052631578947363,82926.29981448561
full_year,load_kw,raw,0.10684931506849316,9.3589743589743577,33265.959867707883
full_year,load_kw,raw,0.1095890410958904,9.125,18371.166747559611
