origin,horizon,M,S,mean_net_kwh,mean_timewise_variance_kwh2,full_Q80_mean_kwh,reduced_Q80_mean_kwh,full_Q90_mean_kwh,reduced_Q90_mean_kwh,positive_Q90_tail_underestimate_kwh,expected_objective_yuan_all_horizons
2025-02-01,0,16,16,265.2434229228586,1675.9607285113195,293.92303743904171,293.92303743904171,312.57420578873217,312.57420578873217,0,77760.129554534811
2025-02-01,1,16,16,577.15690693868623,1625.4595767117712,604.83202126940398,604.83202126940398,625.1019566736752,625.1019566736752,0,77760.129554534811
2025-02-02,0,17,17,576.9361906542614,1664.338080641613,606.87474297501899,606.87474297501899,625.11247430324261,625.11247430324261,0,111178.57733757887
2025-02-02,1,17,17,571.61078976358476,1619.5518048915733,600.98894070626682,600.98894070626682,621.30316017044913,621.30316017044913,0,111178.57733757887
2025-02-03,0,18,18,567.17933457250479,1668.2462268442741,598.87786299568529,598.87786299568529,617.12068251840071,617.12068251840071,0,110000.7869477092
2025-02-03,1,18,18,564.90272295050499,1630.1780618963201,596.26253175108309,596.26253175108309,616.46472815217112,616.46472815217112,0,110000.7869477092
2025-02-04,0,19,19,563.4314645970511,1677.7866109961751,597.07374838711735,597.07374838711735,615.0953751652479,615.0953751652479,0,108927.09389759228
2025-02-04,1,19,19,556.7679509748076,1605.0860964732908,588.98827639653689,588.98827639653689,609.14318129942671,609.14318129942671,0,108927.09389759228
2025-02-05,0,20,20,555.29810166896914,1649.6021952910089,583.40591448141333,583.40591448141333,596.52591052621437,596.52591052621437,0,108079.03587380044
2025-02-05,1,20,20,555.35729112581396,1612.2839441021538,583.10778903249263,583.10778903249263,596.85503899489754,596.85503899489754,0,108079.03587380044
2025-02-06,0,21,21,556.0273658542219,1648.5022498483788,585.58772832427678,585.58772832427678,598.77996836223406,598.77996836223406,0,75060.219308872343
2025-02-06,1,21,21,250.97835825911818,1594.8183612591981,279.77812669436429,279.77812669436429,293.29603093865779,293.29603093865779,0,75060.219308872343
2025-02-07,0,22,22,252.97513349142193,1626.9865370143373,283.06564849742995,283.06564849742995,296.47623682674759,296.47623682674759,0,39976.73940471153
2025-02-07,1,22,22,227.87315123701052,1584.2600500169094,258.54072413152255,258.54072413152255,271.20371233880292,271.20371233880292,0,39976.73940471153
2025-02-08,0,23,23,224.39263582259218,1608.2263350526255,255.49036441651029,255.49036441651029,268.35471126890786,268.35471126890786,0,70382.105450851683
2025-02-08,1,23,23,533.7533057279561,1665.2693913809492,566.02679412209409,566.02679412209409,578.62348459409418,578.62348459409418,0,70382.105450851683
2025-02-09,0,24,24,534.71693309422449,1699.0463310013099,567.38792287798242,567.38792287798242,580.23061000573341,580.23061000573341,0,103827.12070792449
2025-02-09,1,24,24,535.94606987640748,1667.3780013827818,569.03242341574958,569.03242341574958,581.54728259633805,581.54728259633805,0,103827.12070792449
2025-02-10,0,25,25,540.47971402773612,1698.1015631538776,569.86442599476732,569.86442599476732,586.46721083959096,586.46721083959096,0,104533.20882968449
2025-02-10,1,25,25,536.27873778727258,1689.7591532533688,565.10051169923759,565.10051169923759,582.07420527067802,582.07420527067802,0,104533.20882968449
2025-02-11,0,26,26,532.81175448907663,1717.4560770480341,562.66314923409186,562.66314923409186,579.06818448836964,579.06818448836964,0,102976.54176059979
2025-02-11,1,26,26,529.07294855500652,1729.4548014615139,559.33258683758925,559.33258683758925,576.22449617910888,576.22449617910888,0,102976.54176059979
