origin,step,mean_scenario_soc_kwh,scenario_soc_Q10_kwh,scenario_soc_Q90_kwh
2025-02-01,0,8812.2274992607527,8789.7272939452578,8836.3956279833765
2025-02-01,1,9552.2149521670399,9517.5175395170627,9586.3956279833765
2025-02-01,2,9560.3328352126136,9525.7488934146841,9598.2773403910396
2025-02-01,3,9569.6508219985517,9508.2505176395316,9626.7531514120365
2025-02-01,4,9578.2407722497483,9507.1467376212313,9672.5509891932506
2025-02-01,5,9592.451473446441,9468.9027374475609,9696.630742194473
2025-02-01,6,9634.8202616284689,9501.0967927782967,9752.2266150033192
2025-02-01,7,9671.3989022922033,9548.7776040509943,9804.262712318774
2025-02-01,8,9684.1425234629787,9551.0999232981685,9785.0742112085281
2025-02-01,9,9685.0153196416522,9566.56084149036,9796.4238813126813
2025-02-01,10,9695.4739885584731,9569.4338166468042,9829.7804901392665
2025-02-01,11,9737.3649809915714,9582.3824558166234,9887.4466654202388
2025-02-01,12,9752.9870798640131,9604.6273591440295,9907.4474757730804
2025-02-01,13,9774.5578422420876,9601.558072289743,9930.6441575090157
2025-02-01,14,9793.0698414116978,9592.4989131714792,9943.3545312673123
2025-02-01,15,9798.3072743799603,9606.1469990873175,9958.4124470882325
2025-02-01,16,9810.6783968448653,9641.0833965892471,9977.4114183906131
2025-02-01,17,9844.1293438681769,9645.3216080101938,10024.421925481973
2025-02-01,18,9859.0937622553611,9647.178367287599,10066.640942405224
2025-02-01,19,9874.0451172291941,9652.2402819638301,10071.567125483794
2025-02-01,20,9901.5301322036903,9654.6531824305475,10083.891075645606
2025-02-01,21,9926.9923234655544,9664.4477638224853,10117.201313751484
2025-02-01,22,9940.6221861671929,9693.9487511386196,10114.402687240456
2025-02-01,23,9946.3173323261071,9743.3961173324715,10090.173512692611
2025-02-01,24,9954.2214142219254,9775.5024190772638,10095.545321635054
2025-02-01,25,9960.696429242349,9770.0287348028942,10076.654559225524
2025-02-01,26,9980.3554216500943,9758.0118494180042,10108.461866237218
2025-02-01,27,10002.613573275743,9761.9418375372243,10137.061349804833
2025-02-01,28,10012.366381333219,9774.187101548323,10159.057249144164
2025-02-01,29,10028.294235674492,9797.3838443991699,10158.79130741482
2025-02-01,30,10042.685745964131,9802.9805227396319,10189.826969379857
2025-02-01,31,10047.785076651371,9794.036261044057,10200.522708512313
2025-02-01,32,10078.780851770085,9851.3921497693282,10210.649203480776
2025-02-01,33,10743.182540378562,10568.411701377627,10800
2025-02-01,34,10470.493718397385,10335.46095423646,10540.730679141521
2025-02-01,35,9867.5962140362772,9764.7176381968002,9954.0817112652057
2025-02-01,36,9255.7256044836849,9133.3464489123071,9348.7965981873931
2025-02-01,37,8651.0899600514495,8529.322460733636,8757.4927537069925
2025-02-01,38,8038.4069190626915,7902.8374781549783,8142.8108350737712
2025-02-01,39,7429.4859692234422,7289.1186517270762,7549.0473343342719
2025-02-01,40,6746.8969079802673,6612.5210378907022,6848.2004880245231
2025-02-01,41,6087.6050458998307,5956.7557762277283,6209.2599889647845
2025-02-01,42,5500.3881560567388,5343.7421584135245,5620.2427099888537
2025-02-01,43,4949.6975599483148,4770.4378372728452,5055.7320797153861
2025-02-01,44,4447.6133422079056,4247.3140372909393,4593.1722476963187
2025-02-01,45,3990.6756517905897,3721.1749324830962,4207.4024099358221
2025-02-01,46,3607.9117423397174,3311.1184660851395,3867.8760545729706
2025-02-01,47,3266.2332271469245,2899.4495346477329,3580.0271221664243
2025-02-01,48,2971.0502263305561,2539.5715193302749,3304.3500894774502
2025-02-01,49,2742.0271208014201,2324.356800672284,3091.4400594577614
2025-02-01,50,2565.8031383864541,2048.1288963171623,2962.7251355225294
2025-02-01,51,2445.7251198515323,1874.7768868534295,2901.0857550114583
2025-02-01,52,2357.7353988800915,1722.0475244709082,2847.2711545265101
2025-02-01,53,2268.6434709965824,1542.067565150631,2770.3654473356914
2025-02-01,54,2209.9386504048593,1468.0435687773866,2761.3988764169703
2025-02-01,55,2206.6406576162017,1453.8702885565024,2792.6906119833293
2025-02-01,56,2263.8924791895456,1425.9924084237011,2889.3003186225601
2025-02-01,57,2341.9979399441563,1467.1640391933236,3000.2956049598147
2025-02-01,58,2433.8016094829818,1561.5871660614009,3116.1378157325789
2025-02-01,59,2572.2288352554988,1721.6984407092214,3276.2490903803991
2025-02-01,60,2762.5100128785075,1921.2264892262272,3493.3105307485644
2025-02-01,61,2990.2718805914647,2122.7365279638329,3758.4632354024438
2025-02-01,62,3241.2958510084527,2336.3320186167539,4076.0755296235002
2025-02-01,63,3491.7333548175793,2580.26884793928,4388.4796497399348
2025-02-01,64,3758.4492476451801,2847.9145124217957,4691.9834280975238
2025-02-01,65,4043.076344856127,3132.9297382337982,4998.0089237230932
2025-02-01,66,4352.323982690923,3458.3373536366234,5304.3379863088539
2025-02-01,67,4667.7159907050682,3800.565426583179,5679.984398704456
2025-02-01,68,4989.061091569587,4087.1217432357266,6088.9995479256058
2025-02-01,69,5309.0161495838211,4312.0567686319864,6454.6517715206319
2025-02-01,70,5645.9844939040049,4609.205661369776,6792.2858130965587
2025-02-01,71,6383.3486448892209,5359.205661369776,7542.2858130965587
2025-02-01,72,7119.8076472525927,6109.205661369776,8292.2858130965578
