date,interval,charge,discharge,soc_start,soc_end
2025-02-01,00:00-04:00,5333.333333333333,0,6000,10199.999999999993
2025-02-01,04:00-08:00,0,7270.9910816166484,6000,10199.999999999993
2025-02-01,08:00-12:00,6819.8261343830454,1369.008918383352,6000,10199.999999999993
2025-02-01,12:00-16:00,4625.4679808446563,630.68823333443879,6000,10199.999999999993
2025-02-01,16:00-20:00,0,6161.3850876463393,6000,10199.999999999993
2025-02-01,20:00-24:00,10000,2478.614912353662,6000,10199.999999999993
2025-02-02,00:00-04:00,666.6666666666747,0,10199.999999999993,7950.0000000000018
2025-02-02,04:00-08:00,1666.6666666666665,2183.333333333333,10199.999999999993,7950.0000000000018
2025-02-02,08:00-12:00,5833.333333333333,7712.6463522167605,10199.999999999993,7950.0000000000018
2025-02-02,12:00-16:00,8333.3333333333321,2929.0203144499083,10199.999999999993,7950.0000000000018
2025-02-02,16:00-20:00,0,5548.7787431944143,10199.999999999993,7950.0000000000018
2025-02-02,20:00-24:00,7499.9999999999991,3091.2212568055838,10199.999999999993,7950.0000000000018
2025-02-03,00:00-04:00,3166.6666666666642,0,7950.0000000000018,10799.999999999996
2025-02-03,04:00-08:00,1862.1399176954721,2341.6666666666665,7950.0000000000018,10799.999999999996
2025-02-03,08:00-12:00,5833.333333333333,7401.3414412495476,7950.0000000000018,10799.999999999996
2025-02-03,12:00-16:00,8358.0179848840507,3260.3197931732038,7950.0000000000018,10799.999999999996
2025-02-03,16:00-20:00,0,5589.4952016547159,7950.0000000000018,10799.999999999996
2025-02-03,20:00-24:00,10666.666666666666,3050.5047983452841,7950.0000000000018,10799.999999999996
2025-02-04,00:00-04:00,0,0,10799.999999999996,10049.999999999996
2025-02-04,04:00-08:00,833.33333333333326,1508.3333333333333,10799.999999999996,10049.999999999996
2025-02-04,08:00-12:00,5833.333333333333,7806.666666666667,10799.999999999996,10049.999999999996
2025-02-04,12:00-16:00,9362.2982170187752,3668.4615557852067,10799.999999999996,10049.999999999996
2025-02-04,16:00-20:00,0,5585.815160104863,10799.999999999996,10049.999999999996
2025-02-04,20:00-24:00,9833.3333333333321,3054.1848398951374,10799.999999999996,10049.999999999996
2025-02-05,00:00-04:00,833.33333333333735,0,10049.999999999996,7950.0000000000018
2025-02-05,04:00-08:00,833.33333333333326,1508.3333333333333,10049.999999999996,7950.0000000000018
2025-02-05,08:00-12:00,5833.333333333333,7806.666666666667,10049.999999999996,7950.0000000000018
2025-02-05,12:00-16:00,8399.8711244667575,2888.8956108180719,10049.999999999996,7950.0000000000018
